DSCR,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.5,0.9998410912355191,0.9966384850493438,0.36398828981494047,244.16453921704536,157.23237669036718,-0.284
1.51,0.9998410912355191,0.9966384850493438,0.36398828981494047,243.4320014899752,157.23237669036718,-0.284
1.52,0.9998410912355191,0.9966384850493438,0.36398828981494047,241.68226104844828,157.23237669036718,-0.284
1.53,0.9998410912355191,0.9966384850493438,0.36398828981494047,244.3816091498283,157.23237669036718,-0.284
1.54,0.9998410912355191,0.9966384850493438,0.36398828981494047,249.2952946106671,157.23237669036718,-0.284
1.55,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.1541920730372,157.23237669036718,-0.284
1.56,0.9998410912355191,0.9966384850493438,0.36398828981494047,252.33377486597658,157.23237669036718,-0.284
1.57,0.9998410912355191,0.9966384850493438,0.36398828981494047,253.18694355340747,157.23237669036718,-0.284
1.58,0.9998410912355191,0.9966384850493438,0.36398828981494047,253.84173284232514,157.23237669036718,-0.284
1.59,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.36071588404678,157.23237669036718,-0.284
1.6,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.77979542298263,157.23237669036718,-0.284
1.61,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.121779149522,157.23237669036718,-0.284
1.62,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.40224047676696,157.23237669036718,-0.284
1.63,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.63239699582175,157.23237669036718,-0.284
1.64,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.8206547060997,157.23237669036718,-0.284
1.65,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.97351793181699,157.23237669036718,-0.284
1.66,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.0961503546872,157.23237669036718,-0.284
1.67,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.1927291734059,157.23237669036718,-0.284
1.68,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.26668602579326,157.23237669036718,-0.284
1.69,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.3208780655525,157.23237669036718,-0.284
1.7,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.35770788179184,157.23237669036718,-0.284
1.71,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.3792105081592,157.23237669036718,-0.284
1.72,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.38712122603613,157.23237669036718,-0.284
1.73,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.3829290405076,157.23237669036718,-0.284
1.74,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.36791789725555,157.23237669036718,-0.284
1.75,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.34319916238627,157.23237669036718,-0.284
1.76,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.30973882152165,157.23237669036718,-0.284
1.77,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.268380745187,157.23237669036718,-0.284
1.78,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.2198657098203,157.23237669036718,-0.284
1.79,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.16484580853796,157.23237669036718,-0.284
1.8,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.1038947064172,157.23237669036718,-0.284
1.81,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.03751480447806,157.23237669036718,-0.284
1.82,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.96614232785726,157.23237669036718,-0.284
1.83,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.8901508263166,157.23237669036718,-0.284
1.84,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.8098529302217,157.23237669036718,-0.284
1.85,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.72549964145352,157.23237669036718,-0.284
1.86,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.6372759096991,157.23237669036718,-0.284
1.87,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.54529052511265,157.23237669036718,-0.284
1.88,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.44955709340584,157.23237669036718,-0.284
1.89,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.3499604790254,157.23237669036718,-0.284
1.9,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.24619852069586,157.23237669036718,-0.284
1.91,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.13767973644048,157.23237669036718,-0.284
1.92,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.02333896329938,157.23237669036718,-0.284
1.93,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.90129228966273,157.23237669036718,-0.284
1.94,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.76816106732264,157.23237669036718,-0.284
1.95,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.61768463461115,157.23237669036718,-0.284
1.96,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.43780942497884,157.23237669036718,-0.284
1.97,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.2053502512332,157.23237669036718,-0.284
1.98,0.9998410912355191,0.9966384850493438,0.36398828981494047,253.8875478593039,157.23237669036718,-0.284
1.99,0.9998410912355191,0.9966384850493438,0.36398828981494047,253.48534703444426,157.23237669036718,-0.284
2.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
2.01,0.9998410912355191,0.9966384850493438,0.36398828981494047,245.8923547165273,157.23237669036718,-0.284
