Bond_Time,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
5.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,273.07684157630473,157.23237669036718,-0.284
6.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,269.31524512820073,157.23237669036718,-0.284
7.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,266.4532196041716,157.23237669036718,-0.284
8.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,263.9987547540057,157.23237669036718,-0.284
9.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,261.5652533021377,157.23237669036718,-0.284
10.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,258.9903571632288,157.23237669036718,-0.284
11.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.59871817766157,157.23237669036718,-0.284
12.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.06993633685354,157.23237669036718,-0.284
13.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.42619872726658,157.23237669036718,-0.284
14.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.08233378696582,157.23237669036718,-0.284
15.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
16.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,256.4137527007015,157.23237669036718,-0.284
17.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,261.6267065302725,157.23237669036718,-0.284
18.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,266.2543154161138,157.23237669036718,-0.284
19.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,270.649854917251,157.23237669036718,-0.284
20.0,0.9995925138032477,0.9924593091494249,0.3626781957372287,271.7005691664191,157.11075435762672,-0.284
21.0,0.9991964016594279,0.9858254970032786,0.3606033986208593,271.92693866939334,156.90579063812805,-0.284
22.0,0.9997916712123077,0.9914720564356712,0.3573660599601826,271.7815854835698,157.04390829934695,-0.284
23.0,1.0,1.0,0.35273448448242006,272.39617296829954,157.61072196781205,-0.284
24.0,1.0,1.0,0.3514505232876324,275.32210729369314,157.75370678668315,-0.284
25.0,1.0,1.0,0.35145052328763243,279.87212106209626,157.75370678668315,-0.284
26.0,1.0,1.0,0.3514505232876324,284.6061393191023,157.75370678668315,-0.284
27.0,1.0,1.0,0.35145052328763243,289.15916127890586,157.75370678668315,-0.284
28.0,1.0,1.0,0.3514505232876323,293.53903415707686,157.75370678668315,-0.284
29.0,1.0,1.0,0.35145052328763243,297.76440994958824,157.75370678668315,-0.284
30.0,1.0,1.0,0.35145052328763243,301.83907641512707,157.75370678668315,-0.284
