IF_sens_s,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
4.0,0.9998411196981033,0.9966399366411367,0.36398043795869356,271.3834838882968,157.2325270354449,-0.284
4.340878170264604,0.999841118687857,0.9966398851185733,0.3639804368256762,270.8081412279398,157.23252373609978,-0.284
4.710805822269944,0.9998411176640015,0.9966398329019462,0.3639804357318712,270.2216793979501,157.23252029984886,-0.284
5.11225853956175,0.9998411166279625,0.9966397800639583,0.36398043467838376,269.625171521164,157.23251673234816,-0.284
5.547922873783102,0.9998411155808553,0.9966397266614903,0.36398043366443317,269.0197236407072,157.2325130409858,-0.284
6.020714323279183,0.999841114523397,0.996639672731111,0.3639804326870582,268.4064464394389,157.23250923496835,-0.284
6.533796843830508,0.9998411134558182,0.9966396182845912,0.3639804317408341,267.7864168044806,157.23250532538802,-0.284
7.090604022081906,0.9998411123777808,0.9966395633046911,0.3639804308176222,267.16062522136684,157.23250132526132,-0.284
7.694862053361437,0.9998411112883091,0.9966395077416346,0.3639804299063793,266.52990295504014,157.23249724953178,-0.284
8.350614677658532,0.9998411101857456,0.9966394515108924,0.3639804289930693,265.89481989336184,157.23249311501874,-0.284
9.062250240634778,0.9998411090677509,0.9966393944931615,0.36398042806074643,265.2555394389506,157.23248894028836,-0.284
9.834531060761668,0.9998411079313709,0.996639336537789,0.36398042708989536,264.61161106023644,157.23248474541032,-0.284
10.672625299112381,0.9998411067732045,0.996639277471295,0.3639804260591548,263.9616767862677,157.23248055155042,-0.284
11.582141545082669,0.9998411055897094,0.9966392171130436,0.3639804249465768,263.3030787276618,157.23247638033666,-0.284
12.569166349491027,0.9998411043776957,0.9966391553003481,0.36398042373159106,262.6314355114058,157.23247225292735,-0.284
13.640304956232512,0.9998411031350433,0.9966390919250734,0.36398042239783296,261.9405968959506,157.23246818871618,-0.284
14.80272550506545,0.9998411018616625,0.9966390269826533,0.3639804209369016,261.224471318398,157.23246420364765,-0.284
16.064207001339426,0.999841100560665,0.9966389606317858,0.36398041935291964,260.4840431303394,157.232460308197,-0.284
17.43319137368153,0.9998410992396175,0.9966388932583599,0.36398041766740935,259.7385542718599,157.23245650522853,-0.284
18.918839968014844,0.9998410979116211,0.9966388255305426,0.3639804159235027,259.0169218387166,157.2324527881482,-0.284
20.531094855971272,0.9998410965958274,0.9966387584250733,0.36398041418798205,258.3216537037425,157.23244913999977,-0.284
22.280745367979403,0.9998410953169367,0.9966386932016392,0.36398041254940705,257.6337048778503,157.23244553424453,-0.284
24.179500296271495,0.9998410941033449,0.9966386313084533,0.3639804111110497,256.9526053153192,157.23244193776557,-0.284
26.240066250997867,0.9998410929839942,0.9966385742215699,0.3639804099788133,256.3015464257881,157.23243831600965,-0.284
28.476232693813404,0.9998410919845324,0.9966385232490212,0.36398040924645386,255.70618053876714,157.23243463926033,-0.284
30.902964217987456,0.9998410911238437,0.9966384793538992,0.3639804089821466,255.18027111788655,157.2324308883019,-0.284
33.53650069258248,0.9998410904120081,0.9966384430502749,0.36398040922043046,254.724305167343,157.23242705774243,-0.284
36.394465940873765,0.9998410898501872,0.9966384143974109,0.36398040996141995,254.33015364743662,157.23242315618873,-0.284
39.495985680294396,0.9998410894321434,0.9966383930771789,0.3639804111761551,253.98635300203287,157.23241920376506,-0.284
42.86181551316834,0.999841089146559,0.9966383785123755,0.36398041281495197,253.68188529590807,157.23241522832936,-0.284
46.5144798247553,0.9998410889793153,0.9966383699829536,0.36398041481564647,253.40813755801693,157.23241126174943,-0.284
50.47842251812341,0.9998410889152565,0.9966383667159471,0.36398041711010426,253.15944383406747,157.2324073369717,-0.284
54.780170594578784,0.999841088939378,0.9966383679461432,0.36398041962900773,252.93277777776368,157.2324034859273,-0.284
59.44851167434448,0.9998410890376181,0.9966383729563947,0.36398042230571664,252.72707705950393,157.2323997379663,-0.284
64.51468664547063,0.9998410891974386,0.9966383811072389,0.36398042507984485,252.54252201526285,157.2323961185633,-0.284
70.01259873019619,0.9998410894082819,0.9966383918602408,0.3639804279005178,252.3799425233744,157.23239264832492,-0.284
75.97904036785103,0.999841089661887,0.996638404794103,0.3639804307287044,252.2404151318177,157.23238934261306,-0.284
82.45393943261438,0.9998410899524052,0.9966384196105335,0.3639825944271325,252.12503882447152,157.23238621216515,-0.284
89.48062643383894,0.9998410902762822,0.9966384361282619,0.36398491754318646,252.0348332378923,157.23238326480546,-0.284
97.1061244870633,0.9998410906319387,0.9966384542667449,0.3639866391308817,251.97067874792793,157.23238050774847,-0.284
105.38146399622259,0.999841091019332,0.9966384740238009,0.3639878443618591,251.93322208598812,157.23237794942682,-0.284
114.36202415293195,0.999841091439498,0.9966384954522675,0.36398858942027035,251.9227191049991,157.2323755996471,-0.284
124.10790353818399,0.9998410918941548,0.9966385186397632,0.3639889121607102,251.93885801977876,157.23237346729192,-0.284
134.68432230655196,0.9998410923854048,0.9966385436935102,0.3639888420301614,251.98064741105807,157.23237155568853,-0.284
146.16205864434843,0.9998410929155339,0.9966385707300948,0.3639884077833592,252.04643537120808,157.23236985716088,-0.284
158.61792242254668,0.9998410934868808,0.9966385998687846,0.36398764179487125,252.1340712962793,157.23236834950387,-0.284
172.13526921418944,0.9998410941017415,0.9966386312266836,0.3639865804652011,252.24116464204627,157.23236699672643,-0.284
186.80455811612384,0.9998410947622836,0.9966386649143257,0.36398526154252636,252.36536112550039,157.2323657541403,-0.284
202.723957108052,0.9998410954704496,0.9966387010308044,0.3639837202790727,252.50456063598696,157.23236457552244,-0.284
