Conserv_Sens,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.01,0.9998410625065162,0.9966370198701887,0.36414488359026526,242.96418203254703,157.23241044121528,-0.284
0.02,0.9998410631936298,0.9966370549129858,0.3640960597993829,243.52879068486743,157.23241779242377,-0.284
0.03,0.9998410648831423,0.9966371410781237,0.36406968857071204,244.11046481374112,157.2324199637818,-0.284
0.04,0.9998410661544481,0.9966372059147227,0.3640551763483861,244.61441940109196,157.23242086262053,-0.284
0.05,0.9998410671282804,0.9966372555801655,0.3640467035180566,245.04385324600634,157.2324211298245,-0.284
0.06,0.9998410679265666,0.9966372962927621,0.36404133835404034,245.41920804886198,157.23242103067656,-0.284
0.07,0.9998410686430311,0.9966373328324577,0.36403758337004755,245.75919305550636,157.2324206803633,-0.284
0.08,0.9998410693357394,0.9966373681605752,0.36403466979454463,246.07658122727682,157.23242013782848,-0.284
0.09,0.9998410700336092,0.9966374037519415,0.3640322056591538,246.3788251309929,157.23241944229264,-0.284
0.1,0.9998410707467623,0.9966374401227471,0.36402999260794755,246.66978907232973,157.23241862499066,-0.284
0.11,0.999841071475212,0.9966374772736759,0.3640279326926235,246.95118626851055,157.23241771112728,-0.284
0.12,0.9998410722145323,0.9966375149790174,0.36402598050649737,247.2235204051405,157.23241671980193,-0.284
0.13,0.9998410729590106,0.9966375529474062,0.36402411747109903,247.48667495507343,157.23241566462087,-0.284
0.14,0.9998410737031653,0.9966375908993041,0.36402233760227626,247.74028150230882,157.23241455507366,-0.284
0.15,0.9998410744423484,0.9966376285976395,0.36402063978272353,247.9839408560545,157.23241339805944,-0.284
0.16,0.9998410751728817,0.9966376658548336,0.3640190238699159,248.21734160921366,157.2324121991315,-0.284
0.17,0.9998410758919892,0.9966377025293169,0.364017489007181,248.4403098282201,157.2324109633228,-0.284
0.18,0.9998410765976553,0.9966377385182843,0.36401603311279224,248.65281670205417,157.23240969560106,-0.284
0.19,0.9998410772884708,0.9966377737498819,0.3640146529308777,248.854963948249,157.23240840106243,-0.284
0.2,0.9998410779634961,0.9966378081761672,0.3640133443004279,249.04696004138646,157.23240708496616,-0.284
0.21,0.9998410786221448,0.9966378417672532,0.364012102468163,249.22909490312455,157.2324057526875,-0.284
0.22,0.999841079264094,0.9966378745066682,0.3640109223683039,249.40171691035354,157.2324044096383,-0.284
0.23,0.9998410798892137,0.9966379063877686,0.3640097988435833,249.56521373958196,157.2324030611807,-0.284
0.24,0.9998410804975129,0.9966379374110231,0.36400872680620977,249.7199972758936,157.23240171255102,-0.284
0.25,0.9998410810891002,0.9966379675819812,0.3640077013473486,249.86649219639412,157.23240036879494,-0.284
0.26,0.9998410816641549,0.996637996909768,0.36400671780628885,250.00512760811134,157.2323990347166,-0.284
0.27,0.9998410822229041,0.9966380254059786,0.3640057718098419,250.13633109319295,157.23239771484148,-0.284
0.28,0.999841082765608,0.9966380530838729,0.36400485929074616,250.26052457976516,157.23239641338725,-0.284
0.29,0.9998410832925475,0.9966380799577901,0.36400397649186206,250.37812155428603,157.23239513424465,-0.284
0.3,0.9998410838040169,0.9966381060427297,0.36400311996117035,250.48952523089213,157.23239388096349,-0.284
0.31,0.9998410843003174,0.9966381313540542,0.3640022865411397,250.59512738188167,157.23239265674283,-0.284
0.32,0.9998410847817533,0.9966381559072784,0.36400147335491084,250.6953076073673,157.2323914644267,-0.284
0.33,0.9998410852486286,0.9966381797179237,0.36400067779090906,250.7904328813401,157.23239030649972,-0.284
0.34,0.9998410857012461,0.9966382028014202,0.363999897486901,250.8808572581317,157.2323891850876,-0.284
0.35,0.9998410861399054,0.9966382251730433,0.36399913031406755,250.9669216597004,157.23238810195977,-0.284
0.36,0.999841086564902,0.9966382468478708,0.36399837436138033,251.04895369271145,157.23238705853282,-0.284
0.37,0.9998410869765274,0.9966382678407616,0.3639976279203603,251.12726746669017,157.23238605587875,-0.284
0.38,0.9998410873750682,0.9966382881663444,0.36399688947017533,251.20216340185186,157.23238509473404,-0.284
0.39,0.9998410877608067,0.9966383078390133,0.3639961576629645,251.27392802855036,157.2323841755133,-0.284
0.4,0.9998410881340208,0.9966383268729333,0.36399543130925077,251.34283378997446,157.2323832983246,-0.284
0.41,0.9998410884949838,0.9966383452820438,0.36399470936331574,251.40913886613515,157.23238246299013,-0.284
0.42,0.9998410888439647,0.996638363080069,0.3639939909084548,251.47308704046495,157.23238166906728,-0.284
0.43,0.9998410891812286,0.996638380280528,0.3639932751420874,251.53490763057613,157.23238091587518,-0.284
0.44,0.9998410895070369,0.9966383968967457,0.3639925613607892,251.59481550220787,157.23238020252265,-0.284
0.45,0.9998410898216469,0.9966384129418632,0.36399184894539766,251.65301118047552,157.23237952793815,-0.284
0.46,0.9998410901253134,0.996638428428848,0.3639911373464368,251.70968106596703,157.23237889090132,-0.284
0.47,0.9998410904182871,0.9966384433705059,0.3639904260701776,251.76499775572165,157.23237829007456,-0.284
0.48,0.9998410907008161,0.9966384577794903,0.3639897146657054,251.81912046196763,157.2323777240346,-0.284
0.49,0.9998410909731459,0.9966384716683109,0.36398900271336876,251.8721955156365,157.23237719130177,-0.284
0.5,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
0.51,0.9998410914881759,0.9966384979348396,0.3639875755857302,251.97572706672833,157.23237621971572,-0.284
0.52,0.999841091731354,0.9966385103369301,0.36398685964872723,252.02641721606832,157.23237577784636,-0.284
0.53,0.9998410919652896,0.9966385222676366,0.36398614163067183,252.07652837891592,157.2323753632863,-0.284
0.54,0.9998410921902159,0.9966385337388765,0.3639854211597373,252.12615196270949,157.23237497460303,-0.284
0.55,0.9998410924063647,0.9966385447624689,0.36398469786430804,252.17537058315565,157.23237461041032,-0.284
0.56,0.9998410926139661,0.9966385553501416,0.3639839713721675,252.22425894007606,157.23237426937277,-0.284
0.57,0.9998410928132483,0.9966385655135356,0.363983241309317,252.27288481047017,157.23237395020655,-0.284
0.58,0.9998410930044381,0.9966385752642104,0.36398250729762904,252.32131019650635,157.23237365168063,-0.284
0.59,0.9998410931877604,0.9966385846136495,0.36398176895062667,252.36959266283387,157.23237337261625,-0.284
0.6,0.9998410933634392,0.9966385935732637,0.36398102586685793,252.41778688740862,157.23237311188777,-0.284
0.61,0.9998410935316966,0.9966386021543966,0.3639804521139092,252.465946433373,157.23237286842493,-0.284
0.62,0.9998410936927541,0.9966386103683273,0.3639804527335571,252.51412572810466,157.2323726412162,-0.284
0.63,0.9998410938468315,0.9966386182262758,0.3639804533258398,252.56238221200726,157.23237242931435,-0.284
0.64,0.9998410939941478,0.9966386257394045,0.3639804538918239,252.61077859731208,157.23237223184148,-0.284
0.65,0.9998410941349206,0.9966386329188228,0.36398045443252475,252.65938515976123,157.23237204799653,-0.284
0.66,0.9998410942693671,0.9966386397755906,0.36398045494890746,252.7082819769752,157.23237187706087,-0.284
0.67,0.9998410943977031,0.9966386463207204,0.36398045544188723,252.7575610291347,157.23237171840248,-0.284
0.68,0.9998410945201434,0.9966386525651801,0.36398045591232875,252.80732809174648,157.23237157147847,-0.284
0.69,0.9998410946369025,0.9966386585198966,0.3639804563610484,252.8577043764279,157.23237143583518,-0.284
0.7,0.9998410947481938,0.9966386641957581,0.3639804567888161,252.90882791188633,157.2323713111041,-0.284
0.71,0.9998410948542303,0.9966386696036148,0.36398045719635896,252.96085469990027,157.2323711969961,-0.284
0.72,0.9998410949552239,0.9966386747542847,0.3639804575843635,253.01395972508888,157.23237109329244,-0.284
0.73,0.999841095051386,0.9966386796585518,0.36398045795348094,253.0683379366659,157.23237099983473,-0.284
0.74,0.9998410951429275,0.9966386843271721,0.36398045830433007,253.12420534909208,157.23237091651308,-0.284
0.75,0.9998410952300588,0.9966386887708713,0.36398045863750217,253.18180042100235,157.23237084325515,-0.284
0.76,0.9998410953129899,0.9966386930003517,0.36398045895356357,253.24138586374383,157.23237078001605,-0.284
0.77,0.9998410953919299,0.9966386970262884,0.36398045925305844,253.30325099998214,157.23237072676952,-0.284
0.78,0.9998410954670875,0.9966387008593358,0.3639804595365123,253.36771473924637,157.23237068350173,-0.284
0.79,0.9998410955386717,0.9966387045101265,0.3639804598044322,253.43512916375815,157.23237065020743,-0.284
0.8,0.9998410956068904,0.996638707989273,0.3639804600573094,253.5058836298712,157.23237062688798,-0.284
0.81,0.9998410956719511,0.9966387113073708,0.36398046029562087,253.58040919590675,157.2323706135509,-0.284
0.82,0.9998410957340613,0.9966387144749967,0.3639804605198309,253.6591830962135,157.23237061021035,-0.284
