IF_thresh_r,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
0.02,0.9998410912355191,0.9966384850493438,0.36398828981494047,252.14748962641542,157.23237669036718,-0.284
0.04,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.53789923843755,157.23237669036718,-0.284
0.06,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.3401257733544,157.23237669036718,-0.284
0.08,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.68428347810934,157.23237669036718,-0.284
0.1,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.74187911582374,157.23237669036718,-0.284
0.12,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.55943951014893,157.23237669036718,-0.284
0.14,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.1328312066262,157.23237669036718,-0.284
0.16,0.9998410912355191,0.9966384850493438,0.36398828981494047,254.43124890731283,157.23237669036718,-0.284
0.18,0.9998410912355191,0.9966384850493438,0.36398828981494047,253.41566417286566,157.23237669036718,-0.284
0.2,0.9998410912355191,0.9966384850493438,0.36398828981494047,252.1966444750569,157.23237669036718,-0.284
0.22,0.9998410912355191,0.9966384850493438,0.36398828981494047,252.93913300653531,157.23237669036718,-0.284
0.24,0.9998410912355191,0.9966384850493438,0.36398828981494047,255.8296788927713,157.23237669036718,-0.284
0.26,0.9998410912355191,0.9966384850493438,0.36398828981494047,257.38693704260123,157.23237669036718,-0.284
0.28,0.9998410912355191,0.9966384850493438,0.36398828981494047,258.14169220059347,157.23237669036718,-0.284
0.3,0.9998410912355191,0.9966384850493438,0.36398828981494047,258.6423578851334,157.23237669036718,-0.284
0.32,0.9998410912355191,0.9966384850493438,0.36398828981494047,259.0508128893846,157.23237669036718,-0.284
0.34,0.9998410912355191,0.9966384850493438,0.36398828981494047,259.4125247934318,157.23237669036718,-0.284
0.36,0.9998410912355191,0.9966384850493438,0.36398828981494047,259.7456630308437,157.23237669036718,-0.284
0.38,0.9998410912355191,0.9966384850493438,0.36398828981494047,260.0597329221242,157.23237669036718,-0.284
0.4,0.9998410912355191,0.9966384850493438,0.36398828981494047,260.35897150117705,157.23237669036718,-0.284
0.42,0.9998410912355191,0.9966384850493438,0.36398828981494047,260.643523853195,157.23237669036718,-0.284
0.44,0.9998410912355191,0.9966384850493438,0.36398828981494047,260.91037241933043,157.23237669036718,-0.284
0.46,0.9998410912355191,0.9966384850493438,0.36398828981494047,261.15416016575693,157.23237669036718,-0.284
0.48,0.9998404214030894,0.9966337441051678,0.36389858481256604,261.4854173798417,157.21510482807005,-0.284
0.5,0.9998296265769978,0.996429011986545,0.3634100035707906,262.8528079115259,157.12808294720398,-0.284
0.52,0.9997556924788231,0.9946251019826008,0.36264805269357536,263.3141734125719,156.97168157389467,-0.284
0.54,0.9996815355841363,0.9928218671717404,0.3607466406943609,260.9243291916611,156.06760056434982,-0.284
0.56,0.9989957771346676,0.9852014388316679,0.35850197488450747,258.610941883626,154.8926115000101,-0.284
0.58,0.9969809308306862,0.9596212094037034,0.355558618651809,256.60843497900106,153.16535293668457,-0.284
0.6,0.9922295762435753,0.9184211484032785,0.35068360444501634,252.61646076519722,150.60533595231306,-0.284
0.62,0.9869267453725524,0.8826451386778061,0.34653747881614844,248.64860964511672,147.9312921177855,-0.284
0.64,0.9800075149718965,0.8594001362177881,0.34344306868024116,245.67138816435386,144.85020064303504,-0.284
0.66,0.9744596699915353,0.8413597511170313,0.3431619525888219,243.35420342981413,142.49663200849716,-0.284
0.68,0.9704879822623941,0.8292293666529433,0.34328234999883867,241.74350649310537,140.7539154071089,-0.284
0.7,0.9676603639994003,0.8217303522053218,0.3439630916775875,240.58961455629085,139.6682113876225,-0.284
0.72,0.9658557730208643,0.8169976382772559,0.3443435465018072,239.82568763674743,139.10891131901792,-0.284
0.74,0.9647161556845696,0.8139830838624674,0.34468007656562755,239.31409192399923,138.6094124805003,-0.284
0.76,0.9638771377943576,0.8120537572239155,0.34489496504396616,238.97894761165333,138.28254815285206,-0.284
0.78,0.9633327009851353,0.8108157668194712,0.3449995811526673,238.76094229642402,138.07254502960194,-0.284
0.8,0.9629835637529736,0.8100202189381482,0.34504811865855206,238.61937559032717,137.93651329788779,-0.284
0.82,0.9627590212862611,0.8095085526580794,0.34507460132545,238.5275859107647,137.84886408994643,-0.284
0.84,0.9626144855206245,0.8091792997465789,0.34509206205737053,238.46817071847693,137.79260019647475,-0.284
0.86,0.962521423023426,0.8089673619132709,0.3451032765838357,238.42976912653438,137.75650945415822,-0.284
0.88,0.9624613786352267,0.8088307563767897,0.34511073281473886,238.4049776248637,137.73334229432743,-0.284
0.9,0.9624201050215306,0.8087416738908487,0.345117015946477,238.3889852060828,137.71826568850454,-0.284
0.92,0.9623935338633804,0.8086843168974062,0.34512110221513836,238.37867504650646,137.70857386297521,-0.284
0.94,0.9623764256370437,0.8086473832561739,0.3451237526084105,238.37203054438874,137.70233982127664,-0.284
0.96,0.962365409260951,0.8086235992740286,0.3451254678996664,238.36774941294993,137.69832822004116,-0.284
0.98,0.9623583151335215,0.8086082826115762,0.3451265762266826,238.36499144623502,137.6957460165204,-0.284
1.0,0.9623537466007522,0.8085984185740464,0.34512729157175087,238.36321489829353,137.6940835763982,-0.284
