IF_thresh_s,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
0.01,0.9998410762622915,0.9966377214147333,0.3640227369939168,248.63752798744048,157.23239629724074,-0.284
0.02,0.9998410682954479,0.9966373151057127,0.36404332033073494,246.256064538954,157.23240629271035,-0.284
0.03,0.9998410651724923,0.996637155834973,0.36405501901668297,244.69476447789884,157.2324092797304,-0.284
0.04,0.9998410625065162,0.9966370198701887,0.36406175824439474,243.66234441696872,157.2324122926237,-0.284
0.05,0.9998410625065162,0.9966370198701887,0.3640629813394798,243.1004013444284,157.23241147901518,-0.284
0.06,0.9998410625065162,0.9966370198701887,0.3640635320926042,242.86414969917368,157.23241111862956,-0.284
0.07,0.9998410625065162,0.9966370198701887,0.36406373912791573,242.77815872517513,157.23241098387405,-0.284
0.08,0.9998410625065162,0.9966370198701887,0.3640638111046773,242.74862762067997,157.23241093710638,-0.284
0.09,0.9998410625065162,0.9966370198701887,0.36406383542154197,242.73869328917849,157.23241092131522,-0.284
0.1,0.9998410625065162,0.9966370198701887,0.36406384355630855,242.73537473988222,157.23241091603353,-0.284
0.11,0.9998410625065162,0.9966370198701887,0.36406384626863914,242.7342687893246,157.23241091427272,-0.284
0.12,0.9998410625065162,0.9966370198701887,0.3640638471719957,242.7339005059612,157.23241091368618,-0.284
0.13,0.9998410625065162,0.9966370198701887,0.3640638474727523,242.7337778990717,157.2324109134909,-0.284
0.14,0.9998410625065162,0.9966370198701887,0.36406384757287164,242.7337370850093,157.23241091342598,-0.284
0.15,0.9998410625065162,0.9966370198701887,0.36406384760619925,242.73372349899168,157.2324109134042,-0.284
0.16,0.9998410625065162,0.9966370198701887,0.36406384761729305,242.73371897657762,157.23241091339702,-0.284
0.17,0.9998410625065162,0.9966370198701887,0.36406384762098587,242.7337174711942,157.2324109133946,-0.284
0.18,0.9998410625065162,0.9966370198701887,0.3640638476222151,242.73371697009534,157.23241091339386,-0.284
0.19,0.9998410625065162,0.9966370198701887,0.36406384762262434,242.73371680329382,157.2324109133936,-0.284
0.2,0.9998410625065162,0.9966370198701887,0.3640638476227605,242.73371674777056,157.2324109133935,-0.284
0.21,0.9998410625065162,0.9966370198701887,0.36406384762280597,242.73371672928832,157.23241091339347,-0.284
0.22,0.9998410625065162,0.9966370198701887,0.3640638476228209,242.73371672313624,157.23241091339347,-0.284
0.23,0.9998410625065162,0.9966370198701887,0.364063847622826,242.7337167210883,157.23241091339347,-0.284
0.24,0.9998410625065162,0.9966370198701887,0.36406384762282773,242.73371672040668,157.23241091339347,-0.284
0.25,0.9998410625065162,0.9966370198701887,0.36406384762282823,242.7337167201798,157.23241091339347,-0.284
0.26,0.9998410625065162,0.9966370198701887,0.36406384762282845,242.7337167201042,157.23241091339347,-0.284
0.27,0.9998410625065162,0.9966370198701887,0.36406384762282845,242.73371672007917,157.23241091339347,-0.284
0.28,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672007073,157.23241091339347,-0.284
0.29,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006812,157.23241091339347,-0.284
0.3,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006695,157.23241091339347,-0.284
0.31,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006675,157.23241091339347,-0.284
0.32,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.33,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.34,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.35,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.36,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.37,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.38,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.39,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.4,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.41,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.42,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.43,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.44,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.45,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.46,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.47,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.48,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.49,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
0.5,0.9998410625065162,0.9966370198701887,0.36406384762282856,242.73371672006664,157.23241091339347,-0.284
