IntRate,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,233.73348439144203,157.23237669036718,-0.284
0.01,0.9998410912355191,0.9966384850493438,0.36398828981494047,234.36844379151347,157.23237669036718,-0.284
0.02,0.9998410912355191,0.9966384850493438,0.36398828981494047,249.76342325927672,157.23237669036718,-0.284
0.03,0.9998410912355191,0.9966384850493438,0.36398828981494047,252.54979872588206,157.23237669036718,-0.284
0.04,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
0.05,0.9998410912355191,0.9966384850493438,0.36398828981494047,270.205721618442,157.23237669036718,-0.284
0.06,0.9992240100369615,0.9835379004426593,0.358928104743598,272.8154435963684,156.914941563922,-0.284
0.07,1.0,1.0,0.3514505232876324,277.4078026554304,157.75370678668315,-0.284
0.08,1.0,1.0,0.35145052328763243,292.8541171982432,157.75370678668315,-0.284
0.09,1.0,1.0,0.35145052328763243,307.4105177274296,157.75370678668315,-0.284
0.1,1.0,1.0,0.3481533785003951,314.74846820336563,158.06298992977997,-0.284
