IF_sens_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
4.0,0.9998181699024876,0.9962487726349744,0.36401531206821813,246.21853108289287,157.2345538727707,-0.284
4.340878170264604,0.9998188817309209,0.9962628354607393,0.36401448186075297,246.42973115065973,157.23413732458314,-0.284
4.710805822269944,0.999819641586412,0.9962776680754634,0.3640135825630931,246.65267492124792,157.2337434765112,-0.284
5.11225853956175,0.999820451182845,0.9962932714028311,0.3640126133728427,246.88895689529454,157.23337730516084,-0.284
5.547922873783102,0.9998213119470153,0.9963096384297985,0.3640115735578309,247.14048773879452,157.23304470249425,-0.284
6.020714323279183,0.9998222249233804,0.9963267530408052,0.3640104623643905,247.4093928681908,157.23275261571504,-0.284
6.533796843830508,0.9998231906627916,0.9963445888639877,0.36400927887608936,247.6978287837244,157.23250921138413,-0.284
7.090604022081906,0.9998242090946297,0.9963631081697893,0.3640080218075658,248.00773424824186,157.2323240698544,-0.284
7.694862053361437,0.9998252793827009,0.9963822608653808,0.3640066892130866,248.34055059168858,157.23220841927295,-0.284
8.350614677658532,0.9998263997666622,0.9964019836276535,0.3640052780822008,248.69694858081192,157.2321754235407,-0.284
9.062250240634778,0.9998275673928096,0.9964221992125948,0.3640037837840155,249.07659036956554,157.23224054706702,-0.284
9.834531060761668,0.9998287781408831,0.996442815970063,0.36400219930462036,249.47794812250538,157.23242203338182,-0.284
10.672625299112381,0.9998300264572071,0.9964637275828127,0.3640005141940974,249.89820905495412,157.2327415592081,-0.284
11.582141545082669,0.999831305208967,0.9964848130423053,0.36399871309013726,250.33331403272584,157.2332251697076,-0.284
12.569166349491027,0.9998326055794383,0.9965059368797103,0.3639973292397432,250.55687927750103,157.2329540878241,-0.284
13.640304956232512,0.99983391702898,0.9965269496990123,0.3639960858382217,250.70172982856087,157.23246024055396,-0.284
14.80272550506545,0.9998352273505215,0.9965476891199512,0.36399479698952714,250.8583039511928,157.23210181790571,-0.284
16.064207001339426,0.9998365228496006,0.9965679813344147,0.3639934782598351,251.03160049253975,157.2318804226115,-0.284
17.43319137368153,0.9998377886758159,0.9965876435984726,0.36399214116595147,251.22629837753985,157.2317994388553,-0.284
18.918839968014844,0.9998390093228429,0.996606488087264,0.36399079342822666,251.4461773088154,157.2318632222868,-0.284
20.531094855971272,0.9998401692964788,0.9966243275686795,0.36398943904591263,251.69354886029015,157.23207650212902,-0.284
