Decay_dbar,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,1.0,1.0,0.37181518893070925,NaN,163.06184181899116,-0.284
5.0e-5,1.0,1.0,0.3718217547435305,NaN,163.05368872690022,-0.284
0.0001,1.0,1.0,0.3718283212129987,NaN,163.04553563480923,-0.284
0.00015,1.0,1.0,0.3718348883392124,NaN,163.03738254271826,-0.284
0.0002,1.0,1.0,0.37184145612227004,NaN,163.02922945062733,-0.284
0.00025,1.0,1.0,0.37184802456227034,NaN,163.02107635853636,-0.284
0.0003,1.0,1.0,0.3718545936593116,NaN,163.01292326644543,-0.284
0.00035,1.0,1.0,0.3718611634134927,NaN,163.0047701743545,-0.284
0.0004,1.0,1.0,0.37186773382491195,NaN,162.99661708226355,-0.284
0.00045,1.0,1.0,0.3718743048936683,NaN,162.98846399017262,-0.284
0.0005,1.0,1.0,0.3718808766198602,NaN,162.98031089808165,-0.284
0.00055,1.0,1.0,0.37188744900358633,NaN,162.97215780599066,-0.284
0.0006,1.0,1.0,0.3718940220449454,NaN,162.96400471389973,-0.284
0.00065,1.0,1.0,0.37190059574403617,NaN,162.9558516218088,-0.284
0.0007,1.0,1.0,0.3719071701009573,NaN,162.94769852971785,-0.284
0.00075,1.0,1.0,0.3719137451158076,NaN,162.93954543762686,-0.284
0.0008,1.0,1.0,0.3719203207886858,NaN,162.93139234553593,-0.284
0.00085,1.0,1.0,0.37192689711969074,NaN,162.923239253445,-0.284
0.0009,1.0,1.0,0.3719334741089211,NaN,162.91508616135405,-0.284
0.00095,1.0,1.0,0.37194005175647576,NaN,162.9069330692631,-0.284
0.001,1.0,1.0,0.3719466300624537,NaN,162.89877997717213,-0.284
