IF_thresh_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
0.01,0.9998394333978596,0.9966000751665023,0.3639908758883405,251.1867227192623,157.23144702599433,-0.284
0.02,0.9998374485983054,0.9965538184560959,0.3639935590068311,250.5080967091476,157.2311826221039,-0.284
0.03,0.9998350967019757,0.9964987272716785,0.36399607330969913,249.93052329119607,157.2319882425457,-0.284
0.04,0.9998323428984671,0.9964339378106695,0.36400029823222463,248.3710023177773,157.23029600480308,-0.284
0.05,0.9998291622162633,0.9963588104566106,0.36400233044488634,246.84975392761405,157.23107714216292,-0.284
0.06,0.9998255444995564,0.9962730357425849,0.3640017168643555,245.09777873082064,157.2341183774923,-0.284
0.07,0.9998214991254631,0.9961767289553185,0.36399860737914325,242.19174119057746,157.23830682660696,-0.284
0.08,0.9998170584603798,0.9960704920066262,0.3639898451903079,234.16848513767505,157.24615907036534,-0.284
0.09,0.9998122789897332,0.9959554229340108,0.3639689308670711,238.00548145086677,157.25849504101933,-0.284
0.1,0.9998072393535106,0.9958330638030461,0.3639235199107575,246.29234104851295,157.28055477773944,-0.284
0.11,0.9998020351973866,0.995705295107161,0.36384351291337896,247.92559130105437,157.31726871123487,-0.284
0.12,0.999796771607516,0.9955742016885709,0.3637203402143829,248.4350773095625,157.3725807400322,-0.284
0.13,0.9997915545717643,0.9954419420662605,0.36354487496696514,248.64092525396768,157.44885292406872,-0.284
0.14,0.9997864830752329,0.9953106447105552,0.36330825994212423,248.74629632003504,157.55023164967346,-0.284
0.15,0.9997816430320691,0.9951823358509841,0.3629955243157453,248.8094526161018,157.68161431263243,-0.284
0.16,0.9997606274725873,0.9950588860142149,0.3625864429859373,248.85025158325868,157.85027227328982,-0.284
0.17,0.9997234657558477,0.9949419575135192,0.36203461929627173,248.8775692763377,158.07038784584907,-0.284
0.18,0.9996435577744285,0.9948329440765343,0.36123864570416053,248.8962230459835,158.37150552928628,-0.284
0.19,0.9995541348673446,0.9947329086848797,0.36061043398894704,248.9091844615153,158.69260140284223,-0.284
0.2,0.9994241933665426,0.9946425359012218,0.360327078064572,248.91831872441134,158.83698597153187,-0.284
0.21,0.9992187726239162,0.994323960351991,0.36003584988251935,248.92485100869587,158.98200322193154,-0.284
0.22,0.9988806802092206,0.9931575379911058,0.3597393470754559,248.92959166325326,159.12635620872825,-0.284
0.23,0.9983516569370269,0.9921223092150738,0.3594405539713709,248.93308095757357,159.26868442202,-0.284
0.24,0.9975883008949074,0.9910372784920798,0.35914267208621414,248.93568292481962,159.40758498676976,-0.284
0.25,0.9965641478074087,0.9895016005501394,0.3588487841707142,248.93764605009932,159.54164984673676,-0.284
0.26,0.9952670995903279,0.9877647205739793,0.35856174071398556,248.93911373997943,159.66951890490083,-0.284
0.27,0.9936955215317087,0.9859769093360853,0.35828506587256775,248.94022629578305,159.78994556431977,-0.284
0.28,0.9920249578957151,0.9841895408173249,0.3580226574296816,248.941090527443,159.90186695989397,-0.284
0.29,0.9905472539690409,0.9824825322814126,0.35777797294497277,248.94176573551925,160.00446882310038,-0.284
0.3,0.9892593966130914,0.9808623489593403,0.3575538903875088,248.94229578793193,160.09723389286307,-0.284
0.31,0.9881497871404177,0.9793753103501626,0.35735225651131297,248.94271353061262,160.17996464683625,-0.284
0.32,0.98720392814572,0.9780237111433914,0.35717372513817663,248.9430438235868,160.2527761335319,-0.284
0.33,0.9864055170809695,0.9768047733852386,0.3570179450706497,248.9433056615268,160.31606074945304,-0.284
0.34,0.9857374846838228,0.9757288996844192,0.3568838032692258,248.9435136767509,160.37043216701235,-0.284
0.35,0.9851828829232215,0.9747896805303248,0.3567696519924685,248.9436792199674,160.41665860503312,-0.284
0.36,0.984725568586622,0.9739789471676067,0.3566735151947389,248.943811148194,160.4555956864993,-0.284
0.37,0.984350669307435,0.9732873917630497,0.3565932700056054,248.9439164066734,160.48812688470142,-0.284
0.38,0.9840448499957419,0.972699687395001,0.3565267949702589,248.94400046378558,160.5151162495769,-0.284
0.39,0.9837964159005965,0.9722047058555693,0.3564720773422066,248.9440676395933,160.53737490442126,-0.284
0.4,0.9835952949459787,0.9717979868280251,0.3564272789922005,248.94412135640226,160.55564042647012,-0.284
0.41,0.983432939941146,0.9714554470830392,0.35639076781396756,248.94416433143664,160.5705668776189,-0.284
0.42,0.983302184575756,0.9711795275566736,0.35636112462403696,248.9441987260607,160.5827227865563,-0.284
0.43,0.9831970788352208,0.9709498872852241,0.35633713492907626,248.9442262620505,160.59259450924088,-0.284
0.44,0.9831127215670006,0.970763531503378,0.35631777251765157,248.9442483126524,160.60059282490323,-0.284
0.45,0.9830451013566867,0.9706141080766489,0.356302179311255,248.9442659742031,160.6070611488939,-0.284
0.46,0.9829909519087094,0.9704944257997544,0.35628964410474806,248.94428012265618,160.61228423693538,-0.284
0.47,0.9829476246581964,0.9703959106063812,0.35627958175872704,248.94429145832854,160.61649666093902,-0.284
0.48,0.9829129790902875,0.9703158565416313,0.3562715137833754,248.94430054140403,160.6198906411905,-0.284
0.49,0.9828852899016232,0.9702518646392514,0.3562650508424772,248.94430782016002,160.62262303264302,-0.284
0.5,0.9828631694301913,0.9702007354249345,0.35625987740799675,248.94431365344204,160.62482140237603,-0.284
