ProjYears,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,0.999870233610524,0.9973134905148644,0.36436237311889186,266.3408670350489,157.09991808829844,-0.284
1.0,0.9998728880564924,0.9973134905148644,0.3640058142979945,254.3116680148692,157.22811445861106,-0.284
2.0,0.9998370290719262,0.9965388317732321,0.36400470540889424,250.54257658616197,157.22696419597287,-0.284
3.0,0.9998385109645024,0.9965752022438089,0.3639988248279866,250.94766766149647,157.2284379660942,-0.284
4.0,0.9998398618020823,0.9966083401646154,0.3639933681514477,251.41922092505786,157.2302807084371,-0.284
5.0,0.9998410912355191,0.9966384850493438,0.36398828981494047,251.92435693837007,157.23237669036718,-0.284
6.0,0.9998422083274695,0.9966658613908385,0.3639835392184054,252.43357035034492,157.23464566532053,-0.284
7.0,0.9998432215652329,0.9966906791261315,0.3639790711709641,252.92498842108762,157.23702754323187,-0.284
8.0,0.9998441388786901,0.9967131341858657,0.36397703829059846,253.3848598450894,157.23947511573695,-0.284
9.0,0.999844967661807,0.9967334091017864,0.36397572316745846,253.80601203197983,157.2419502044627,-0.284
10.0,0.9998457147965155,0.9967516736513183,0.3639743121537012,254.1858226584617,157.24442150536748,-0.284
