Choice_r,IF_sens_r,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-1.0
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.99
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.98
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.97
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.96
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.95
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.94
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.93
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.92
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.91
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.9
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.89
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.88
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.87
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.86
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.85
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.84
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.83
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.82
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.81
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.8
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.79
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.78
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.77
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.76
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.75
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.74
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.73
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.72
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.71
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.7
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.69
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.68
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.67
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.66
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.65
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.64
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.63
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.62
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.61
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.6
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.59
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.58
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.57
0.01,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.56
