Goal_l,IF_thresh_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.0,0.0,0.9721516115164621,0.5772345462625026,0.5115305618604485,288.70395584678306,144.18372044376719,-1.0
1.0,0.0,0.9726071957772296,0.583101570623569,0.47620212354989117,287.9151519407861,152.92265934474298,-0.99
1.0,0.0,0.9730616007032695,0.5889685949846356,0.45748143985983103,287.20596670881906,153.10261371029824,-0.98
1.0,0.0,0.9735138709449084,0.5948356193457021,0.4437140623718732,286.588855917201,153.26796145337738,-0.97
1.0,0.0,0.9739662332109785,0.6007026437067687,0.43311983308598273,286.07398005584463,153.44898208188323,-0.96
1.0,0.0,0.9744178061714707,0.6065696680678352,0.4246864070210554,285.66248511170966,153.63055929637002,-0.95
1.0,0.0,0.9748687884264222,0.6124366924289016,0.4177938836855601,285.3533333675148,153.81270056530929,-0.94
1.0,0.0,0.9753194181464252,0.6183037167899682,0.4120394435357948,285.14637791448484,153.9954145526288,-0.93
1.0,0.0,0.975779511530511,0.6241707411510347,0.4071911242769915,285.0294793437496,154.16642563839304,-0.92
1.0,0.0,0.9762222049878525,0.6300377655121011,0.4029828204656994,284.98701963378767,154.34676200439964,-0.91
1.0,0.0,0.976673570183269,0.6359047898731677,0.39930354221019665,285.0019890995865,154.531209944597,-0.9
1.0,0.0,0.9771259536518684,0.6417718142342341,0.396055595716585,285.0578877716172,154.71626795113013,-0.89
1.0,0.0,0.9775798131061715,0.6476388385953008,0.39316153454662556,285.1401039366271,154.90194716520338,-0.88
1.0,0.0,0.9780356510766484,0.653505862956367,0.3905616699314249,285.23666392642554,155.0882589953003,-0.87
1.0,0.0,0.9784997190123466,0.6593728873174337,0.3882711022815941,285.33843010469906,155.25936568203184,-0.86
1.0,0.0,0.9789607823207547,0.6652399116785,0.38612884434473577,285.4389123383846,155.4467931116125,-0.85
1.0,0.0,0.9794254817628439,0.6711069360395667,0.38416717068628725,285.5338662560916,155.63484806147807,-0.84
1.0,0.0,0.9798944563160329,0.6769739604006332,0.38236186589564053,285.6208161440558,155.82353467186306,-0.83
1.0,0.0,0.9803683715388773,0.6828409847616999,0.38069312481000955,285.6985930235126,156.01285632280923,-0.82
1.0,0.0,0.9808689924271106,0.6887080091227661,0.3791471966034363,285.7669370645946,156.20268083632917,-0.81
1.0,0.0,0.9813416391829058,0.6945750334838326,0.377763762237836,285.8261844325679,156.37656867311253,-0.8
1.0,0.0,0.9818321718319811,0.7004420578448993,0.3764226472834136,285.87704155232126,156.56680837575271,-0.79
1.0,0.0,0.9822161548795897,0.7063090822059658,0.37509937424717305,285.22574349496176,156.74805917725536,-0.78
1.0,0.0,0.9825783292150916,0.7121761065670322,0.37384294701299153,284.269969441828,156.92776682619493,-0.77
1.0,0.0,0.98294031320026,0.7180431309280988,0.3726704941277892,283.31450630548727,157.1077695198015,-0.76
1.0,0.0,0.9833237036601015,0.7239101552891652,0.3715775576462447,282.35821968181233,157.28791464724108,-0.75
1.0,0.0,0.9836750877554151,0.7297771796502318,0.3705970803366215,281.3518941160838,157.4519850106271,-0.74
1.0,0.0,0.9840382685731967,0.7356442040112982,0.36959428383764337,280.24316498444404,157.63616209128938,-0.73
1.0,0.0,0.9841982797275226,0.7415112283723648,0.368889042810209,279.14527454235224,157.73264592197003,-0.72
1.0,0.0,0.9843988805275646,0.7473782527334314,0.3683511593136501,278.05087062626467,157.7884269014541,-0.71
1.0,0.0,0.9846190433622796,0.7532452770944978,0.36785557497731197,276.95367608930917,157.83838419760914,-0.7
1.0,0.0,0.9848360057533874,0.7591123014555643,0.3673826550916166,275.8534521895944,157.88817086867064,-0.69
1.0,0.0,0.985049715861479,0.7649793258166306,0.36693811069785914,274.75002250461546,157.93758588230548,-0.68
1.0,0.0,0.9852606978335005,0.7708463501776973,0.3665146981303246,273.6433999158594,157.98709679414748,-0.67
1.0,0.0,0.9854678742454083,0.7767133745387637,0.366115918250526,272.5340739615745,158.03629933398267,-0.66
1.0,0.0,0.9856704436238087,0.7825803988998303,0.3657378132111737,271.4236163664684,158.08529666013206,-0.65
1.0,0.0,0.9858680534244653,0.7884474232608967,0.3653811127847435,270.3157964781812,158.13446181626804,-0.64
1.0,0.0,0.9860596904156661,0.7943144476219633,0.36504651830008367,269.2179758333951,158.18337916186138,-0.63
1.0,0.0,0.9862486929148228,0.8001814719830298,0.3647318055280591,268.1401935858063,158.23233723419168,-0.62
1.0,0.0,0.9864667502799839,0.8060484963440964,0.36442297874100954,267.085593896949,158.2812402248728,-0.61
1.0,0.0,0.986682841890962,0.8119155207051626,0.3640303085568099,266.006694220283,158.3315724246142,-0.6
1.0,0.0,0.9868885599030494,0.8177825450662295,0.36371475821791055,264.9227569906677,158.38942496897434,-0.59
1.0,0.0,0.9872185197220419,0.8236495694272958,0.36345967186834977,263.8060718601109,158.44878933381446,-0.58
1.0,0.0,0.9874645879591134,0.8295165937883626,0.36326350047054,262.6479218243385,158.47554975862818,-0.57
1.0,0.0,0.987525619726596,0.8353836181494289,0.36310330433919225,261.4563615078814,158.4711784289978,-0.56
1.0,0.0,0.9875912040286182,0.8412506425104955,0.3629493670201485,260.2361659956782,158.46708643384224,-0.55
1.0,0.0,0.9876610539605404,0.8471176668715619,0.3628025120462317,258.9890774709835,158.46325928057888,-0.54
1.0,0.0,0.9879205808647523,0.8529846912326281,0.3626145291917056,257.7153899419361,158.4968704787162,-0.53
1.0,0.0,0.9882456413697333,0.8588517155936949,0.36241374322129616,256.4175217944861,158.54367937958986,-0.52
1.0,0.0,0.9885677501735575,0.8647187399547615,0.3622195335753491,255.10353776151274,158.59006006380605,-0.51
1.0,0.0,0.9888870645380112,0.8705857643158278,0.362034841290902,253.7922274003661,158.63603864200954,-0.5
