MagCAPShock,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
-1.0,0.9729940026819613,0.5772345462625026,0.6799254645572953,306.3468928909685,122.34746523243712,-1.0
-0.99,0.9734540655428997,0.583101570623569,0.5739826252558268,305.4519976802004,131.45578417737875,-0.99
-0.98,0.9739134579173366,0.5889685949846356,0.5189453027814414,304.55302086404976,148.20799214243456,-0.98
-0.97,0.9743721766558202,0.5948356193457021,0.49118254341295814,303.6494133113465,151.19448747122937,-0.97
-0.96,0.9748302182357079,0.6007026437067687,0.47296438003018976,302.7406240093864,151.35067406599788,-0.96
-0.95,0.9752875787641951,0.6065696680678352,0.45907041905413754,301.8261223517125,151.49378810658007,-0.95
-0.94,0.9757442539850538,0.6124366924289016,0.44813067313088756,300.90543064782844,151.6508502328009,-0.94
-0.93,0.9762002392900048,0.6183037167899682,0.4392500200645633,299.97817025743035,151.80836260089572,-0.93
-0.92,0.9766555297357419,0.6241707411510347,0.4318789590605967,299.0441255347907,151.96632101211236,-0.92
-0.91,0.9771101200677437,0.6300377655121011,0.42564802817752295,298.10333050495433,152.12472188704615,-0.91
-0.9,0.9775640047521019,0.6359047898731677,0.42033667016129533,297.15618366668787,152.26932166186896,-0.9
-0.89,0.9780171780166748,0.6417718142342341,0.4156893243270106,296.20359614489666,152.4285529521784,-0.89
-0.88,0.9784696339029345,0.6476388385953008,0.41160206858874004,295.247176978962,152.588222220602,-0.88
-0.87,0.9789213663298971,0.653505862956367,0.4079723958506711,294.28837700951556,152.7483287578707,-0.87
-0.86,0.9793723691714771,0.6593728873174337,0.4047215980630539,293.33147644399565,152.90887260921195,-0.86
-0.85,0.9798226363485248,0.6652399116785,0.40178654012067794,292.37100006544546,153.06974682642087,-0.85
-0.84,0.9802721619366008,0.6711069360395667,0.39917023274056573,291.4145326912642,153.21705071172656,-0.84
-0.83,0.980720940290254,0.6769739604006332,0.3967361163035681,290.4798466205053,153.37887020914226,-0.83
-0.82,0.9811689661841606,0.6828409847616999,0.3945000015535876,289.5780270824156,153.54113944955688,-0.82
-0.81,0.9816162349709131,0.6887080091227661,0.392436181850316,288.7220722583042,153.70386227509806,-0.81
-0.8,0.9820627427545618,0.6945750334838326,0.3905237498165837,287.9264071915708,153.86704329571558,-0.8
-0.79,0.982508486578135,0.7004420578448993,0.38874409444836183,287.20612374140427,154.03069698278796,-0.79
-0.78,0.982932977557058,0.7063090822059658,0.3871319749998417,286.57617309412797,154.18252168816215,-0.78
-0.77,0.9832774618559105,0.7121761065670322,0.38559434524439945,286.05094115123694,154.34707703132622,-0.77
-0.76,0.9836215432462898,0.7180431309280988,0.3841761897132902,285.6441081586826,154.51211440123245,-0.76
-0.75,0.983965222680437,0.7239101552891652,0.3828852184856368,285.3649165522149,154.67763918999293,-0.75
-0.74,0.9843085023627542,0.7297771796502318,0.3817104969626793,285.2025624477626,154.84365623892543,-0.74
-0.73,0.9846513858616962,0.7356442040112982,0.38059459284688435,285.09418342549446,155.01014461365966,-0.73
-0.72,0.9849938781939374,0.7415112283723648,0.37950541386082315,285.0193037239635,155.170521330662,-0.72
-0.71,0.9853359858698088,0.7473782527334314,0.37839712369716133,285.002192164798,155.33793548245978,-0.71
-0.7,0.985677716888383,0.7532452770944978,0.37731423000782177,285.0284938941143,155.50575989007314,-0.7
-0.69,0.9860190806707124,0.7591123014555643,0.37627098236308937,285.08503292748173,155.67398083354524,-0.69
-0.68,0.986360087920787,0.7649793258166306,0.3752718760851827,285.1605939155298,155.8425827108822,-0.68
-0.67,0.9867007504059788,0.7708463501776973,0.3743167359922943,285.2464625529423,156.01154853014393,-0.67
-0.66,0.9870410806521055,0.7767133745387637,0.3735062938837566,285.3364883553074,156.14901363058553,-0.66
-0.65,0.9873810915527889,0.7825803988998303,0.3731719419281174,285.42736393116445,156.15106299644893,-0.65
-0.64,0.9877207958982146,0.7884474232608967,0.3723968529793593,285.51881440755096,156.3014302629416,-0.64
-0.63,0.9880602058343891,0.7943144476219633,0.3714160580585275,285.61393026700824,156.5288133854766,-0.63
-0.62,0.9883993322699098,0.8001814719830298,0.37047181127426804,285.7191093210564,156.7585691027593,-0.62
-0.61,0.9887381842525059,0.8060484963440964,0.3695600782929382,285.837675432439,156.99083733051384,-0.61
-0.6,0.9890755976365091,0.8119155207051626,0.3686286797539274,285.6215350589717,157.18882780602374,-0.6
-0.59,0.9894114031576464,0.8177825450662295,0.36783109120002816,284.7221310589768,157.31270326443655,-0.59
-0.58,0.9897467838397529,0.8236495694272958,0.36758984989875815,283.79737424737266,157.30079309176529,-0.58
-0.57,0.990082002433621,0.8295165937883626,0.36736258524204013,282.8639274123962,157.291153308688,-0.57
-0.56,0.9904211265570624,0.8353836181494289,0.367160548146326,281.79205969121483,157.28781051524217,-0.56
-0.55,0.990762320258038,0.8412506425104955,0.36696705961968323,280.7137012885533,157.28638307952957,-0.55
-0.54,0.9911053746791247,0.8471176668715619,0.36678703963728543,279.6340053047823,157.2817555160422,-0.54
-0.53,0.9914482985069061,0.8529846912326281,0.3666126608412616,278.55046132673954,157.2769909610994,-0.53
-0.52,0.9917910912361017,0.8588517155936949,0.36644603733514086,277.4617792149053,157.2729026339536,-0.52
-0.51,0.9921337523066786,0.8647187399547615,0.3662903998823635,276.36927115498565,157.26940908621745,-0.51
-0.5,0.9924762811014028,0.8705857643158278,0.36614817960266843,275.2776319076657,157.26645793850977,-0.5
-0.49,0.9928186769439512,0.8764527886768942,0.3660219074028541,274.18605616194174,157.26401876476416,-0.49
-0.48,0.9931609390978069,0.8823198130379609,0.3659122629978111,273.09732972722713,157.26100370312088,-0.48
-0.47,0.9935030667662094,0.8881868373990275,0.3658127353926299,271.9935609912566,157.25710307734835,-0.47
-0.46,0.9938450590934897,0.8940538617600939,0.3657039362437782,270.8771988932589,157.2536451761253,-0.46
-0.45,0.9941869151681886,0.8999208861211604,0.3655893734975923,269.74735464816615,157.2504135176565,-0.45
