Impl_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.0,51.0,1.0,1.0,198.22175172771597,523.379923985193,-0.284
2.0,51.0,1.0,1.0,198.72429457285395,523.0944961316148,-0.284
3.0,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
4.0,51.0,1.0,1.0,158.97868676371294,553.2277192485636,-0.284
5.0,51.0,1.0,1.0,159.17375574914158,685.720918226716,-0.284
