MagCAPShock,Bond_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,5.0,50.50041173438102,0.9902041516545298,0.8322193363904891,154.40445886588688,318.071386683208,-1.0
-0.99,5.0,50.52308481929937,0.9906487219470465,0.8380061695711624,154.49063120613096,315.8608288349199,-0.99
-0.98,5.0,50.54559386127237,0.991090075711223,0.8437930027518356,154.57705828717556,313.84085746780886,-0.98
-0.97,5.0,50.56298402904768,0.9914310593930918,0.8495798359325089,154.6637347503018,311.9121507677811,-0.97
-0.96,5.0,50.58036615315672,0.991771885356014,0.8553666691131823,154.75065846770417,310.02306698698396,-0.96
-0.95,5.0,50.597740115136304,0.9921125512771825,0.8611535022938555,154.83201955733966,308.14790801037867,-0.95
-0.94,5.0,50.61510579099897,0.99245305472547,0.8669403354745288,154.91942265640122,306.27345109036156,-0.94
-0.93,5.0,50.63246305152975,0.9927933931672499,0.8727271686552021,155.007064188081,304.39201850871655,-0.93
-0.92,5.0,50.6498117627315,0.9931335639751275,0.8785140018358751,155.0949348045449,302.4981908243543,-0.92
-0.91,5.0,50.667151786455754,0.9934735644403089,0.8843008350165485,155.18302352128939,300.5873347171875,-0.91
-0.9,5.0,50.68448298126919,0.9938133917895919,0.8900876681972218,155.2649352100836,298.6550497402375,-0.9
-0.89,5.0,50.70180520363117,0.9941530432084542,0.895874501377895,155.35348945934095,296.6980799299594,-0.89
-0.88,5.0,50.719118309501646,0.9944925158725813,0.9016613345585685,155.44238458900077,294.715842506649,-0.88
-0.87,5.0,50.73642435394615,0.9948318500773755,0.9074481677392415,155.53168650499893,292.7380858863393,-0.87
-0.86,5.0,50.75372187439905,0.9951710171450794,0.9132350009199148,155.62129486919918,290.7664575267411,-0.86
-0.85,5.0,50.77100995099761,0.9955099990391688,0.919021834100588,155.71120570871827,288.8277529680657,-0.85
-0.84,5.0,50.78828847672246,0.9958487936612247,0.9248086672812615,155.79448185302755,286.98485370153577,-0.84
-0.83,5.0,50.80555737320637,0.9961873994746346,0.9305955004619346,155.8850128640308,285.3299822476229,-0.83
-0.82,5.0,50.822816611720995,0.9965258159160979,0.936382333642608,155.9758830393349,283.97073198431946,-0.82
-0.81,5.0,50.84006625058599,0.9968640441291371,0.9421691668232811,156.06711656429562,282.994926782235,-0.81
-0.8,5.0,50.85730650293651,0.9972020882928727,0.9479560000039545,156.15876540254632,282.42886993395325,-0.8
-0.79,5.0,50.87453785997451,0.9975399580387159,0.953742833184628,156.25085633973572,282.22070570600135,-0.79
-0.78,5.0,50.89176131268134,0.9978776727976734,0.9595296663653011,156.3360380696838,282.26524703060494,-0.78
-0.77,5.0,50.90897873725933,0.9982152693580261,0.9653164995459741,156.42931566817742,282.44924182683803,-0.77
-0.76,5.0,50.926193514594395,0.9985528140116549,0.9711033327266476,156.5235394614525,282.68350227129196,-0.76
-0.75,5.0,50.94341135699365,0.9988904187645814,0.9768901659073207,156.6191511623501,282.90936201782574,-0.75
-0.74,5.0,50.96064089620491,0.9992282528667629,0.9826769990879943,156.71682223643273,283.0899799707033,-0.74
-0.73,5.0,50.97789258504234,0.99956652127534,0.9884638322686674,156.81737764453106,283.2052909860753,-0.73
-0.72,5.0,50.99425066544934,0.9998872679499872,0.9942506654493406,156.92134856388796,283.2589036737154,-0.72
-0.71,5.0,51.0,1.0,1.0,157.02063708958724,283.275913399109,-0.71
-0.7,5.0,51.0,1.0,1.0,157.1290912559601,283.2797963191106,-0.7
-0.69,5.0,51.0,1.0,1.0,157.23701671838666,283.28053567203494,-0.69
-0.68,5.0,51.0,1.0,1.0,157.3433610108658,283.2805360132366,-0.68
-0.67,5.0,51.0,1.0,1.0,157.44480910200622,282.869532175108,-0.67
-0.66,5.0,51.0,1.0,1.0,157.5323876394251,280.35553207316093,-0.66
-0.65,5.0,51.0,1.0,1.0,157.62003426694844,278.03480185695224,-0.65
-0.64,5.0,51.0,1.0,1.0,157.69933667534684,275.8220895463163,-0.64
-0.63,5.0,51.0,1.0,1.0,157.78723477528627,273.6649013878466,-0.63
-0.62,5.0,51.0,1.0,1.0,157.87524899059244,271.53271425172085,-0.62
-0.61,5.0,51.0,1.0,1.0,157.9633788155369,269.4078825751714,-0.61
-0.6,5.0,51.0,1.0,1.0,158.0516242021337,267.2796136514572,-0.6
-0.59,5.0,51.0,1.0,1.0,158.13998551230296,265.14024662415216,-0.59
-0.58,5.0,51.0,1.0,1.0,158.2283998073247,262.9828664662932,-0.58
-0.57,5.0,51.0,1.0,1.0,158.3088384219583,260.80010116857,-0.57
-0.56,5.0,51.0,1.0,1.0,158.3975115571826,258.5837090838125,-0.56
-0.55,5.0,51.0,1.0,1.0,158.48630819538147,256.32670864884096,-0.55
-0.54,5.0,51.0,1.0,1.0,158.5752300704683,254.0315458694024,-0.54
-0.53,5.0,51.0,1.0,1.0,158.66427920246088,251.73095316937076,-0.53
-0.52,5.0,51.0,1.0,1.0,158.7534579056446,249.5263989061293,-0.52
-0.51,5.0,51.0,1.0,1.0,158.84276879318438,247.62266572539633,-0.51
-0.5,5.0,51.0,1.0,1.0,158.92592191866405,246.2782038311541,-0.5
-0.49,5.0,51.0,1.0,1.0,159.0154121056732,245.61947023668148,-0.49
-0.48,5.0,51.0,1.0,1.0,159.10502564196182,245.50718794651203,-0.48
-0.47,5.0,51.0,1.0,1.0,159.19476029660453,245.66319565201786,-0.47
-0.46,5.0,51.0,1.0,1.0,159.28461343529221,245.87375855193625,-0.46
-0.45,5.0,51.0,1.0,1.0,159.3745821938963,246.04596325369346,-0.45
-0.44,5.0,51.0,1.0,1.0,159.46466383094395,246.16261970034213,-0.44
-0.43,5.0,51.0,1.0,1.0,159.55482191238917,246.234423758892,-0.43
-0.42,5.0,51.0,1.0,1.0,159.64232065068379,246.2763255354511,-0.42
-0.41,5.0,51.0,1.0,1.0,159.73139308471562,246.3000690839184,-0.41
-0.4,5.0,51.0,1.0,1.0,159.82041430813396,246.31333814145623,-0.4
-0.39,5.0,51.0,1.0,1.0,159.90940370148698,246.32073441987,-0.39
-0.38,5.0,51.0,1.0,1.0,159.99841099542607,246.3248824510396,-0.38
-0.37,5.0,51.0,1.0,1.0,160.08754397782923,246.32723857683064,-0.37
-0.36,5.0,51.0,1.0,1.0,160.17704640284134,246.32859942580325,-0.36
-0.35,5.0,51.0,1.0,1.0,160.26770295148393,246.3293951631316,-0.35
-0.34,5.0,51.0,1.0,1.0,160.3465259770447,246.32940300162943,-0.34
-0.33,5.0,51.0,1.0,1.0,160.41813336819206,246.32927007229353,-0.33
-0.32,5.0,51.0,1.0,1.0,160.50332350940892,246.32912768551265,-0.32
-0.31,5.0,51.0,1.0,1.0,160.58938681991935,246.32897521298318,-0.31
-0.3,5.0,51.0,1.0,1.0,160.63380577078317,246.32881198801962,-0.3
-0.29,5.0,51.0,1.0,1.0,160.6338057707831,246.3286373034573,-0.29
-0.28,5.0,51.0,1.0,1.0,160.63380577078317,246.32845040945926,-0.28
-0.27,5.0,51.0,1.0,1.0,160.63380577078314,246.32825051122364,-0.27
-0.26,5.0,51.0,1.0,1.0,160.6338057707832,246.32803676658793,-0.26
-0.25,5.0,51.0,1.0,1.0,160.63380577078317,246.32780828352628,-0.25
-0.24,5.0,51.0,1.0,1.0,160.6338057707832,246.32756411717887,-0.24
-0.23,5.0,51.0,1.0,1.0,160.63380577078314,246.32730324613794,-0.23
-0.22,5.0,51.0,1.0,1.0,160.6338057707832,246.3270245647675,-0.22
-0.21,5.0,51.0,1.0,1.0,160.6338057707832,246.32672679423226,-0.21
-0.2,5.0,51.0,1.0,1.0,160.63380577078317,246.32640823235963,-0.2
-0.19,5.0,51.0,1.0,1.0,160.63380577078323,246.32606604113582,-0.19
-0.18,5.0,51.0,1.0,1.0,160.63380577078317,246.32569424964393,-0.18
-0.17,5.0,51.0,1.0,1.0,160.63380577078317,246.3252783967167,-0.17
-0.16,5.0,51.0,1.0,1.0,160.6338057707832,246.32478171754883,-0.16
-0.15,5.0,51.0,1.0,1.0,160.6338057707832,246.32391870192254,-0.15
-0.14,5.0,51.0,1.0,1.0,160.63380577078308,246.32214045489255,-0.14
-0.13,5.0,51.0,1.0,1.0,160.63380577078314,246.3101887815138,-0.13
-0.12,5.0,51.0,1.0,1.0,160.63380577078325,246.27508309376378,-0.12
-0.11,5.0,51.0,1.0,1.0,160.6338057707832,246.18311264107385,-0.11
