MagCAPShock,ProjYears,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,50.34181348420486,0.9870943820432326,0.7554951617538803,183.81583195894797,563.7734479747902,-1.0
-0.99,0.0,50.34980143135847,0.9872510084580093,0.7581977412317418,184.2163554388103,562.5583902510745,-0.99
-0.98,0.0,50.357663650739326,0.9874051696223397,0.7608954724286348,184.53220009599514,561.3746287182669,-0.98
-0.97,0.0,50.3653336830462,0.9875555624126706,0.7635883629367248,184.71268883937813,560.2416324054857,-0.97
-0.96,0.0,50.37270547527544,0.9877001073583419,0.766276419990151,184.67661650940727,559.192346923553,-0.96
-0.95,0.0,50.37961165477645,0.9878355226426754,0.7689596504320735,184.29361012104965,558.2850641548536,-0.95
-0.94,0.0,50.38579193538373,0.9879567046153672,0.7716380606730955,183.35363794725401,557.629200038103,-0.94
-0.93,0.0,50.38933201393525,0.988026117920299,0.7743116566391697,181.38408041444035,557.4447565138133,-0.93
-0.92,0.0,50.381309002248855,0.9878688039656638,0.7769804437044604,178.0543911779669,558.1992457558666,-0.92
-0.91,0.0,50.36470728081167,0.9875432800159152,0.7796444266045778,172.92328704656288,560.8870799805198,-0.91
-0.9,0.0,50.33589701022856,0.9869783727495796,0.7823036093225942,177.53967109095478,568.748221851048,-0.9
-0.89,0.0,50.290895521326405,0.9860959906142432,0.7849579949384439,177.31452818009848,591.6194977113166,-0.89
-0.88,0.0,50.28424847983373,0.985965656467328,0.7809760329721526,176.94430386928013,591.9554694146927,-0.88
-0.87,0.0,50.351869928328824,0.9872915672221338,0.7560606166794315,199.9606520050276,576.6614013041182,-0.87
-0.86,0.0,50.327580083402,0.9868152957529803,0.7262829657326305,197.1762331169135,576.2987594651618,-0.86
-0.85,0.0,50.30116555009738,0.9862973637273996,0.6943854254086859,193.14121425014642,575.2825897289722,-0.85
-0.84,0.0,50.27618249368112,0.9858074998761004,0.6639241672043958,189.26518514166517,573.2332222346904,-0.84
-0.83,0.0,50.24354262836923,0.9851675025170437,0.6379411430630392,179.92182404127385,573.1770526873894,-0.83
-0.82,0.0,50.20721458164474,0.9844551878753871,0.6180031168193671,171.208775785047,573.121497067068,-0.82
-0.81,0.0,50.18134439205561,0.9839479292559923,0.6041551916866619,165.11053125940563,573.185741243462,-0.81
-0.8,0.0,50.17273889834593,0.9837791940852144,0.5954959762030901,162.52332356907291,573.3516421325812,-0.8
-0.79,0.0,50.1777668928109,0.9838777822119784,0.5908094369219539,162.5978666114588,573.6432080419587,-0.79
-0.78,0.0,50.18165813971704,0.9839540811709223,0.5889595992435291,162.66224221950552,573.8116579158985,-0.78
-0.77,0.0,50.18476770552373,0.984015053049485,0.589044783476654,162.71953563539483,573.8722875684392,-0.77
-0.76,0.0,50.187371786755556,0.9840661134657952,0.5904105833931189,162.7727822301384,573.8695702079477,-0.76
-0.75,0.0,50.189664945341214,0.9841110773596317,0.5926065330790604,162.82424011914824,573.8533193203191,-0.75
-0.74,0.0,50.19177644898361,0.9841524793918355,0.5953323447860152,162.8753457707334,573.8821917060164,-0.74
-0.73,0.0,50.19378921664723,0.9841919454244555,0.5983916955583344,162.9269118634174,574.0264022240397,-0.73
-0.72,0.0,50.19496899305673,0.98421507829523,0.6014133766135877,162.9784941475017,573.8869638338817,-0.72
-0.71,0.0,50.19447524234097,0.9842053969086465,0.6040363680797383,163.0297373617179,573.1527507093181,-0.71
-0.7,0.0,50.19459499659658,0.9842077450313055,0.6067339497643186,163.17450729126,573.0284580053462,-0.7
-0.69,0.0,50.20008607061427,0.9843154131492994,0.6094713363451814,164.29029425627198,572.8226808731794,-0.69
-0.68,0.0,50.20564610036781,0.9844244333405453,0.6122252220592884,165.4169276568055,572.9082604253855,-0.68
-0.67,0.0,50.211241018895876,0.9845341376254093,0.6149790799902298,166.54780509247897,573.2521411174382,-0.67
-0.66,0.0,50.21684398357475,0.9846439996779363,0.6177199992695278,167.67777457274414,573.8090622250033,-0.66
-0.65,0.0,50.222430804032236,0.9847535451771027,0.6204364410929076,168.80224218318102,574.5282645867568,-0.65
-0.64,0.0,50.22797636964505,0.984862281757746,0.623116491637399,169.91647656317684,575.3595270121591,-0.64
-0.63,0.0,50.23345145972098,0.9849696364651173,0.6257463115007746,171.01499096025307,576.2574000736956,-0.63
-0.62,0.0,50.238819455847874,0.9850748912911348,0.6283085493194323,172.09091038039503,577.183341882913,-0.62
-0.61,0.0,50.244032532693566,0.9851771084841876,0.6307805169856335,173.13524300340853,578.1060599206846,-0.61
-0.6,0.0,50.24902689916483,0.9852750372385262,0.6331319250628756,173.82851159687158,579.0008853376629,-0.6
-0.59,0.0,50.25371660635398,0.9853669922814506,0.6353219554991141,174.36652370402953,579.8474271356927,-0.59
-0.58,0.0,50.25798533672002,0.9854506928768632,0.6372954084977406,174.79396187845668,580.6283037454459,-0.58
-0.57,0.0,50.261675442728546,0.9855230478966381,0.6389776054736941,175.08601180666238,581.3271132799189,-0.57
-0.56,0.0,50.264573316922736,0.9855798689592693,0.6402676675322871,175.209457720259,581.9265470683301,-0.56
-0.55,0.0,50.266389962298305,0.9856154894568295,0.6410297338564763,175.12134944299063,582.4069187247794,-0.55
-0.54,0.0,50.266735426893405,0.9856222632724198,0.6410816678159037,174.7712494197294,582.7458971054574,-0.54
-0.53,0.0,50.2650856502126,0.985589914710051,0.6401808814249325,174.12071734077458,582.9232292297802,-0.53
-0.52,0.0,50.26074041416568,0.9855047140032487,0.6380072058032064,173.25179117928928,582.9509777780854,-0.52
-0.51,0.0,50.25277187409674,0.9853484681195439,0.6341434664866581,172.9706748528453,583.0678922108121,-0.51
-0.5,0.0,50.23996560221466,0.9850973647493071,0.6280561180900978,173.03257281337537,585.0095664818516,-0.5
-0.49,0.0,50.22076547344622,0.9847208916362004,0.6190834676622958,169.60660573063822,591.7183976833027,-0.49
-0.48,0.0,50.19330504606188,0.9841824518835662,0.6064736577790791,164.77288611901216,593.3336691605197,-0.48
-0.47,0.0,50.186929290971946,0.9840574370778813,0.5900448408080847,164.50100529111018,585.4440952453131,-0.47
-0.46,0.0,50.18130127718797,0.9839470838664308,0.5862326549570583,164.56740531923762,584.1527658258342,-0.46
-0.45,0.0,50.53985376468846,0.9909775247978129,0.791693408172531,197.98796366211312,563.6066381555663,-0.45
-0.44,0.0,50.46151499961759,0.9894414705807371,0.8044196786726655,189.34452434569778,587.3335684742707,-0.44
-0.43,0.0,50.36949437556259,0.9876371446188743,0.7819350450443737,184.25008407168718,603.3643067345935,-0.43
-0.42,0.0,50.27551239863532,0.9857943607575553,0.7558903048938375,175.45220752088034,614.873152326425,-0.42
-0.41,0.0,50.404409492962486,0.9883217547639703,0.7271246992236862,194.22625399078862,576.8453247359154,-0.41
-0.4,0.0,50.331090369823464,0.9868841248984993,0.6954754982279105,189.86233336297954,575.1861996258785,-0.4
-0.39,0.0,50.220484951812026,0.9847153912120005,0.6506456431359353,185.6502842787542,576.3687124265153,-0.39
-0.38,0.0,50.14880616195577,0.9833099247442307,0.6155003699490893,175.3071173316183,574.7683921011934,-0.38
-0.37,0.0,50.106711926575954,0.9824845475799207,0.5921542322371044,164.25546505780233,576.3753674178198,-0.37
-0.36,0.0,50.097255325515604,0.9822991240297178,0.5909754401186071,158.9109317106148,576.9896341567741,-0.36
-0.35,0.0,50.099702123680075,0.9823471004643152,0.573052394441278,156.58581962038377,577.1571833616332,-0.35
-0.34,0.0,50.09506511000072,0.9822561786274651,0.5589733088692229,155.43179084277688,573.9611973303961,-0.34
-0.33,0.0,50.084996400826526,0.9820587529573829,0.5483602737623021,155.188504921969,567.6956451300654,-0.33
-0.32,0.0,50.07689006370041,0.9818998051705963,0.5407063942384364,154.98206263452886,563.0264256144065,-0.32
-0.31,0.0,50.0703418032962,0.9817714079077686,0.5354783189268006,154.80422207611215,559.6518523603938,-0.31
-0.3,0.0,50.06499857571771,0.981666638739563,0.5321794103124027,154.6481667955723,557.3072585221643,-0.3
-0.29,0.0,50.060568719059276,0.9815797788050838,0.5303803237640522,154.50846976702783,555.7693646425085,-0.29
-0.28,0.0,50.056820147626965,0.9815062774044503,0.5297276574457949,154.38092070941974,554.8555102683,-0.28
-0.27,0.0,50.0535729352404,0.9814426065733413,0.529940180463222,154.26231141914198,554.419941213534,-0.27
-0.26,0.0,50.05069014315235,0.9813860812382814,0.5307993565738586,154.15022790804113,554.3486184583027,-0.26
-0.25,0.0,50.048068920320645,0.9813346847121696,0.5321382283949988,154.04287004000435,554.5536104420526,-0.25
-0.24,0.0,50.04563275877585,0.9812869168387423,0.5338307945933675,153.9389041912613,554.9677553549916,-0.24
-0.23,0.0,50.04332515247951,0.981241669656461,0.5357828018525661,153.8373472499222,555.5399442815127,-0.23
-0.22,0.0,50.041104597977274,0.9811981293721034,0.5379241988219474,153.7374774560732,556.2311319258007,-0.22
-0.21,0.0,50.038940749756684,0.9811557009756212,0.5402031671439038,153.63876697875256,557.0110425331129,-0.21
-0.2,0.0,50.03681151339146,0.9811139512429699,0.5425815096719098,153.54083150874408,557.8554963574361,-0.2
-0.19,0.0,50.0347008737526,0.9810725661520118,0.5450311442625158,153.44339288279153,558.7443385030649,-0.19
-0.18,0.0,50.03259728624066,0.9810313193380521,0.5475314680113436,153.34625154261468,559.6601344143515,-0.18
-0.17,0.0,50.03049249259912,0.9809900488744926,0.5500673916544108,153.24926634195,560.5881222612752,-0.17
-0.16,0.0,50.02838065348884,0.980948640264487,0.5526278821568552,153.15233980564886,561.5182045842246,-0.16
-0.15,0.0,49.956713929463604,0.9795434103816393,0.5996646246720695,159.62847777612194,588.3921424155367,-0.15
-0.14,0.0,50.24741028109035,0.9852433388449089,0.7216960421839277,190.3336351009618,580.7613841228973,-0.14
-0.13,0.0,50.33231005054539,0.9869080402067724,0.6544108803885439,189.02381912809597,574.559200222331,-0.13
-0.12,0.0,50.14418977300507,0.9832194073138248,0.5631782145712658,167.4113841691065,574.3558516516949,-0.12
-0.11,0.0,50.110634139542256,0.9825614537165148,0.6639772852336827,184.3496105834069,595.1385572115693,-0.11
-0.1,0.0,50.41851015327072,0.9885982382994258,0.7969691669699708,199.2915285117581,556.2638089477582,-0.1
