MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.7,0.025,51.0,1.0,1.0,196.688546140409,665.4525155036209,-0.7
-0.69,0.025,51.0,1.0,1.0,196.80343499335126,665.3372067058725,-0.69
-0.68,0.025,51.0,1.0,1.0,196.91797422632382,665.2572057469856,-0.68
-0.67,0.025,51.0,1.0,1.0,197.0320776373339,665.2138328128088,-0.67
-0.66,0.025,51.0,1.0,1.0,197.14570305420662,665.2084258092921,-0.66
-0.65,0.025,51.0,1.0,1.0,197.25882409922522,665.2423469468937,-0.65
-0.64,0.025,51.0,1.0,1.0,197.37142186727448,665.3169895826333,-0.64
-0.63,0.025,51.0,1.0,1.0,197.47939345314705,668.0842239674006,-0.63
-0.62,0.025,51.0,1.0,1.0,197.47467480966918,672.6379710550002,-0.62
-0.61,0.025,51.0,1.0,1.0,197.46811346723499,676.9411112266633,-0.61
-0.6,0.025,51.0,1.0,1.0,197.4613922129442,680.7535689479721,-0.6
-0.59,0.025,51.0,1.0,1.0,197.45649038986875,684.705248207542,-0.59
-0.58,0.025,51.0,1.0,1.0,197.5716560542254,688.8339711257831,-0.58
-0.57,0.025,51.0,1.0,1.0,197.72397411702863,693.1663106893543,-0.57
-0.56,0.025,51.0,1.0,1.0,197.8798392181528,697.7647879589226,-0.56
-0.55,0.025,51.0,1.0,1.0,197.90013979902872,695.6920771456797,-0.55
-0.54,0.025,51.0,1.0,1.0,197.85831821735593,693.4472447898507,-0.54
-0.53,0.025,51.0,1.0,1.0,197.99279242431209,691.2583827254076,-0.53
-0.52,0.025,51.0,1.0,1.0,198.09405306774556,689.0682271782141,-0.52
-0.51,0.025,51.0,1.0,1.0,198.08281182161357,686.8431576994651,-0.51
-0.5,0.025,51.0,1.0,1.0,198.22816554830692,684.11882135655,-0.5
-0.49,0.025,51.0,1.0,1.0,198.22996485093293,680.9620188338503,-0.49
-0.48,0.025,51.0,1.0,1.0,198.3375727555211,677.4982938910163,-0.48
-0.47,0.025,51.0,1.0,1.0,198.35281584875585,674.6789481863774,-0.47
-0.46,0.025,51.0,1.0,1.0,198.4636678075835,674.7123736906639,-0.46
-0.45,0.025,51.0,1.0,1.0,198.5944092161548,679.161464568093,-0.45
-0.44,0.025,51.0,1.0,1.0,198.67761829624536,686.8407963699519,-0.44
-0.43,0.025,51.0,1.0,1.0,198.58475991262483,695.6269292978951,-0.43
-0.42,0.025,51.0,1.0,1.0,198.49162307081565,704.4041416650849,-0.42
-0.41,0.025,51.0,1.0,1.0,198.384968554989,712.9103948167401,-0.41
-0.4,0.025,51.0,1.0,1.0,198.26969104230977,721.1850090088769,-0.4
-0.39,0.025,51.0,1.0,1.0,198.1516296583409,729.3147531941136,-0.39
-0.38,0.025,51.0,1.0,1.0,198.0248418721493,737.3671163689746,-0.38
-0.37,0.025,51.0,1.0,1.0,197.9125419161838,745.4471832034967,-0.37
-0.36,0.025,51.0,1.0,1.0,197.66370489241342,750.7960598763515,-0.36
-0.35,0.025,51.0,1.0,1.0,196.3071989223353,748.3164455092918,-0.35
-0.34,0.025,51.0,1.0,1.0,195.09782133208557,745.832452978258,-0.34
-0.33,0.025,51.0,1.0,1.0,194.13176826499398,743.3463721008795,-0.33
-0.32,0.025,51.0,1.0,1.0,193.9001683498279,740.8266778883319,-0.32
-0.31,0.025,51.0,1.0,1.0,194.08206823288344,738.302293570841,-0.31
-0.3,0.025,51.0,1.0,1.0,194.38997960219245,735.7895998040957,-0.3
-0.29,0.025,51.0,1.0,1.0,194.64857275779363,733.2940095883595,-0.29
-0.28,0.025,51.0,1.0,1.0,195.01219207006636,730.8228877274391,-0.28
-0.27,0.025,51.0,1.0,1.0,195.9265029806889,728.3865297870616,-0.27
-0.26,0.025,51.0,1.0,1.0,194.93092883880186,725.5235431131483,-0.26
-0.25,0.025,51.0,1.0,1.0,193.9559535861443,721.8329507238334,-0.25
-0.24,0.025,51.0,1.0,1.0,192.66204002996184,718.1227253799201,-0.24
-0.23,0.025,51.0,1.0,1.0,189.43565145191081,716.1069666767345,-0.23
-0.22,0.025,51.0,1.0,1.0,186.5462354584026,715.7721526449061,-0.22
-0.21,0.025,51.0,1.0,1.0,183.97711219548856,717.1747166410651,-0.21
-0.2,0.025,51.0,1.0,1.0,181.81062156394808,719.6319639871214,-0.2
-0.19,0.025,51.0,1.0,1.0,180.07087008670254,722.3314523131545,-0.19
-0.18,0.025,51.0,1.0,1.0,178.76035581238622,724.7144511141317,-0.18
-0.17,0.025,51.0,1.0,1.0,178.10031473830364,726.1547315233817,-0.17
-0.16,0.025,51.0,1.0,1.0,178.23801500887808,726.2913612961394,-0.16
-0.15,0.025,51.0,1.0,1.0,197.53037329269813,705.9567958384063,-0.15
-0.14,0.025,51.0,1.0,1.0,201.69005103660416,705.1756705860208,-0.14
-0.13,0.025,51.0,1.0,1.0,204.25169400971126,677.2543082201245,-0.13
-0.12,0.025,51.0,1.0,1.0,206.4790904706824,639.110869963429,-0.12
-0.11,0.025,51.0,1.0,1.0,206.0254042577423,707.2074748663343,-0.11
-0.1,0.025,51.0,1.0,1.0,207.2271498181906,702.2177241912237,-0.1
-0.09,0.025,51.0,1.0,1.0,209.98183061224876,641.9325006729094,-0.09
-0.08,0.025,51.0,1.0,1.0,211.2022704611253,678.0678954948174,-0.08
-0.07,0.025,51.0,1.0,1.0,211.8476413558595,686.6445988726476,-0.07
-0.06,0.025,51.0,1.0,1.0,213.77961132506388,629.4836725634555,-0.06
-0.05,0.025,51.0,1.0,1.0,212.11070944516302,717.7256491188181,-0.05
-0.04,0.025,51.0,1.0,1.0,211.54905358328813,738.671783331959,-0.04
-0.03,0.025,51.0,1.0,1.0,217.89158536126274,610.4308258549447,-0.03
-0.02,0.025,51.0,1.0,1.0,212.5677607628045,697.0699535979332,-0.02
-0.01,0.025,51.0,1.0,1.0,215.9900932016845,716.3528301113444,-0.01
0.0,0.025,51.0,1.0,1.0,220.4848594870421,648.3165999140721,0.0
-1.0,0.03,51.0,1.0,1.0,194.56125827490277,625.528307165988,-1.0
-0.99,0.03,51.0,1.0,1.0,194.6576829675464,622.3686972791289,-0.99
-0.98,0.03,51.0,1.0,1.0,194.78171109827576,618.7784049478166,-0.98
-0.97,0.03,51.0,1.0,1.0,194.90597926417655,617.391815320534,-0.97
-0.96,0.03,51.0,1.0,1.0,195.03128518913263,619.1155715784556,-0.96
-0.95,0.03,51.0,1.0,1.0,195.15819534517823,623.1764165848491,-0.95
-0.94,0.03,51.0,1.0,1.0,195.28723123503175,627.759098022161,-0.94
-0.93,0.03,51.0,1.0,1.0,195.41356315705272,630.8557716129058,-0.93
-0.92,0.03,51.0,1.0,1.0,195.49448711769531,621.3449701827989,-0.92
-0.91,0.03,51.0,1.0,1.0,195.66767095219134,617.2878112836346,-0.91
-0.9,0.03,51.0,1.0,1.0,195.84527509587696,622.6076313800563,-0.9
-0.89,0.03,51.0,1.0,1.0,195.77558187648916,631.0720265771849,-0.89
-0.88,0.03,51.0,1.0,1.0,195.70531241437547,639.0675768695164,-0.88
-0.87,0.03,51.0,1.0,1.0,195.70846303208992,645.6987926924413,-0.87
-0.86,0.03,51.0,1.0,1.0,195.61595042865378,642.9476394406842,-0.86
-0.85,0.03,51.0,1.0,1.0,195.54710011129382,638.8777714535255,-0.85
-0.84,0.03,51.0,1.0,1.0,195.6834950971326,634.2767047802696,-0.84
-0.83,0.03,51.0,1.0,1.0,195.83536758737588,629.0165603006734,-0.83
-0.82,0.03,51.0,1.0,1.0,196.0035153336249,623.3009766676792,-0.82
-0.81,0.03,51.0,1.0,1.0,196.16844165794015,617.950921340265,-0.81
-0.8,0.03,51.0,1.0,1.0,196.33072928827895,615.0671173777512,-0.8
-0.79,0.03,51.0,1.0,1.0,196.35938736151928,616.1436592062809,-0.79
-0.78,0.03,51.0,1.0,1.0,196.35880272728008,620.5509039399793,-0.78
-0.77,0.03,51.0,1.0,1.0,196.35464652713608,625.8417632999875,-0.77
-0.76,0.03,51.0,1.0,1.0,196.34856474872885,630.8651538019076,-0.76
-0.75,0.03,51.0,1.0,1.0,196.342383066491,635.42636125804,-0.75
-0.74,0.03,51.0,1.0,1.0,196.33745433704456,639.4919653016141,-0.74
-0.73,0.03,51.0,1.0,1.0,196.43552705287067,643.599538368251,-0.73
-0.72,0.03,51.0,1.0,1.0,196.57729992407192,647.8071276163347,-0.72
-0.71,0.03,51.0,1.0,1.0,196.71501544073467,652.1680086290543,-0.71
-0.7,0.03,51.0,1.0,1.0,196.86359678092742,656.6164155678356,-0.7
-0.69,0.03,51.0,1.0,1.0,196.98549815817367,658.5680447854184,-0.69
-0.68,0.03,51.0,1.0,1.0,196.91069521097523,656.5338962668969,-0.68
-0.67,0.03,51.0,1.0,1.0,196.83235106854107,654.5174176970202,-0.67
-0.66,0.03,51.0,1.0,1.0,196.95146918168686,652.618449617628,-0.66
-0.65,0.03,51.0,1.0,1.0,197.16341181397854,650.7530121088196,-0.65
-0.64,0.03,51.0,1.0,1.0,197.17167441667357,648.8808429392295,-0.64
-0.63,0.03,51.0,1.0,1.0,197.1549770247869,646.9384494910377,-0.63
-0.62,0.03,51.0,1.0,1.0,197.271542435232,644.6215654987029,-0.62
-0.61,0.03,51.0,1.0,1.0,197.40644013646684,641.998201629293,-0.61
-0.6,0.03,51.0,1.0,1.0,197.41377379309432,639.1080041586338,-0.6
-0.59,0.03,51.0,1.0,1.0,197.52501501576097,636.507959111975,-0.59
-0.58,0.03,51.0,1.0,1.0,197.53714329351712,635.5958303832082,-0.58
-0.57,0.03,51.0,1.0,1.0,197.62972610478747,637.8130483257736,-0.57
-0.56,0.03,51.0,1.0,1.0,197.74835558873576,643.0362191297114,-0.56
-0.55,0.03,51.0,1.0,1.0,197.88640335116455,649.8284638051549,-0.55
-0.54,0.03,51.0,1.0,1.0,197.8798620854711,656.9666071674421,-0.54
-0.53,0.03,51.0,1.0,1.0,197.78061708776067,664.1318286392367,-0.53
-0.52,0.03,51.0,1.0,1.0,197.45634990536564,670.8474944350204,-0.52
-0.51,0.03,51.0,1.0,1.0,196.04819577879653,675.2449508590536,-0.51
-0.5,0.03,51.0,1.0,1.0,194.74789922744674,679.4197183030179,-0.5
-0.49,0.03,51.0,1.0,1.0,193.83512244310467,683.3642150527584,-0.49
-0.48,0.03,51.0,1.0,1.0,193.49584199376926,687.0596995646711,-0.48
-0.47,0.03,51.0,1.0,1.0,191.51582741412145,690.4789396229381,-0.47
-0.46,0.03,51.0,1.0,1.0,189.70760356358048,693.5902835724562,-0.46
-0.45,0.03,51.0,1.0,1.0,188.09333517639362,696.3623120222636,-0.45
-0.44,0.03,51.0,1.0,1.0,186.79354669036385,698.6202410612921,-0.44
-0.43,0.03,51.0,1.0,1.0,187.0434101858837,698.5759614253342,-0.43
-0.42,0.03,51.0,1.0,1.0,187.2656960154126,698.5168108700551,-0.42
-0.41,0.03,51.0,1.0,1.0,187.46087797116277,698.4434615579235,-0.41
-0.4,0.03,51.0,1.0,1.0,187.63040739919856,698.3573409657354,-0.4
-0.39,0.03,51.0,1.0,1.0,187.77654099365606,698.2604981522327,-0.39
-0.38,0.03,51.0,1.0,1.0,187.9021015803863,698.1554322813521,-0.38
-0.37,0.03,51.0,1.0,1.0,188.01021937932117,698.0449384243738,-0.37
-0.36,0.03,51.0,1.0,1.0,188.1040990281188,697.9320865054357,-0.36
-0.35,0.03,51.0,1.0,1.0,188.30111405049954,698.2101869024302,-0.35
-0.34,0.03,51.0,1.0,1.0,188.3928857435683,698.2392708812729,-0.34
-0.33,0.03,51.0,1.0,1.0,188.48471698952173,698.2687924683038,-0.33
-0.32,0.03,51.0,1.0,1.0,188.57661005691355,698.2987596141952,-0.32
