IF_sens_s,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
4.0,0.0,51.0,1.0,1.0,160.63380577078317,253.13955592906373,-0.284
4.340878170264604,0.0,51.0,1.0,1.0,160.63380577078317,252.1126079310933,-0.284
4.710805822269944,0.0,51.0,1.0,1.0,160.63380577078317,251.08328468804436,-0.284
5.11225853956175,0.0,51.0,1.0,1.0,160.63380577078317,250.05414218534966,-0.284
5.547922873783102,0.0,51.0,1.0,1.0,160.63380577078317,249.04265548013427,-0.284
6.020714323279183,0.0,51.0,1.0,1.0,160.63380577078317,248.11861125519044,-0.284
6.533796843830508,0.0,51.0,1.0,1.0,160.63380577078317,247.48241412323082,-0.284
7.090604022081906,0.0,51.0,1.0,1.0,160.63380577078317,247.45695560846733,-0.284
7.694862053361437,0.0,51.0,1.0,1.0,160.63380577078317,248.08219252332012,-0.284
8.350614677658532,0.0,51.0,1.0,1.0,160.63380577078317,248.93215486231372,-0.284
9.062250240634778,0.0,51.0,1.0,1.0,160.63380577078317,249.65933652254418,-0.284
9.834531060761668,0.0,51.0,1.0,1.0,160.63380577078317,250.19360445193516,-0.284
10.672625299112381,0.0,51.0,1.0,1.0,160.63380577078317,250.5636434325263,-0.284
11.582141545082669,0.0,51.0,1.0,1.0,160.63380577078317,250.81363995222338,-0.284
12.569166349491027,0.0,51.0,1.0,1.0,160.63380577078317,250.97940828646665,-0.284
13.640304956232512,0.0,51.0,1.0,1.0,160.63380577078317,251.08695647158186,-0.284
14.80272550506545,0.0,51.0,1.0,1.0,160.63380577078317,251.15483002053872,-0.284
16.064207001339426,0.0,51.0,1.0,1.0,160.63380577078317,251.19623268498282,-0.284
17.43319137368153,0.0,51.0,1.0,1.0,160.63380577078317,251.22049325981743,-0.284
18.918839968014844,0.0,51.0,1.0,1.0,160.63380577078317,251.23406984119572,-0.284
20.531094855971272,0.0,51.0,1.0,1.0,160.63380577078317,251.2412860460463,-0.284
22.280745367979403,0.0,51.0,1.0,1.0,160.63380577078317,251.2449098003297,-0.284
24.179500296271495,0.0,51.0,1.0,1.0,160.63380577078317,251.24662011831495,-0.284
26.240066250997867,0.0,51.0,1.0,1.0,160.63380577078317,251.24737482261784,-0.284
28.476232693813404,0.0,51.0,1.0,1.0,160.63380577078317,251.24768449308644,-0.284
30.902964217987456,0.0,51.0,1.0,1.0,160.63380577078317,251.2478019758691,-0.284
33.53650069258248,0.0,51.0,1.0,1.0,160.63380577078317,251.24784293812198,-0.284
36.394465940873765,0.0,51.0,1.0,1.0,160.63380577078317,251.24785598003723,-0.284
