MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.025,50.49985200065163,0.9901931764833652,0.8322193363904891,154.6008742964487,323.61235149605477,-1.0
-0.99,0.025,50.52276311836543,0.9906424140855967,0.8380061695711624,154.68547317278413,321.9210332585744,-0.99
-0.98,0.025,50.54509792140313,0.9910803514000615,0.8437930027518356,154.77027586918592,320.30939818609215,-0.98
-0.97,0.025,50.562492324922445,0.9914214181357343,0.8495798359325089,154.85479804645013,318.7355967619701,-0.97
-0.96,0.025,50.579879426134355,0.9917623416889089,0.8553666691131823,154.93999511385545,317.1781016674001,-0.96
-0.95,0.025,50.59725912941692,0.9921031201846455,0.8611535022938555,155.02538597343133,315.6263725136298,-0.95
-0.94,0.025,50.614631334618736,0.9924437516591909,0.8669403354745288,155.109985474383,314.0752210414951,-0.94
-0.93,0.025,50.63199593758923,0.9927842340703771,0.8727271686552021,155.19575040454092,312.5219286640975,-0.93
-0.92,0.025,50.64935283092204,0.9931245653121968,0.8785140018358751,155.28169108576554,310.96485966759525,-0.92
-0.91,0.025,50.666701904958686,0.9934647432344841,0.8843008350165485,155.3664857693743,309.4028044943684,-0.91
-0.9,0.025,50.68404304911141,0.9938047656688511,0.8900876681972218,155.45275604563759,307.8346634543847,-0.9
-0.89,0.025,50.70137615358368,0.9941446304624251,0.895874501377895,155.53758831626226,306.2592850643631,-0.89
-0.88,0.025,50.718701111599486,0.9944843355215586,0.9016613345585685,155.62431446726916,304.67537641013894,-0.88
-0.87,0.025,50.73602086753134,0.9948239385790458,0.9074481677392415,155.71136012886913,303.10559202440703,-0.87
-0.86,0.025,50.75333347611996,0.9951634014925483,0.9132350009199148,155.79673543185336,301.5330151466942,-0.86
-0.85,0.025,50.77063775555405,0.9955027010892951,0.919021834100588,155.88423751562053,299.9469249421901,-0.85
-0.84,0.025,50.78793365036282,0.9958418362816238,0.9248086672812615,155.9719694804165,298.34525377538654,-0.84
-0.83,0.025,50.805221135946645,0.9961808065871891,0.9305955004619346,156.05773829297436,296.7258549006175,-0.83
-0.82,0.025,50.82250023525991,0.9965196124560767,0.936382333642608,156.14594938906038,295.0867597829133,-0.82
-0.81,0.025,50.83977104700993,0.9968582558237241,0.9421691668232811,156.23441829722344,293.4266365581163,-0.81
