MagCAPShock,Choice_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.01,23.825154049628498,0.46715988332604896,0.08974260471611785,325.14592195980197,510.18258394651986,-1.0
-0.99,0.01,23.990941496268352,0.47041061757388924,0.08988631487064098,325.10549098986695,510.18008800680116,-0.99
-0.98,0.01,24.18121614602661,0.4741414930593453,0.09051415674253209,324.9669471239471,510.17174849074553,-0.98
-0.97,0.01,24.93655436846289,0.4889520464404488,0.10202646811551472,322.6380268411338,510.0357907548154,-0.97
-0.96,0.01,25.393970931341,0.49792099865374506,0.10826846744820787,321.4455479207162,509.9698929899056,-0.96
-0.95,0.01,28.13761422638294,0.5517179260075086,0.17922252688176246,310.4274549255734,509.4624051345654,-0.95
-0.94,0.01,40.20052153021211,0.7882455202002374,0.5703999176012685,177.0584145806461,481.1363644747979,-0.94
-0.93,0.01,42.39238031998143,0.8312231435290476,0.5894487048151348,184.54543233510296,477.85999127763415,-0.93
-0.92,0.01,42.53205926432612,0.8339619463593357,0.5983046183752698,160.11176008747785,474.6251771681856,-0.92
-0.91,0.01,42.671159503130944,0.8366894020221753,0.6060277988264187,180.66829871775644,470.6634787642033,-0.91
-0.9,0.01,43.02210198595058,0.8435706271755015,0.6135788425069696,199.88237704589892,471.60812442387663,-0.9
-0.89,0.01,43.46724986219136,0.852299016905713,0.6213790886149391,199.08009192032364,474.7097816669677,-0.89
-0.88,0.01,43.99075912397461,0.8625639043916591,0.6305143232832074,200.10781675249683,471.57845754289593,-0.88
-0.87,0.01,44.51901532225221,0.8729218690637688,0.6450836607633121,201.80068272276085,467.81673740261056,-0.87
-0.86,0.01,45.92163417905403,0.9004241995892948,0.6816014153011658,193.0477537580371,461.8749010059304,-0.86
-0.85,0.01,47.74206470456839,0.9361189157758508,0.706090046076897,213.61973465940534,447.6300628448246,-0.85
-0.84,0.01,48.20095178359745,0.9451167016391657,0.7219729494383305,225.09464996465084,436.84949428278065,-0.84
-0.83,0.01,48.69318676465795,0.9547683679344696,0.7344473759030637,230.07618126604044,433.2192637803859,-0.83
-0.82,0.01,48.97457922029416,0.9602858670645914,0.7451418826479399,235.6159049280873,429.8591070317998,-0.82
-0.81,0.01,49.11426115964868,0.9630247286205623,0.7553723283136994,239.82577875228637,430.57383277473343,-0.81
-0.8,0.01,49.216326996342815,0.9650260195361337,0.7655053455825495,243.81885201509587,421.5998817386275,-0.8
-0.79,0.01,49.30961161069596,0.9668551296214895,0.7754035899618068,244.84111893002373,423.15620074748017,-0.79
-0.78,0.01,49.40701663731451,0.9687650321042062,0.7850211626255399,247.43928652536567,420.39709865957667,-0.78
-0.77,0.01,49.521292990872425,0.9710057449190671,0.7948269965117745,251.01074833954004,421.1869659832081,-0.77
-0.76,0.01,49.680550628788325,0.9741284437017319,0.8053254304028641,253.40171697571557,421.73111060801426,-0.76
-0.75,0.01,49.9000459107343,0.9784322727594961,0.8161398759258347,258.8912824895014,417.9014753776381,-0.75
-0.74,0.01,50.128247819336984,0.9829068199869997,0.8262898446552043,267.3378947117615,412.0211180517269,-0.74
-0.73,0.01,50.230608596796884,0.9849138940548409,0.8364498415824795,269.71871159500546,412.3106373188986,-0.73
-0.72,0.01,50.25174887187566,0.985328409252464,0.8466208289343486,273.2609883435322,415.69415433235383,-0.72
-0.71,0.01,50.33692113840657,0.9869984536942464,0.8568039174063636,276.00615008727783,415.75136529946974,-0.71
-0.7,0.01,50.419371702580825,0.9886151314231535,0.8670005221715205,278.5668435887497,413.0842120855243,-0.7
-0.69,0.01,50.49632383062544,0.9901239966789303,0.877212847571795,281.7988693822865,412.3317949810565,-0.69
-0.68,0.01,50.561679048965885,0.9914054715483507,0.8874454566746576,288.1314128720912,408.94454976513225,-0.68
-0.67,0.01,50.62046521053512,0.9925581413830417,0.8977104234737253,290.2421569911841,409.03622944529826,-0.67
-0.66,0.01,50.67258617105722,0.9935801210011219,0.908044290980041,290.60868910597225,406.11462319328524,-0.66
-0.65,0.01,50.72552906331007,0.9946182169276484,0.9185635108362574,294.3715522381594,406.1110809077343,-0.65
-0.64,0.01,50.78233215809699,0.995732003099941,0.9296405817355416,294.9138582943463,406.418488923449,-0.64
-0.63,0.01,50.83479500331842,0.9967606863395768,0.9424109389016644,297.8044937230735,406.79595742145005,-0.63
-0.62,0.01,50.90271133684227,0.99809237915377,0.9597797863754268,324.12850554050993,404.5554135837692,-0.62
-0.61,0.01,50.96519258754114,0.9993175017164929,0.9840403026081683,325.3158950696844,403.83165697359783,-0.61
-0.6,0.01,51.0,1.0,1.0,326.466435207027,400.44401917284836,-0.6
-0.59,0.01,51.0,1.0,1.0,327.3877490675545,400.65195222242556,-0.59
-0.58,0.01,51.0,1.0,1.0,327.7945123962306,397.64039608031095,-0.58
-0.57,0.01,51.0,1.0,1.0,328.1642874591789,397.3093116584218,-0.57
-0.56,0.01,51.0,1.0,1.0,328.5245265758644,397.4806895351972,-0.56
-0.55,0.01,51.0,1.0,1.0,328.88775749895893,397.6903598485799,-0.55
-0.54,0.01,51.0,1.0,1.0,329.2593475029948,397.86709038226104,-0.54
-0.53,0.01,51.0,1.0,1.0,329.6422677055572,398.00381645058496,-0.53
-0.52,0.01,51.0,1.0,1.0,330.0389427911832,398.104270374131,-0.52
-0.51,0.01,51.0,1.0,1.0,330.45137425151813,398.1113726153225,-0.51
-0.5,0.01,51.0,1.0,1.0,330.7882186853581,396.8694362895847,-0.5
-0.49,0.01,51.0,1.0,1.0,331.0851946396418,395.48376370834103,-0.49
-0.48,0.01,51.0,1.0,1.0,331.3840181220588,394.6800956725505,-0.48
-0.47,0.01,51.0,1.0,1.0,331.6839017019333,394.39616873721735,-0.47
-0.46,0.01,51.0,1.0,1.0,331.9871955795783,394.44274830549335,-0.46
-0.45,0.01,51.0,1.0,1.0,332.29329519450084,394.62340163790543,-0.45
-0.44,0.01,51.0,1.0,1.0,332.6015240798474,394.81887059201773,-0.44
-0.43,0.01,51.0,1.0,1.0,332.91547484675647,394.97768579112085,-0.43
-0.42,0.01,51.0,1.0,1.0,333.23660599063635,395.0943227109978,-0.42
-0.41,0.01,51.0,1.0,1.0,333.4856696432248,395.13234887087026,-0.41
-0.4,0.01,51.0,1.0,1.0,333.4856696432248,395.11836029012045,-0.4
-0.39,0.01,51.0,1.0,1.0,333.4856696432249,395.1040916601728,-0.39
-0.38,0.01,51.0,1.0,1.0,333.4856696432248,395.089545124956,-0.38
-0.37,0.01,51.0,1.0,1.0,333.48566964322487,395.07472343387934,-0.37
-0.36,0.01,51.0,1.0,1.0,333.48566964322487,395.05962999513855,-0.36
-0.35,0.01,51.0,1.0,1.0,333.48566964322487,395.0441469337636,-0.35
-0.34,0.01,51.0,1.0,1.0,333.4856696432248,395.02634500917077,-0.34
-0.33,0.01,51.0,1.0,1.0,333.485669643225,395.00801601076284,-0.33
-0.32,0.01,51.0,1.0,1.0,333.4856696432248,394.98914465010347,-0.32
-0.31,0.01,51.0,1.0,1.0,333.485669643225,394.9696913391859,-0.31
-0.3,0.01,51.0,1.0,1.0,333.48566964322487,394.94957378473475,-0.3
-0.29,0.01,51.0,1.0,1.0,333.48566964322487,394.92872587321295,-0.29
-0.28,0.01,51.0,1.0,1.0,333.48566964322464,394.90656115684754,-0.28
-0.27,0.01,51.0,1.0,1.0,333.48566964322475,394.8805643260799,-0.27
-0.26,0.01,51.0,1.0,1.0,333.4856696432248,394.8496885460652,-0.26
-0.25,0.01,51.0,1.0,1.0,333.48566964322487,394.8101551117408,-0.25
-0.24,0.01,51.0,1.0,1.0,333.48566964322487,394.7548919916585,-0.24
-0.23,0.01,51.0,1.0,1.0,333.4856696432248,394.64912037348955,-0.23
-0.22,0.01,51.0,1.0,1.0,333.4856696432249,394.44132848071933,-0.22
-0.21,0.01,51.0,1.0,1.0,333.4856696432249,394.07294483045496,-0.21
-0.2,0.01,51.0,1.0,1.0,333.4856696432248,393.35924371903684,-0.2
-0.19,0.01,51.0,1.0,1.0,333.48566964322475,391.5686908068345,-0.19
-0.18,0.01,51.0,1.0,1.0,333.48566964322464,387.5440122684827,-0.18
-0.17,0.01,51.0,1.0,1.0,333.4856696432249,388.7397221979194,-0.17
-0.16,0.01,51.0,1.0,1.0,333.48566964322487,389.92817836348206,-0.16
-0.15,0.01,51.0,1.0,1.0,333.48566964322475,390.56124826729484,-0.15
-0.14,0.01,51.0,1.0,1.0,333.485669643225,390.8343114995734,-0.14
-0.13,0.01,51.0,1.0,1.0,333.4856696432248,391.1073926973394,-0.13
-0.12,0.01,51.0,1.0,1.0,333.485669643225,391.3804910303664,-0.12
-0.11,0.01,51.0,1.0,1.0,333.48566964322487,391.6536057780013,-0.11
-0.1,0.01,51.0,1.0,1.0,333.48566964322475,391.9267363240055,-0.1
-0.09,0.01,51.0,1.0,1.0,333.48566964322464,392.1998821446773,-0.09
-0.08,0.01,51.0,1.0,1.0,333.4856696432249,392.4730427955857,-0.08
-0.07,0.01,51.0,1.0,1.0,333.48566964322464,392.74621789907167,-0.07
-0.06,0.01,51.0,1.0,1.0,333.48566964322475,392.850082303252,-0.06
-0.05,0.01,51.0,1.0,1.0,333.48566964322487,392.85008230325207,-0.05
-0.04,0.01,51.0,1.0,1.0,333.485669643225,392.85008230325207,-0.04
-0.03,0.01,51.0,1.0,1.0,333.48566964322487,392.850082303252,-0.03
-0.02,0.01,51.0,1.0,1.0,333.48566964322487,392.85008230325207,-0.02
-0.01,0.01,51.0,1.0,1.0,333.4856696432248,392.85008230325207,-0.01
0.0,0.01,51.0,1.0,1.0,333.48566964322487,392.850082303252,0.0
-1.0,0.02,46.32759491142865,0.9083842139495814,0.5598226968079285,126.53017787925222,523.835984720703,-1.0
-0.99,0.02,46.516562953859264,0.912089469683515,0.5698491102741506,126.7262419510911,519.6525517171691,-0.99
-0.98,0.02,47.02537660217919,0.9220662078858666,0.5798733749868004,162.73202589678888,511.3077807489572,-0.98
-0.97,0.02,47.130378975707046,0.9241250779550402,0.589895856899389,163.6601874343914,505.4798245446842,-0.97
-0.96,0.02,47.59259719740112,0.9331881803411984,0.5999169119160013,170.6103113540631,498.3640485947545,-0.96
-0.95,0.02,47.78298078143738,0.9369211917928898,0.6099368892764047,174.20559587418956,495.3576010292165,-0.95
-0.94,0.02,47.9317299950886,0.939837843040953,0.6199561402163546,175.06518342453694,490.3991347952553,-0.94
-0.93,0.02,48.098127503177636,0.9431005392779929,0.6299750532016298,178.29527479574642,473.7381464350565,-0.93
-0.92,0.02,48.25523226132324,0.9461810247318283,0.6399942212756092,185.00004785151444,476.372802018607,-0.92
-0.91,0.02,48.326211947237695,0.9475727832791705,0.6500152647625079,195.70977295533132,472.4395912524354,-0.91
-0.9,0.02,48.48602837324471,0.9507064386910727,0.6600448998274598,202.45413596364128,460.3908570030292,-0.9
-0.89,0.02,48.68487095261865,0.9546053127964441,0.6701149739547223,205.83904221147358,459.0298881232991,-0.89
-0.88,0.02,48.7867269594634,0.9566024894012432,0.6803784004871642,215.39969207992883,452.42367025994787,-0.88
-0.87,0.02,48.98728304845784,0.9605349617344675,0.6915079831392806,228.5134721929578,457.28061096824,-0.87
-0.86,0.02,49.22808009537545,0.9652564724583421,0.7054383555837105,226.23848566505612,447.4940131632055,-0.86
-0.85,0.02,49.3456463651158,0.9675616934336431,0.7222585039175323,239.0523210130682,452.0473872968409,-0.85
-0.84,0.02,49.57484452785488,0.9720557750559781,0.736630712747931,243.66926504766823,444.8435478988635,-0.84
-0.83,0.02,49.67302377237125,0.9739808582817893,0.7481112720278095,248.2064191883747,436.71718608275773,-0.83
-0.82,0.02,49.74795697352219,0.9754501367357292,0.75864509922898,252.17657067112782,438.7955754961183,-0.82
-0.81,0.02,49.81741906738854,0.9768121385762459,0.7689671608710661,253.2465321909087,438.82382356555183,-0.81
-0.8,0.02,49.88587550712502,0.9781544217083338,0.7792507821213641,256.66674026473873,438.823503262402,-0.8
-0.79,0.02,49.955015020993855,0.9795100984508599,0.7895333033439355,258.1167518689976,438.818731161022,-0.79
-0.78,0.02,50.02746739943362,0.9809307333222278,0.7998231521177128,261.7988594937446,436.927453485024,-0.78
-0.77,0.02,50.111805846424495,0.9825844283612646,0.8101228123952786,263.5994207882842,432.8106430792536,-0.77
-0.76,0.02,50.203747755145315,0.9843872108852022,0.8204336007228613,266.8491807594943,430.7224127783305,-0.76
-0.75,0.02,50.31020810979613,0.9864746688195319,0.8307566596383635,271.7762968613232,425.9922244113277,-0.75
-0.74,0.02,50.375823393859896,0.9877612430168607,0.8410931731209537,274.5232637860218,423.3330344487973,-0.74
-0.73,0.02,50.42534666922113,0.9887322876317868,0.8514444267791007,276.7431142935377,429.33121437254266,-0.73
-0.72,0.02,50.47770114415771,0.9897588459638768,0.8618118487777081,284.4973461333658,425.42482772199645,-0.72
-0.71,0.02,50.530070831437655,0.9907857025772089,0.8721970846914672,285.7157697524336,423.4062480975963,-0.71
-0.7,0.02,50.58226781097555,0.9918091727642265,0.8826022000661066,290.1341770419228,424.1831352330032,-0.7
-0.69,0.02,50.632406318528275,0.9927922807554563,0.8930303040147545,292.3049704468,420.2418960845795,-0.69
-0.68,0.02,50.67424314415898,0.9936126106697839,0.9034875628209162,293.08168000972523,418.2632459636482,-0.68
-0.67,0.02,50.71617863072419,0.9944348751122389,0.9139898145547062,293.03468085769737,417.1736008244413,-0.67
-0.66,0.02,50.75837406563104,0.9952622365810008,0.9245843774471174,296.07051661555806,416.5138537457702,-0.66
-0.65,0.02,50.80134760147014,0.996104854930787,0.9354213730968527,297.8472514055965,416.1481235900471,-0.65
-0.64,0.02,50.84674629036644,0.9969950253013028,0.9469790037388924,305.1477115727198,416.077952370677,-0.64
-0.63,0.02,50.89716087132741,0.9979835464966158,0.9606935941234312,324.421070704419,416.4664892816789,-0.63
-0.62,0.02,50.94201001480761,0.9988629414668159,0.9754585039775024,325.3302270671502,416.67002520071895,-0.62
-0.61,0.02,50.991966001281256,0.999842470613358,0.9946939171052942,326.1530865075602,409.05828756273127,-0.61
-0.6,0.02,51.0,1.0,1.0,327.14973776951996,407.1517047577144,-0.6
-0.59,0.02,51.0,1.0,1.0,327.6213840407838,401.9960824411812,-0.59
-0.58,0.02,51.0,1.0,1.0,328.02876287010264,402.222493229623,-0.58
-0.57,0.02,51.0,1.0,1.0,328.40603297172936,402.55336987477926,-0.57
-0.56,0.02,51.0,1.0,1.0,328.777946898431,402.7470975978769,-0.56
-0.55,0.02,51.0,1.0,1.0,329.15560712660084,402.84954723477165,-0.55
-0.54,0.02,51.0,1.0,1.0,329.54423611210945,402.8423186702277,-0.54
-0.53,0.02,51.0,1.0,1.0,329.94753808937077,402.83416603985614,-0.53
-0.52,0.02,51.0,1.0,1.0,330.2632419313005,400.9832703335113,-0.52
-0.51,0.02,51.0,1.0,1.0,330.5574285050956,398.8586939690393,-0.51
-0.5,0.02,51.0,1.0,1.0,330.8525008864526,397.08259614949355,-0.5
-0.49,0.02,51.0,1.0,1.0,331.14994522037006,395.8381408773386,-0.49
-0.48,0.02,51.0,1.0,1.0,331.44929263551103,395.17562392811277,-0.48
-0.47,0.02,51.0,1.0,1.0,331.7497646628499,394.99307243559105,-0.47
-0.46,0.02,51.0,1.0,1.0,332.0537372521073,395.0883474266753,-0.46
-0.45,0.02,51.0,1.0,1.0,332.3606398303594,395.28112646135224,-0.45
-0.44,0.02,51.0,1.0,1.0,332.66983933385416,395.4697100695209,-0.44
-0.43,0.02,51.0,1.0,1.0,332.9851655924089,395.6191975478096,-0.43
-0.42,0.02,51.0,1.0,1.0,333.3089447458674,395.7263473548892,-0.42
-0.41,0.02,51.0,1.0,1.0,333.4856696432248,395.74108289928694,-0.41
-0.4,0.02,51.0,1.0,1.0,333.4856696432248,395.72708109689006,-0.4
-0.39,0.02,51.0,1.0,1.0,333.4856696432249,395.7127981871993,-0.39
-0.38,0.02,51.0,1.0,1.0,333.4856696432248,395.698236249185,-0.38
-0.37,0.02,51.0,1.0,1.0,333.48566964322487,395.68339796626316,-0.37
-0.36,0.02,51.0,1.0,1.0,333.48566964322487,395.6682866700445,-0.36
-0.35,0.02,51.0,1.0,1.0,333.48566964322487,395.6528911996342,-0.35
-0.34,0.02,51.0,1.0,1.0,333.4856696432248,395.6350811184099,-0.34
-0.33,0.02,51.0,1.0,1.0,333.485669643225,395.6167436042368,-0.33
-0.32,0.02,51.0,1.0,1.0,333.4856696432248,395.59786272972576,-0.32
-0.31,0.02,51.0,1.0,1.0,333.485669643225,395.57840923445724,-0.31
-0.3,0.02,51.0,1.0,1.0,333.48566964322487,395.5582934807285,-0.3
-0.29,0.02,51.0,1.0,1.0,333.48566964322487,395.53746044329176,-0.29
-0.28,0.02,51.0,1.0,1.0,333.48566964322464,395.5156025249367,-0.28
-0.27,0.02,51.0,1.0,1.0,333.48566964322475,395.4900122565986,-0.27
-0.26,0.02,51.0,1.0,1.0,333.4856696432248,395.4599026404025,-0.26
-0.25,0.02,51.0,1.0,1.0,333.48566964322487,395.4218522236106,-0.25
-0.24,0.02,51.0,1.0,1.0,333.48566964322487,395.3694369426585,-0.24
-0.23,0.02,51.0,1.0,1.0,333.4856696432248,395.2770687331588,-0.23
-0.22,0.02,51.0,1.0,1.0,333.4856696432249,395.0859948925386,-0.22
-0.21,0.02,51.0,1.0,1.0,333.4856696432249,394.7505986632028,-0.21
-0.2,0.02,51.0,1.0,1.0,333.4856696432248,394.11456094334613,-0.2
-0.19,0.02,51.0,1.0,1.0,333.48566964322475,392.6318373549468,-0.19
-0.18,0.02,51.0,1.0,1.0,333.48566964322464,387.91434085851824,-0.18
-0.17,0.02,51.0,1.0,1.0,333.4856696432249,389.1340681409368,-0.17
-0.16,0.02,51.0,1.0,1.0,333.48566964322487,390.3251748185032,-0.16
-0.15,0.02,51.0,1.0,1.0,333.48566964322475,390.95962894001855,-0.15
-0.14,0.02,51.0,1.0,1.0,333.485669643225,391.2332901712047,-0.14
-0.13,0.02,51.0,1.0,1.0,333.4856696432248,391.5069700131796,-0.13
-0.12,0.02,51.0,1.0,1.0,333.485669643225,391.78066757242414,-0.12
-0.11,0.02,51.0,1.0,1.0,333.48566964322487,392.0543820539849,-0.11
-0.1,0.02,51.0,1.0,1.0,333.48566964322475,392.3281127699072,-0.1
-0.09,0.02,51.0,1.0,1.0,333.48566964322464,392.6018591323366,-0.09
-0.08,0.02,51.0,1.0,1.0,333.4856696432249,392.8756206414677,-0.08
-0.07,0.02,51.0,1.0,1.0,333.48566964322464,393.1493968726864,-0.07
-0.06,0.02,51.0,1.0,1.0,333.48566964322475,393.4231874646587,-0.06
-0.05,0.02,51.0,1.0,1.0,333.48566964322487,393.46898484915124,-0.05
-0.04,0.02,51.0,1.0,1.0,333.485669643225,393.4689848491512,-0.04
-0.03,0.02,51.0,1.0,1.0,333.48566964322487,393.46898484915124,-0.03
-0.02,0.02,51.0,1.0,1.0,333.48566964322487,393.4689848491511,-0.02
-0.01,0.02,51.0,1.0,1.0,333.4856696432248,393.4689848491511,-0.01
0.0,0.02,51.0,1.0,1.0,333.48566964322487,393.4689848491512,0.0
-1.0,0.03,48.16648494199387,0.9444408812155661,0.5692400005076884,140.55349479402508,532.170492932589,-1.0
-0.99,0.03,48.24524047624675,0.9459851073773873,0.5794002451346821,140.01037566187145,514.8226855818,-0.99
-0.98,0.03,48.503080966428506,0.9510408032633041,0.5895576828962455,147.89451764927162,505.2511421842905,-0.98
-0.97,0.03,48.61241858622121,0.9531846781612002,0.5997128335804386,155.33000253565055,477.9757034024077,-0.97
-0.96,0.03,48.72069494568817,0.9553077440331015,0.6098662039587097,167.61325483908792,490.8629823207132,-0.96
-0.95,0.03,48.80269769578932,0.9569156410939083,0.6200182929827567,183.09035415245032,485.16782276253383,-0.95
-0.94,0.03,48.88130664531566,0.9584569930454051,0.6301696060032369,179.77494311323824,479.2717472658621,-0.94
-0.93,0.03,48.96575784667492,0.9601128989544102,0.6403207145641366,176.4157435201336,479.09849116838075,-0.93
-0.92,0.03,49.07383814487153,0.962232120487677,0.650472544103833,186.46368468873587,466.2513024995958,-0.92
-0.91,0.03,49.20903403153332,0.9648830202261436,0.6606277992406158,184.1933684386583,467.6184503050643,-0.91
-0.9,0.03,49.30292330811377,0.9667239864336034,0.6707980537985812,189.28191466393108,464.33921625869937,-0.9
-0.89,0.03,49.38510752246914,0.968335441617042,0.6810387237508638,203.88848995115563,465.71781624098617,-0.89
