MagCAPShock,IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.33,4.340878170264604,51.0,1.0,1.0,207.71255028718258,586.4888281027802,-0.33
-0.32,4.340878170264604,51.0,1.0,1.0,207.73443193592124,586.241384361172,-0.32
-0.31,4.340878170264604,51.0,1.0,1.0,207.75763321958985,586.0077118315921,-0.31
-0.3,4.340878170264604,51.0,1.0,1.0,207.78205018626906,585.8066871568587,-0.3
-0.29,4.340878170264604,51.0,1.0,1.0,207.80758600935502,585.622754518952,-0.29
-0.28,4.340878170264604,51.0,1.0,1.0,207.8341556362566,585.4476823971944,-0.28
-0.27,4.340878170264604,51.0,1.0,1.0,207.86168799135834,585.2800634183108,-0.27
-0.26,4.340878170264604,51.0,1.0,1.0,207.92647472429564,585.1503819364095,-0.26
-0.25,4.340878170264604,51.0,1.0,1.0,208.00481859036836,585.040227937383,-0.25
-0.24,4.340878170264604,51.0,1.0,1.0,208.08293082441278,584.9376357324314,-0.24
-0.23,4.340878170264604,51.0,1.0,1.0,208.11448711028956,584.7731868239287,-0.23
-0.22,4.340878170264604,51.0,1.0,1.0,208.14093927660133,584.541538719755,-0.22
-0.21,4.340878170264604,51.0,1.0,1.0,208.16545754003718,584.3082169893107,-0.21
-0.2,4.340878170264604,51.0,1.0,1.0,208.19888893085434,584.159936638444,-0.2
-0.19,4.340878170264604,51.0,1.0,1.0,208.25923888649032,584.4083461650877,-0.19
-0.18,4.340878170264604,51.0,1.0,1.0,208.36860891514505,585.6097103995602,-0.18
-0.17,4.340878170264604,51.0,1.0,1.0,208.54585428970256,588.1721764319961,-0.17
-0.16,4.340878170264604,51.0,1.0,1.0,208.77695175790177,591.9819733266761,-0.16
-0.15,4.340878170264604,51.0,1.0,1.0,207.9280705351921,586.3385691492016,-0.15
-0.14,4.340878170264604,51.0,1.0,1.0,211.04582931340894,583.9752903998423,-0.14
-0.13,4.340878170264604,51.0,1.0,1.0,213.79033000768453,601.2260403309441,-0.13
-0.12,4.340878170264604,51.0,1.0,1.0,213.50504120504485,576.8313828532505,-0.12
-0.11,4.340878170264604,51.0,1.0,1.0,213.24743485321036,578.4879005059106,-0.11
-0.1,4.340878170264604,51.0,1.0,1.0,218.3663905601723,564.9682063523359,-0.1
-0.09,4.340878170264604,51.0,1.0,1.0,217.10238302520963,563.677823449569,-0.09
-0.08,4.340878170264604,51.0,1.0,1.0,216.42450075090318,596.2134355274912,-0.08
-0.07,4.340878170264604,51.0,1.0,1.0,223.38759872395372,605.1599901363976,-0.07
-0.06,4.340878170264604,51.0,1.0,1.0,215.9671562094656,583.4982590526455,-0.06
-0.05,4.340878170264604,51.0,1.0,1.0,216.82068971287316,579.2176198138245,-0.05
-0.04,4.340878170264604,51.0,1.0,1.0,216.28998881199644,627.7200934284471,-0.04
-0.03,4.340878170264604,51.0,1.0,1.0,219.82147731389693,567.8908749231912,-0.03
-0.02,4.340878170264604,51.0,1.0,1.0,217.66810134030007,591.3177002717661,-0.02
-0.01,4.340878170264604,51.0,1.0,1.0,218.33011860724048,592.3082280152319,-0.01
0.0,4.340878170264604,51.0,1.0,1.0,218.0987665138929,609.2964285204712,0.0
-1.0,4.710805822269944,51.0,1.0,1.0,205.8152248557062,609.540154775019,-1.0
-0.99,4.710805822269944,51.0,1.0,1.0,205.87431460219548,607.4450739946116,-0.99
-0.98,4.710805822269944,51.0,1.0,1.0,205.97962304598252,605.2405869344957,-0.98
-0.97,4.710805822269944,51.0,1.0,1.0,206.0407839383848,602.9596898762229,-0.97
-0.96,4.710805822269944,51.0,1.0,1.0,206.13662524093598,600.6075523969446,-0.96
-0.95,4.710805822269944,51.0,1.0,1.0,206.23440886222173,598.1858673991634,-0.95
-0.94,4.710805822269944,51.0,1.0,1.0,206.349720679701,595.6948711328916,-0.94
-0.93,4.710805822269944,51.0,1.0,1.0,206.46574003052817,593.1381804292839,-0.93
-0.92,4.710805822269944,51.0,1.0,1.0,206.44741937357978,590.530979392379,-0.92
-0.91,4.710805822269944,51.0,1.0,1.0,206.42432120441308,587.9120245246293,-0.91
-0.9,4.710805822269944,51.0,1.0,1.0,206.40398000727902,585.3586871971648,-0.9
-0.89,4.710805822269944,51.0,1.0,1.0,206.38576682109783,583.0006216579975,-0.89
-0.88,4.710805822269944,51.0,1.0,1.0,206.36917760472815,581.0213046897112,-0.88
-0.87,4.710805822269944,51.0,1.0,1.0,206.35380431237053,579.6316937069456,-0.87
