MagCAPShock,IF_sens_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.69,4.0,51.0,1.0,1.0,197.80869955068198,584.1819020136418,-0.69
-0.68,4.0,51.0,1.0,1.0,197.88513788810425,583.2437736676677,-0.68
-0.67,4.0,51.0,1.0,1.0,197.9958890808752,582.280452236922,-0.67
-0.66,4.0,51.0,1.0,1.0,198.1255562337861,581.293117170926,-0.66
-0.65,4.0,51.0,1.0,1.0,198.23305429445904,580.2827758988602,-0.65
-0.64,4.0,51.0,1.0,1.0,198.33596380472093,579.2501594378517,-0.64
-0.63,4.0,51.0,1.0,1.0,198.4341897530787,578.195589348503,-0.63
-0.62,4.0,51.0,1.0,1.0,198.52801514124775,577.1188182937929,-0.62
-0.61,4.0,51.0,1.0,1.0,198.57445089182664,576.018854435108,-0.61
-0.6,4.0,51.0,1.0,1.0,198.61041092692986,574.8937919551798,-0.6
-0.59,4.0,51.0,1.0,1.0,198.6445921608006,573.7406854090813,-0.59
-0.58,4.0,51.0,1.0,1.0,198.67667063746055,572.5555205648739,-0.58
-0.57,4.0,51.0,1.0,1.0,198.7064347584468,571.3333417079468,-0.57
-0.56,4.0,51.0,1.0,1.0,198.73874041584293,570.068581725631,-0.56
-0.55,4.0,51.0,1.0,1.0,198.78010343118356,568.7556203263845,-0.55
-0.54,4.0,51.0,1.0,1.0,198.8230913611679,567.3894804985074,-0.54
-0.53,4.0,51.0,1.0,1.0,198.92019710461526,565.9665847367221,-0.53
-0.52,4.0,51.0,1.0,1.0,199.0381862341591,564.4854931513606,-0.52
-0.51,4.0,51.0,1.0,1.0,199.13119516116427,562.9467691362602,-0.51
-0.5,4.0,51.0,1.0,1.0,199.2011484100866,561.3530787146369,-0.5
-0.49,4.0,51.0,1.0,1.0,199.2711928828926,559.708672182494,-0.49
-0.48,4.0,51.0,1.0,1.0,199.34125269327993,558.016984645128,-0.48
-0.47,4.0,51.0,1.0,1.0,199.4217329224889,556.2847201978416,-0.47
-0.46,4.0,51.0,1.0,1.0,199.53869231035358,554.5163083447491,-0.46
-0.45,4.0,51.0,1.0,1.0,199.65568761599613,552.6503680337672,-0.45
-0.44,4.0,51.0,1.0,1.0,199.77265788984502,550.7262935278093,-0.44
-0.43,4.0,51.0,1.0,1.0,199.86223631774436,548.7446121942821,-0.43
-0.42,4.0,51.0,1.0,1.0,199.9293714095823,546.6986148098895,-0.42
-0.41,4.0,51.0,1.0,1.0,200.04148038034182,544.5813482956139,-0.41
-0.4,4.0,51.0,1.0,1.0,200.1566016971493,542.388407408574,-0.4
-0.39,4.0,51.0,1.0,1.0,200.27185101647126,540.1229024399291,-0.39
-0.38,4.0,51.0,1.0,1.0,200.38387923802733,537.8034371149034,-0.38
-0.37,4.0,51.0,1.0,1.0,200.49875328047537,535.4743997113071,-0.37
-0.36,4.0,51.0,1.0,1.0,200.58552723692944,533.2164058241065,-0.36
-0.35,4.0,51.0,1.0,1.0,200.63152280469197,531.1492512193978,-0.35
-0.34,4.0,51.0,1.0,1.0,200.67745509577654,529.4097289388444,-0.34
-0.33,4.0,51.0,1.0,1.0,200.72332280607077,528.1104484347077,-0.33
-0.32,4.0,51.0,1.0,1.0,200.76912655315087,527.3025138432658,-0.32
-0.31,4.0,51.0,1.0,1.0,200.81486879509043,526.9729220266643,-0.31
-0.3,4.0,51.0,1.0,1.0,200.860553753607,527.0734446851745,-0.3
-0.29,4.0,51.0,1.0,1.0,200.90618733965974,527.5496867591751,-0.29
-0.28,4.0,51.0,1.0,1.0,200.95177708070136,528.3471147556702,-0.28
-0.27,4.0,51.0,1.0,1.0,200.99733204958932,529.4107262455602,-0.27
-0.26,4.0,51.0,1.0,1.0,201.04286279571804,530.6814539155225,-0.26
-0.25,4.0,51.0,1.0,1.0,201.08838127941493,532.0912634463913,-0.25
-0.24,4.0,51.0,1.0,1.0,201.1339008108071,533.5769301729891,-0.24
-0.23,4.0,51.0,1.0,1.0,201.17943599464675,535.0884088517091,-0.23
-0.22,4.0,51.0,1.0,1.0,201.22500268261564,536.591415928605,-0.22
-0.21,4.0,51.0,1.0,1.0,201.27061793480257,538.0657255349943,-0.21
-0.2,4.0,51.0,1.0,1.0,201.31629999224953,539.5015805404526,-0.2
-0.19,4.0,51.0,1.0,1.0,201.3620682628467,540.8959953027677,-0.19
-0.18,4.0,51.0,1.0,1.0,201.40794332366136,542.2498552303095,-0.18
-0.17,4.0,51.0,1.0,1.0,201.4539469440031,543.5659477669296,-0.17
-0.16,4.0,51.0,1.0,1.0,201.5001021357968,544.8477591300153,-0.16
-0.15,4.0,51.0,1.0,1.0,202.2616198665472,531.530903120174,-0.15
-0.14,4.0,51.0,1.0,1.0,204.44138268993035,570.0890776782691,-0.14
-0.13,4.0,51.0,1.0,1.0,205.02358550660335,540.874360033411,-0.13
-0.12,4.0,51.0,1.0,1.0,206.62005369407106,551.1471208343305,-0.12
-0.11,4.0,51.0,1.0,1.0,208.57760127910967,538.06386189606,-0.11
-0.1,4.0,51.0,1.0,1.0,210.40068801615914,559.8521201607439,-0.1
-0.09,4.0,51.0,1.0,1.0,211.0331768865989,546.0636903757342,-0.09
-0.08,4.0,51.0,1.0,1.0,211.90801045441776,555.148181800736,-0.08
