MagCAPShock,DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.52,1.5,51.0,1.0,1.0,158.7534579056446,246.67147567590433,-0.52
-0.51,1.5,51.0,1.0,1.0,158.84276879318438,246.11280616955307,-0.51
-0.5,1.5,51.0,1.0,1.0,158.92592191866405,245.59693008464617,-0.5
-0.49,1.5,51.0,1.0,1.0,159.0154121056732,245.12825849682278,-0.49
-0.48,1.5,51.0,1.0,1.0,159.10502564196182,244.71445274661178,-0.48
-0.47,1.5,51.0,1.0,1.0,159.19476029660453,244.36001170329587,-0.47
-0.46,1.5,51.0,1.0,1.0,159.28461343529221,244.06800114621913,-0.46
-0.45,1.5,51.0,1.0,1.0,159.3745821938963,243.8395902687302,-0.45
-0.44,1.5,51.0,1.0,1.0,159.46466383094395,243.6735736685785,-0.44
-0.43,1.5,51.0,1.0,1.0,159.55482191238914,243.56374793995738,-0.43
-0.42,1.5,51.0,1.0,1.0,159.64232065068379,243.49211413167257,-0.42
-0.41,1.5,51.0,1.0,1.0,159.73139308471562,243.46101711186486,-0.41
-0.4,1.5,51.0,1.0,1.0,159.82041430813396,243.46501774819097,-0.4
-0.39,1.5,51.0,1.0,1.0,159.90940370148698,243.49539770343986,-0.39
-0.38,1.5,51.0,1.0,1.0,159.99841099542607,243.5432930503097,-0.38
-0.37,1.5,51.0,1.0,1.0,160.0875439778292,243.60054536412548,-0.37
-0.36,1.5,51.0,1.0,1.0,160.17704640284134,243.66000757468396,-0.36
-0.35,1.5,51.0,1.0,1.0,160.26770295148387,243.71521404596996,-0.35
-0.34,1.5,51.0,1.0,1.0,160.3465259770447,243.6691205287608,-0.34
-0.33,1.5,51.0,1.0,1.0,160.4181333681921,243.5540921715184,-0.33
-0.32,1.5,51.0,1.0,1.0,160.50332350940892,243.3458469850965,-0.32
-0.31,1.5,51.0,1.0,1.0,160.58938681991935,243.02809091864867,-0.31
-0.3,1.5,51.0,1.0,1.0,160.63380577078317,242.56936298339178,-0.3
-0.29,1.5,51.0,1.0,1.0,160.6338057707831,241.86568386272575,-0.29
-0.28,1.5,51.0,1.0,1.0,160.63380577078317,240.5734557552536,-0.28
-0.27,1.5,51.0,1.0,1.0,160.63380577078314,229.0314225984471,-0.27
-0.26,1.5,51.0,1.0,1.0,160.6338057707832,238.70816477832648,-0.26
-0.25,1.5,51.0,1.0,1.0,160.63380577078317,239.56624629839536,-0.25
-0.24,1.5,51.0,1.0,1.0,160.6338057707832,240.1965381115861,-0.24
-0.23,1.5,51.0,1.0,1.0,160.63380577078314,240.70989444988402,-0.23
-0.22,1.5,51.0,1.0,1.0,160.6338057707832,241.32845251188158,-0.22
-0.21,1.5,51.0,1.0,1.0,160.6338057707832,241.93694860463273,-0.21
-0.2,1.5,51.0,1.0,1.0,160.63380577078317,242.5401059664413,-0.2
-0.19,1.5,51.0,1.0,1.0,160.63380577078323,243.1401465496235,-0.19
-0.18,1.5,51.0,1.0,1.0,160.63380577078317,243.73823582789896,-0.18
-0.17,1.5,51.0,1.0,1.0,160.63380577078317,244.3350390441757,-0.17
-0.16,1.5,51.0,1.0,1.0,160.6338057707832,244.9309615945864,-0.16
-0.15,1.5,51.0,1.0,1.0,160.6338057707832,245.65885579842686,-0.15
-0.14,1.5,51.0,1.0,1.0,160.63380577078308,246.41543913563385,-0.14
-0.13,1.5,51.0,1.0,1.0,160.63380577078314,247.11122981177357,-0.13
