MagCAPShock,Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.0,50.44606058175738,0.9891384427795564,0.8322193363904891,157.03290216260342,251.74856793573286,-1.0
-0.99,1.0,50.46400746295534,0.989490342410889,0.8380061695711624,157.14125071307168,251.2150722212892,-0.99
-0.98,1.0,50.481870908335914,0.9898406060458023,0.8437930027518356,157.24244177723722,250.79134378062207,-0.98
-0.97,1.0,50.49974958786959,0.9901911683895998,0.8495798359325089,157.3511013221261,250.48687187008568,-0.97
-0.96,1.0,50.51758999637893,0.9905409803211555,0.8553666691131823,157.45991930970297,250.29839852319947,-0.96
-0.95,1.0,50.535389989974846,0.9908899998034283,0.8611535022938555,157.56889448278773,250.2122276485903,-0.95
-0.94,1.0,50.553147001133766,0.991238176492819,0.8669403354745288,157.67802580828956,250.20795523239926,-0.94
-0.93,1.0,50.57077849718649,0.9915838921016958,0.8727271686552021,157.7792064846343,250.2626351490907,-0.93
-0.92,1.0,50.58844044931908,0.9919302048886094,0.8785140018358751,157.88863675014795,250.3544116819465,-0.92
-0.91,1.0,50.60605741783708,0.9922756356438643,0.8843008350165485,157.99822410454414,250.46485487953802,-0.91
-0.9,1.0,50.62364707872852,0.9926205309554611,0.8900876681972218,158.107971949546,250.57947661608426,-0.9
-0.89,1.0,50.64127130472068,0.992966104014131,0.895874501377895,158.21789327674273,250.69024169989785,-0.89
-0.88,1.0,50.659478211474976,0.9933231021857839,0.9016613345585685,158.3279133347064,250.79152695368612,-0.88
-0.87,1.0,50.67653450058305,0.9936575392271186,0.9074481677392415,158.42936706060115,250.88037493214856,-0.87
-0.86,1.0,50.694286183349135,0.9940056114382183,0.9132350009199148,158.5398035050657,250.9559464234432,-0.86
-0.85,1.0,50.712076311574236,0.9943544374818478,0.919021834100588,158.6504214651438,251.01865497234073,-0.85
-0.84,1.0,50.72992872991342,0.9947044849002631,0.9248086672812615,158.76122902700942,251.069650472185,-0.84
-0.83,1.0,50.74787189542922,0.9950563116750828,0.9305955004619346,158.87223569664644,251.1104431307306,-0.83
-0.82,1.0,50.76781579648511,0.9954473685585316,0.936382333642608,158.98343075132803,251.14263979328155,-0.82
-0.81,1.0,50.784114947879885,0.9957669597623507,0.9421691668232811,159.08520439741056,251.16778351968793,-0.81
-0.8,1.0,50.8025497674846,0.9961284268134235,0.947770343283367,159.1968429970212,251.1872675304846,-0.8
-0.79,1.0,50.82123736784315,0.9964948503498657,0.9532594222366618,159.30873470237557,251.2022996438068,-0.79
-0.78,1.0,50.840229018099734,0.9968672356490144,0.9587449165398014,159.42090231536415,251.21389205619744,-0.78
-0.77,1.0,50.85958421097344,0.9972467492347733,0.9642278171904917,159.5333752611954,251.2228334195693,-0.77
-0.76,1.0,50.88068790087694,0.9976605470760185,0.9697092643162473,159.64609401460177,251.22989636640298,-0.76
-0.75,1.0,50.89960359178295,0.9980314429761362,0.9751905628110896,159.7486422823973,251.2356163331511,-0.75
-0.74,1.0,50.920446671030035,0.9984401308045104,0.980673198752499,159.86215200354877,251.2403629441054,-0.74
-0.73,1.0,50.941966688888186,0.998862091938984,0.986158849279768,159.9762199843113,251.24428925215048,-0.73
-0.72,1.0,50.964278032137756,0.9992995692576031,0.9916493580688163,160.09104022756668,251.24733392867594,-0.72
-0.71,1.0,50.98748929544997,0.9997546920676464,0.9971466081266707,160.2070067908803,251.2478630222024,-0.71
-0.7,1.0,50.99549727349266,0.9999117112449541,0.9984274328098718,160.32535834936382,251.24786134605026,-0.7
-0.69,1.0,50.998035283527855,0.999961476147605,0.9989454444896388,160.42613198814195,251.24786107810104,-0.69
-0.68,1.0,50.99930515733418,0.9999863756340035,0.9998817968667275,160.52711170709256,251.24786107810104,-0.68
-0.67,1.0,50.999635849170666,0.9999928597876601,0.9999024141472744,160.63170096862711,251.24786107810104,-0.67
