MagCAPShock,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.84,0.01,51.0,1.0,1.0,195.64534634207467,568.9453950567739,-0.84
-0.83,0.01,51.0,1.0,1.0,195.84410103693213,563.4214258410116,-0.83
-0.82,0.01,51.0,1.0,1.0,196.04281566979975,557.718611955613,-0.82
-0.81,0.01,51.0,1.0,1.0,196.24617727934276,551.6610067612033,-0.81
-0.8,0.01,51.0,1.0,1.0,196.36663159910307,545.960269863155,-0.8
-0.79,0.01,51.0,1.0,1.0,196.33880368869694,539.2202551978116,-0.79
-0.78,0.01,51.0,1.0,1.0,196.30777019406747,530.8767216403158,-0.78
-0.77,0.01,51.0,1.0,1.0,196.25773489727555,526.4128663401892,-0.77
-0.76,0.01,51.0,1.0,1.0,196.1680825406507,533.9210324864839,-0.76
-0.75,0.01,51.0,1.0,1.0,196.33517478058127,542.2268817224766,-0.75
-0.74,0.01,51.0,1.0,1.0,196.51874331189921,549.0326493251562,-0.74
-0.73,0.01,51.0,1.0,1.0,196.33511985130068,555.466228957533,-0.73
-0.72,0.01,51.0,1.0,1.0,196.62188238057715,561.9419120369454,-0.72
-0.71,0.01,51.0,1.0,1.0,196.76829849747236,568.1375270847961,-0.71
-0.7,0.01,51.0,1.0,1.0,196.84308608009403,579.5011205550344,-0.7
-0.69,0.01,51.0,1.0,1.0,196.89743520814497,589.1414234888974,-0.69
-0.68,0.01,51.0,1.0,1.0,196.98553207161447,593.256766465958,-0.68
-0.67,0.01,51.0,1.0,1.0,196.93255960013553,588.1970178207697,-0.67
-0.66,0.01,51.0,1.0,1.0,196.97473304864286,591.6629307918346,-0.66
-0.65,0.01,51.0,1.0,1.0,197.13804388663766,595.1599691836875,-0.65
-0.64,0.01,51.0,1.0,1.0,197.24093337931185,595.5130363925426,-0.64
-0.63,0.01,51.0,1.0,1.0,197.38796522111923,593.538479506167,-0.63
-0.62,0.01,51.0,1.0,1.0,197.58698137555214,590.6032161086528,-0.62
-0.61,0.01,51.0,1.0,1.0,197.61606963893817,586.8393621791662,-0.61
-0.6,0.01,51.0,1.0,1.0,197.63199510494562,582.4139993976426,-0.6
-0.59,0.01,51.0,1.0,1.0,197.67125568882375,577.5097750088946,-0.59
-0.58,0.01,51.0,1.0,1.0,197.7063722233229,572.7896951657068,-0.58
-0.57,0.01,51.0,1.0,1.0,197.75093886900763,570.6678057124354,-0.57
-0.56,0.01,51.0,1.0,1.0,197.80999253330612,568.527962157871,-0.56
-0.55,0.01,51.0,1.0,1.0,197.8571545472311,566.4412433891207,-0.55
-0.54,0.01,51.0,1.0,1.0,197.91325381497938,564.4622790732849,-0.54
-0.53,0.01,51.0,1.0,1.0,197.97336950733091,562.6309021146927,-0.53
-0.52,0.01,51.0,1.0,1.0,198.0223657598852,560.9742553612448,-0.52
-0.51,0.01,51.0,1.0,1.0,198.06819291766948,559.5089978105567,-0.51
-0.5,0.01,51.0,1.0,1.0,198.11798244299263,558.2434459699284,-0.5
-0.49,0.01,51.0,1.0,1.0,198.1731377815421,557.1795331149215,-0.49
-0.48,0.01,51.0,1.0,1.0,198.2189403844814,556.3144696594698,-0.48
-0.47,0.01,51.0,1.0,1.0,198.25970240709972,555.6420324225251,-0.47
-0.46,0.01,51.0,1.0,1.0,198.29945246091197,555.1535260393313,-0.46
-0.45,0.01,51.0,1.0,1.0,198.33573633040774,554.4842589020786,-0.45
-0.44,0.01,51.0,1.0,1.0,198.36437280515398,554.3747993123294,-0.44
-0.43,0.01,51.0,1.0,1.0,198.39530645218193,555.2451062166274,-0.43
-0.42,0.01,51.0,1.0,1.0,198.42621728839956,556.116495537087,-0.42
-0.41,0.01,51.0,1.0,1.0,198.45842407174226,556.989502859115,-0.41
-0.4,0.01,51.0,1.0,1.0,198.4771072092371,557.8644990943166,-0.4
-0.39,0.01,51.0,1.0,1.0,198.50260466582958,558.7417038797879,-0.39
-0.38,0.01,51.0,1.0,1.0,198.53206255786915,559.6211988801406,-0.38
-0.37,0.01,51.0,1.0,1.0,198.56404235855024,560.5029404239089,-0.37
-0.36,0.01,51.0,1.0,1.0,198.5953342185549,561.386771085547,-0.36
-0.35,0.01,51.0,1.0,1.0,198.62573360574052,562.2724299802366,-0.35
-0.34,0.01,51.0,1.0,1.0,198.65636708743125,563.1595616696926,-0.34
-0.33,0.01,51.0,1.0,1.0,198.67903331050584,564.0477236786044,-0.33
-0.32,0.01,51.0,1.0,1.0,198.70293999940847,564.9363927012577,-0.32
-0.31,0.01,51.0,1.0,1.0,198.7325966466544,565.8249696325579,-0.31
-0.3,0.01,51.0,1.0,1.0,198.7651759294848,566.7127835955672,-0.3
-0.29,0.01,51.0,1.0,1.0,198.79740434057314,567.599095157856,-0.29
-0.28,0.01,51.0,1.0,1.0,198.82827987506516,568.4830989379412,-0.28
-0.27,0.01,51.0,1.0,1.0,198.85774265677904,569.3639258031815,-0.27
-0.26,0.01,51.0,1.0,1.0,198.87843782540108,570.240644851864,-0.26
-0.25,0.01,51.0,1.0,1.0,198.9083457594918,571.112265360783,-0.25
-0.24,0.01,51.0,1.0,1.0,198.9423032538543,571.9777388641381,-0.24
-0.23,0.01,51.0,1.0,1.0,198.9761126234934,572.8359615117571,-0.23
-0.22,0.01,51.0,1.0,1.0,199.009021683319,573.6857768364521,-0.22
-0.21,0.01,51.0,1.0,1.0,199.0376796083984,574.5259790400967,-0.21
-0.2,0.01,51.0,1.0,1.0,199.06178873151495,575.3553168886867,-0.2
-0.19,0.01,51.0,1.0,1.0,199.09480009802107,576.172498285502,-0.19
-0.18,0.01,51.0,1.0,1.0,199.13020542042045,576.9761955713766,-0.18
-0.17,0.01,51.0,1.0,1.0,199.16627384095327,577.7650515793044,-0.17
