IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
4.0,51.0,1.0,1.0,208.72002130931065,592.8756795122023,-0.284
4.340878170264604,51.0,1.0,1.0,207.82340860361361,585.516738130648,-0.284
4.710805822269944,51.0,1.0,1.0,207.79096163890352,575.8828901134215,-0.284
5.11225853956175,51.0,1.0,1.0,207.53337531229232,593.535296523513,-0.284
5.547922873783102,51.0,1.0,1.0,207.15293788845145,575.6749577319438,-0.284
6.020714323279183,51.0,1.0,1.0,206.11026196503371,568.1356406862506,-0.284
6.533796843830508,51.0,1.0,1.0,205.1432513288111,619.5337371827128,-0.284
7.090604022081906,51.0,1.0,1.0,204.6715919269859,561.5200434965583,-0.284
7.694862053361437,51.0,1.0,1.0,204.55516838290694,583.0522241642252,-0.284
8.350614677658532,51.0,1.0,1.0,203.89376026384667,557.8801734827249,-0.284
9.062250240634778,51.0,1.0,1.0,202.13645503503358,627.3568673453908,-0.284
9.834531060761668,51.0,1.0,1.0,202.9650782155949,569.5082960757558,-0.284
10.672625299112381,51.0,1.0,1.0,202.21302221571403,593.2459743820227,-0.284
11.582141545082669,51.0,1.0,1.0,202.52076776060173,553.3123643482936,-0.284
12.569166349491027,51.0,1.0,1.0,201.94527178382654,560.2686005241887,-0.284
13.640304956232512,51.0,1.0,1.0,201.84690982954154,564.066046951192,-0.284
14.80272550506545,51.0,1.0,1.0,199.5092579170804,610.588496884655,-0.284
16.064207001339426,51.0,1.0,1.0,201.47973755278204,544.6910968726754,-0.284
17.43319137368153,51.0,1.0,1.0,201.2315262699225,547.2107749555023,-0.284
18.918839968014844,51.0,1.0,1.0,200.76748412091828,534.3852314648742,-0.284
20.531094855971272,51.0,1.0,1.0,200.88355355522916,529.5622479466334,-0.284
22.280745367979403,51.0,1.0,1.0,200.47287851650677,572.8807269764083,-0.284
24.179500296271495,51.0,1.0,1.0,199.49520161633,601.9223871740764,-0.284
26.240066250997867,51.0,1.0,1.0,199.00363763658748,603.5482995635155,-0.284
28.476232693813404,51.0,1.0,1.0,198.81575023064008,593.9469272983157,-0.284
30.902964217987456,51.0,1.0,1.0,198.77782207096158,582.3898654141221,-0.284
33.53650069258248,51.0,1.0,1.0,198.77993780911723,577.1841759535255,-0.284
36.394465940873765,51.0,1.0,1.0,198.79494980489025,573.5564103233976,-0.284
39.495985680294396,51.0,1.0,1.0,198.7946867840915,571.2137533603153,-0.284
42.86181551316834,51.0,1.0,1.0,198.8067495810697,569.792572678246,-0.284
46.5144798247553,51.0,1.0,1.0,198.81326407277137,568.979154639062,-0.284
50.47842251812341,51.0,1.0,1.0,198.8144607084125,568.5397988855086,-0.284
54.780170594578784,51.0,1.0,1.0,198.81525327528175,568.3162207761125,-0.284
59.44851167434448,51.0,1.0,1.0,198.81567373022514,568.2093343743782,-0.284
64.51468664547063,51.0,1.0,1.0,198.81587769637594,568.1615040392868,-0.284
70.01259873019619,51.0,1.0,1.0,198.81596921896312,568.1415565160256,-0.284
75.97904036785103,51.0,1.0,1.0,198.81600702931118,568.133841286874,-0.284
82.45393943261438,51.0,1.0,1.0,198.8160213186501,568.1310887578777,-0.284
89.48062643383894,51.0,1.0,1.0,198.81602622726257,568.130188271728,-0.284
97.1061244870633,51.0,1.0,1.0,198.81602775011817,568.12991985579,-0.284
105.38146399622259,51.0,1.0,1.0,198.81602817397084,568.1298474594727,-0.284
114.36202415293195,51.0,1.0,1.0,198.8160282790611,568.1298299236726,-0.284
124.10790353818399,51.0,1.0,1.0,198.81602830209752,568.1298261405335,-0.284
134.68432230655196,51.0,1.0,1.0,198.8160283065273,568.1298254201515,-0.284
146.16205864434843,51.0,1.0,1.0,198.81602830726692,568.1298253002923,-0.284
158.61792242254668,51.0,1.0,1.0,198.81602830737233,568.129825283056,-0.284
172.13526921418944,51.0,1.0,1.0,198.81602830738672,568.1298252809288,-0.284
186.80455811612384,51.0,1.0,1.0,198.81602830738748,568.1298252807339,-0.284
202.723957108052,51.0,1.0,1.0,198.81602830738802,568.1298252807045,-0.284
220.0,51.0,1.0,1.0,198.81602830738748,568.1298252806862,-0.284
