MagCAPShock,IF_thresh_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.97,0.41,49.86986982475983,0.9778405847992124,0.8495798359325089,157.60629816029638,251.02984231967545,-0.97
-0.96,0.41,49.87891639016015,0.9780179684345127,0.8553666691131823,157.69967629018788,251.09614655204354,-0.96
-0.95,0.41,49.8912661070048,0.9782601197451922,0.8611535022938555,157.79306713726464,251.1408766740154,-0.95
-0.94,0.41,49.907313731413375,0.978574779047321,0.8669403354745288,157.88605617922306,251.17112320308925,-0.94
-0.93,0.41,49.925490408362805,0.9789311844777021,0.8725863779457652,157.9794232425309,251.19176397303931,-0.93
-0.92,0.41,49.946291421879174,0.979339047487827,0.8781656656541937,158.0727646529388,251.20603279756594,-0.92
-0.91,0.41,49.96967976270731,0.9797976424060256,0.883751422916102,158.16603486258327,251.2160382820135,-0.91
-0.9,0.41,49.99576846562554,0.9803091856005007,0.8893439716766967,158.25917204076953,251.2231666720366,-0.9
-0.89,0.41,50.02455329543628,0.9808735940281623,0.8949436953286101,158.35213489793924,251.22831102671395,-0.89
-0.88,0.41,50.057140750450166,0.981512563734317,0.9005509838834476,158.4443301359967,251.2320812540868,-0.88
-0.87,0.41,50.09151612314436,0.9821865906498894,0.906166317094887,158.53674187439202,251.2348958731973,-0.87
-0.86,0.41,50.12870437952552,0.9829157721475593,0.911789827912167,158.6288001874719,251.23702411899868,-0.86
-0.85,0.41,50.16893718809733,0.9837046507470065,0.917421649248506,158.72042515097618,251.23865129509215,-0.85
-0.84,0.41,50.21238616377323,0.984556591446534,0.9230618592952361,158.8115172151006,251.23990703573728,-0.84
-0.83,0.41,50.259588561190995,0.9854821286508039,0.9287104216858466,158.90161816757572,251.24088374649534,-0.83
-0.82,0.41,50.30985267561829,0.9864676995219273,0.9343671922444251,158.99069446839025,251.24164892917378,-0.82
-0.81,0.41,50.362659059179585,0.9875031188074428,0.9400319314376191,159.07915007105512,251.24225380527082,-0.81
-0.8,0.41,50.41824588460762,0.9885930565609338,0.9457043202288755,159.1664136323572,251.242739926338,-0.8
-0.79,0.41,50.47644851975867,0.9897342847011504,0.9513839773838038,159.25232172127986,251.2431451164957,-0.79
-0.78,0.41,50.536973022176156,0.9909210396505128,0.9570704767098425,159.33673144247467,251.24350996484256,-0.78
-0.77,0.41,50.600076253622774,0.9921583579141721,0.962763363156657,159.419446398086,251.2438857999755,-0.77
-0.76,0.41,50.66343420792258,0.99340067074358,0.96846216710837,159.49707579280783,251.24434348261053,-0.76
-0.75,0.41,50.73037882937816,0.9947133103799639,0.9741664165409686,159.57528575705064,251.24497659103702,-0.75
-0.74,0.41,50.79828437682508,0.9960447917024525,0.9798756469852364,159.65116062023935,251.24587962902572,-0.74
-0.73,0.41,50.86610378505244,0.9973745840206361,0.9855894093921,159.72449739909982,251.2470744251561,-0.73
-0.72,0.41,50.93110492577519,0.9986491161916703,0.9913072759526093,159.79512129790467,251.2478623180973,-0.72
-0.71,0.41,50.98783709706254,0.9997615117071086,0.9970288437119341,159.86287315732432,251.24786214487793,-0.71
-0.7,0.41,51.0,1.0,1.0,159.92766698019548,251.2478619948879,-0.7
-0.69,0.41,51.0,1.0,1.0,159.9828668631874,251.24786186514868,-0.69
-0.68,0.41,51.0,1.0,1.0,160.04159498141357,251.24786175303936,-0.68
-0.67,0.41,51.0,1.0,1.0,160.0975031748462,251.24786165625923,-0.67
-0.66,0.41,51.0,1.0,1.0,160.150217889935,251.24786157279243,-0.66
-0.65,0.41,51.0,1.0,1.0,160.1996484952548,251.2478615008758,-0.65
-0.64,0.41,51.0,1.0,1.0,160.2457351089619,251.2478614389695,-0.64
-0.63,0.41,51.0,1.0,1.0,160.28845211927705,251.24786138573057,-0.63
-0.62,0.41,51.0,1.0,1.0,160.3278101715207,251.2478613399891,-0.62
-0.61,0.41,51.0,1.0,1.0,160.35862057814148,251.24786130072752,-0.61
-0.6,0.41,51.0,1.0,1.0,160.39153983511383,251.2478612670612,-0.6
-0.59,0.41,51.0,1.0,1.0,160.4216954349432,251.24786123822236,-0.59
-0.58,0.41,51.0,1.0,1.0,160.4488675528745,251.24786121354492,-0.58
-0.57,0.41,51.0,1.0,1.0,160.4732143647935,251.2478611924518,-0.57
-0.56,0.41,51.0,1.0,1.0,160.49491224322728,251.2478611744433,-0.56
-0.55,0.41,51.0,1.0,1.0,160.51414992699299,251.24786115908694,-0.55
-0.54,0.41,51.0,1.0,1.0,160.5311229055411,251.24786114600911,-0.54
-0.53,0.41,51.0,1.0,1.0,160.54592605480752,251.2478611348868,-0.53
-0.52,0.41,51.0,1.0,1.0,160.5566775375802,251.24786112544157,-0.52
-0.51,0.41,51.0,1.0,1.0,160.5683309340752,251.24786111743313,-0.51
-0.5,0.41,51.0,1.0,1.0,160.57844629034264,251.2478611106542,-0.5
-0.49,0.41,51.0,1.0,1.0,160.58719315994017,251.24786110492653,-0.49
-0.48,0.41,51.0,1.0,1.0,160.59472911619466,251.2478611000967,-0.48
-0.47,0.41,51.0,1.0,1.0,160.60119897941976,251.24786109603275,-0.47
-0.46,0.41,51.0,1.0,1.0,160.6067345650482,251.24786109262126,-0.46
-0.45,0.41,51.0,1.0,1.0,160.6114548394139,251.2478610897651,-0.45
-0.44,0.41,51.0,1.0,1.0,160.61543709822058,251.2478610873805,-0.44
-0.43,0.41,51.0,1.0,1.0,160.61816385504522,251.24786108539627,-0.43
-0.42,0.41,51.0,1.0,1.0,160.6211412399366,251.24786108375096,-0.42
-0.41,0.41,51.0,1.0,1.0,160.62364727611288,251.24786108239232,-0.41
-0.4,0.41,51.0,1.0,1.0,160.62574863117732,251.2478610812756,-0.4
-0.39,0.41,51.0,1.0,1.0,160.62750355984684,251.24786108036272,-0.39
-0.38,0.41,51.0,1.0,1.0,160.6289627761614,251.24786107961927,-0.38
-0.37,0.41,51.0,1.0,1.0,160.6301702808492,251.24786107899538,-0.37
-0.36,0.41,51.0,1.0,1.0,160.63116413258408,251.24786107848956,-0.36
-0.35,0.41,51.0,1.0,1.0,160.63197715750067,251.2478610648221,-0.35
-0.34,0.41,51.0,1.0,1.0,160.63255905804,251.24786103942392,-0.34
-0.33,0.41,51.0,1.0,1.0,160.63301340492504,251.24786103531827,-0.33
-0.32,0.41,51.0,1.0,1.0,160.63342856831747,251.24786103021296,-0.32
