MagCAPShock,Impl_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.0,50.83221933639049,0.9967101830664802,0.8322193363904891,154.644276260607,281.79360041142587,-1.0
-0.99,1.0,50.83800616957116,0.9968236503837482,0.8380061695711624,154.72229457121358,280.99054572894204,-0.99
-0.98,1.0,50.84379300275184,0.9969371177010165,0.8437930027518356,154.8059445291661,280.18732041438875,-0.98
-0.97,1.0,50.84957983593251,0.9970505850182845,0.8495798359325089,154.8897643766267,279.383852331671,-0.97
-0.96,1.0,50.85536666911318,0.9971640523355526,0.8553666691131823,154.97375152173464,278.5800585237127,-0.96
-0.95,1.0,50.86115350229386,0.9972775196528207,0.8611535022938555,155.05790342326776,277.7758435272608,-0.95
-0.94,1.0,50.866940335474524,0.9973909869700887,0.8669403354745288,155.13608123151224,276.9710974134722,-0.94
-0.93,1.0,50.8727271686552,0.9975044542873569,0.8727271686552021,155.22054797457665,276.1656935010793,-0.93
-0.92,1.0,50.878514001835875,0.997617921604625,0.8785140018358751,155.30517216986823,275.3594856691155,-0.92
-0.91,1.0,50.884300835016546,0.9977313889218931,0.8843008350165485,155.38995145714247,274.55230516128387,-0.91
-0.9,1.0,50.890087668197225,0.9978448562391613,0.8900876681972218,155.4748835166502,273.74395670999655,-0.9
-0.89,1.0,50.8958745013779,0.9979583235564293,0.895874501377895,155.5599238286754,272.9342136876646,-0.89
-0.88,1.0,50.90166133455857,0.9980717908736975,0.9016613345585685,155.63833287695437,272.1228117633814,-0.88
-0.87,1.0,50.90744816773924,0.9981852581909655,0.9074481677392415,155.7237018652098,271.3094401033815,-0.87
-0.86,1.0,50.91323500091991,0.9982987255082335,0.9132350009199148,155.8092147337961,270.49372830892463,-0.86
-0.85,1.0,50.91902183410059,0.9984121928255018,0.919021834100588,155.8948693361412,269.6752256625553,-0.85
-0.84,1.0,50.92480866728126,0.9985256601427699,0.9248086672812615,155.98066355538182,268.8533661412385,-0.84
-0.83,1.0,50.93059550046193,0.9986391274600379,0.9305955004619346,156.0589686014585,268.02740670324766,-0.83
-0.82,1.0,50.93638233364261,0.9987525947773062,0.936382333642608,156.14502705487132,267.1963150380834,-0.82
-0.81,1.0,50.94216916682328,0.9988660620945741,0.9421691668232811,156.2312189372698,266.35856166647915,-0.81
-0.8,1.0,50.947956000003956,0.9989795294118423,0.9479560000039545,156.3175422390654,265.5117319580191,-0.8
-0.79,1.0,50.95374283318463,0.9990929967291103,0.953742833184628,156.4039949761891,264.6518038349762,-0.79
-0.78,1.0,50.9595296663653,0.9992064640463784,0.9595296663653011,156.49057519038067,263.7718230360627,-0.78
-0.77,1.0,50.96531649954598,0.9993199313636466,0.9653164995459741,156.56885438454378,262.8595584682805,-0.77
-0.76,1.0,50.97110333272665,0.9994333986809147,0.9711033327266476,156.65567354138454,261.89366226691743,-0.76
-0.75,1.0,50.97689016590732,0.9995468659981828,0.9768901659073207,156.74261444397433,260.8384418402511,-0.75
-0.74,1.0,50.98267699908799,0.9996603333154508,0.9826769990879943,156.82967526054978,259.6402183553555,-0.74
-0.73,1.0,50.988463832268664,0.9997738006327189,0.9884638322686674,156.9168541999846,258.2363331061879,-0.73
-0.72,1.0,50.99425066544934,0.9998872679499872,0.9942506654493406,157.00414951841367,256.5991068534951,-0.72
-0.71,1.0,51.0,1.0,1.0,157.0823316827854,254.821057902541,-0.71
-0.7,1.0,51.0,1.0,1.0,157.16984208824294,253.1532991036315,-0.7
-0.69,1.0,51.0,1.0,1.0,157.25746402234697,251.85992804706632,-0.69
