MagCAPShock,Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.99,5.0e-5,51.0,1.0,1.0,195.31553894027925,564.7174514623653,-0.99
-0.98,5.0e-5,51.0,1.0,1.0,195.5060781025718,565.959341555995,-0.98
-0.97,5.0e-5,51.0,1.0,1.0,195.500495726431,567.0616555379104,-0.97
-0.96,5.0e-5,51.0,1.0,1.0,195.4988452810591,568.0377980866339,-0.96
-0.95,5.0e-5,51.0,1.0,1.0,195.50106568674596,568.9002101970765,-0.95
-0.94,5.0e-5,51.0,1.0,1.0,195.50690468660213,569.6609902841067,-0.94
-0.93,5.0e-5,51.0,1.0,1.0,195.5468235188164,570.3321259891912,-0.93
-0.92,5.0e-5,51.0,1.0,1.0,195.6357449907418,570.9255022090584,-0.92
-0.91,5.0e-5,51.0,1.0,1.0,195.73992532801023,571.4527938723137,-0.91
-0.9,5.0e-5,51.0,1.0,1.0,195.85425859952394,571.9253124486996,-0.9
-0.89,5.0e-5,51.0,1.0,1.0,195.9711879197485,572.1564925420427,-0.89
-0.88,5.0e-5,51.0,1.0,1.0,196.09634471049682,572.2662380173873,-0.88
-0.87,5.0e-5,51.0,1.0,1.0,196.22504796161712,570.1570729586555,-0.87
-0.86,5.0e-5,51.0,1.0,1.0,196.3660756686372,565.3640821041008,-0.86
-0.85,5.0e-5,51.0,1.0,1.0,196.50299793079407,558.2300526110937,-0.85
-0.84,5.0e-5,51.0,1.0,1.0,196.4301770352229,548.9332135073197,-0.84
-0.83,5.0e-5,51.0,1.0,1.0,196.42918306381375,537.0923135061983,-0.83
-0.82,5.0e-5,51.0,1.0,1.0,196.21850148475107,538.0597607895518,-0.82
-0.81,5.0e-5,51.0,1.0,1.0,195.43308071748163,546.3020327623061,-0.81
-0.8,5.0e-5,51.0,1.0,1.0,195.47409660280678,554.0819382261376,-0.8
-0.79,5.0e-5,51.0,1.0,1.0,195.55282378004003,561.4477810877316,-0.79
-0.78,5.0e-5,51.0,1.0,1.0,197.03099647867637,571.4011365791846,-0.78
-0.77,5.0e-5,51.0,1.0,1.0,196.69272607447851,581.798822234169,-0.77
-0.76,5.0e-5,51.0,1.0,1.0,195.67931154801877,572.5463388027966,-0.76
-0.75,5.0e-5,51.0,1.0,1.0,195.9047326477052,561.044135606144,-0.75
-0.74,5.0e-5,51.0,1.0,1.0,196.94153308662405,551.0424756107295,-0.74
-0.73,5.0e-5,51.0,1.0,1.0,197.40094373580777,535.7904303965975,-0.73
-0.72,5.0e-5,51.0,1.0,1.0,197.49033571781996,543.0953834099266,-0.72
-0.71,5.0e-5,51.0,1.0,1.0,197.58273027051038,557.621366644536,-0.71
-0.7,5.0e-5,51.0,1.0,1.0,197.60427744973657,569.9498045009034,-0.7
-0.69,5.0e-5,51.0,1.0,1.0,197.52286125733542,576.2058522183772,-0.69
-0.68,5.0e-5,51.0,1.0,1.0,196.5397718548672,571.721069854684,-0.68
-0.67,5.0e-5,51.0,1.0,1.0,197.55780843526423,572.8382577568581,-0.67
-0.66,5.0e-5,51.0,1.0,1.0,197.718379219187,576.3016743864787,-0.66
-0.65,5.0e-5,51.0,1.0,1.0,197.63251865004025,577.1620104778516,-0.65
-0.64,5.0e-5,51.0,1.0,1.0,197.65748735680842,575.6432775333778,-0.64
-0.63,5.0e-5,51.0,1.0,1.0,197.82382621270693,574.0627048782221,-0.63
-0.62,5.0e-5,51.0,1.0,1.0,197.987145355708,572.477874298209,-0.62
-0.61,5.0e-5,51.0,1.0,1.0,198.14048567543318,571.0268252132041,-0.61
-0.6,5.0e-5,51.0,1.0,1.0,198.23432866928025,569.9509454397645,-0.6
-0.59,5.0e-5,51.0,1.0,1.0,198.17307419976254,569.5559277255621,-0.59
-0.58,5.0e-5,51.0,1.0,1.0,198.3536194727232,570.0814655293644,-0.58
-0.57,5.0e-5,51.0,1.0,1.0,198.4546454960892,571.5676511039869,-0.57
-0.56,5.0e-5,51.0,1.0,1.0,198.43425925041362,573.8442893569068,-0.56
-0.55,5.0e-5,51.0,1.0,1.0,198.5715994628822,570.7260509709499,-0.55
-0.54,5.0e-5,51.0,1.0,1.0,198.4939128829455,565.3074012633263,-0.54
-0.53,5.0e-5,51.0,1.0,1.0,198.1325589736865,559.7079931698497,-0.53
-0.52,5.0e-5,51.0,1.0,1.0,198.60511608689163,553.8096781449136,-0.52
-0.51,5.0e-5,51.0,1.0,1.0,198.83568134906113,548.199937565276,-0.51
-0.5,5.0e-5,51.0,1.0,1.0,198.78407933542445,541.4959669382816,-0.5
-0.49,5.0e-5,51.0,1.0,1.0,198.72503900057995,533.2574937247107,-0.49
-0.48,5.0e-5,51.0,1.0,1.0,198.8148388844399,528.6325315770454,-0.48
-0.47,5.0e-5,51.0,1.0,1.0,198.97598106782752,535.5615485505012,-0.47
-0.46,5.0e-5,51.0,1.0,1.0,199.12892273790496,543.5040113090964,-0.46
-0.45,5.0e-5,51.0,1.0,1.0,198.93314108372292,550.0581298630378,-0.45
-0.44,5.0e-5,51.0,1.0,1.0,199.0640572204708,556.2601413519076,-0.44
-0.43,5.0e-5,51.0,1.0,1.0,199.12029627159004,562.4953602233201,-0.43
-0.42,5.0e-5,51.0,1.0,1.0,199.2487466721099,568.4654755893812,-0.42
-0.41,5.0e-5,51.0,1.0,1.0,199.28390171865783,579.3507787553549,-0.41
-0.4,5.0e-5,51.0,1.0,1.0,199.21282769335977,588.9832012516357,-0.4
-0.39,5.0e-5,51.0,1.0,1.0,199.36523697057342,594.3127925938379,-0.39
-0.38,5.0e-5,51.0,1.0,1.0,199.3499827230408,588.8331918731026,-0.38
-0.37,5.0e-5,51.0,1.0,1.0,199.4297757442423,591.8547208529027,-0.37
-0.36,5.0e-5,51.0,1.0,1.0,199.43112629534625,595.4018550498698,-0.36
-0.35,5.0e-5,51.0,1.0,1.0,199.41858627046634,595.9764763844892,-0.35
-0.34,5.0e-5,51.0,1.0,1.0,199.58441456711932,594.0431521884889,-0.34
-0.33,5.0e-5,51.0,1.0,1.0,199.61262182710263,591.1279126982273,-0.33
-0.32,5.0e-5,51.0,1.0,1.0,199.7380681995287,587.3564454181786,-0.32
-0.31,5.0e-5,51.0,1.0,1.0,199.7890705126926,582.8895594103479,-0.31
-0.3,5.0e-5,51.0,1.0,1.0,199.8401751133307,577.9044179208003,-0.3
-0.29,5.0e-5,51.0,1.0,1.0,199.8988328832633,573.1429287769953,-0.29
-0.28,5.0e-5,51.0,1.0,1.0,199.98038714140506,570.9859940468049,-0.28
-0.27,5.0e-5,51.0,1.0,1.0,200.05107981662073,568.7937008234958,-0.27
-0.26,5.0e-5,51.0,1.0,1.0,200.11224810415234,566.6385183753457,-0.26
-0.25,5.0e-5,51.0,1.0,1.0,200.19082154378094,564.5767238146949,-0.25
-0.24,5.0e-5,51.0,1.0,1.0,200.27352866829534,562.6498835658232,-0.24
-0.23,5.0e-5,51.0,1.0,1.0,200.3621222720853,560.8868162640739,-0.23
-0.22,5.0e-5,51.0,1.0,1.0,200.44214062658025,559.3057210323547,-0.22
-0.21,5.0e-5,51.0,1.0,1.0,200.5425380903645,557.916348491337,-0.21
-0.2,5.0e-5,51.0,1.0,1.0,200.64891715045263,556.7220988607179,-0.2
-0.19,5.0e-5,51.0,1.0,1.0,200.73267208389532,555.7218660134953,-0.19
-0.18,5.0e-5,51.0,1.0,1.0,200.7834847398527,554.9114476840886,-0.18
-0.17,5.0e-5,51.0,1.0,1.0,200.82322880768425,554.2844656295815,-0.17
-0.16,5.0e-5,51.0,1.0,1.0,200.86260543906,553.8329552656409,-0.16
-0.15,5.0e-5,51.0,1.0,1.0,201.72185944998057,576.167038116993,-0.15
-0.14,5.0e-5,51.0,1.0,1.0,204.18264967255183,582.7128152113278,-0.14
-0.13,5.0e-5,51.0,1.0,1.0,206.5800837854132,545.1006181051366,-0.13
-0.12,5.0e-5,51.0,1.0,1.0,208.80393700312598,560.8018915474419,-0.12
-0.11,5.0e-5,51.0,1.0,1.0,207.87362157176983,557.0123916669078,-0.11
-0.1,5.0e-5,51.0,1.0,1.0,209.99128335142322,580.6558678186391,-0.1
-0.09,5.0e-5,51.0,1.0,1.0,211.89540649620812,527.5887680610109,-0.09
-0.08,5.0e-5,51.0,1.0,1.0,212.92352576704383,590.4646153739078,-0.08
-0.07,5.0e-5,51.0,1.0,1.0,214.11310831615822,557.7424845188095,-0.07
-0.06,5.0e-5,51.0,1.0,1.0,215.15564406358806,553.5792992107018,-0.06
-0.05,5.0e-5,51.0,1.0,1.0,217.3783213014827,548.2755135441404,-0.05
-0.04,5.0e-5,51.0,1.0,1.0,216.06419973702276,572.896461443515,-0.04
-0.03,5.0e-5,51.0,1.0,1.0,215.00764901885609,559.1450202185221,-0.03
-0.02,5.0e-5,51.0,1.0,1.0,221.64682628422676,531.0132281228405,-0.02
-0.01,5.0e-5,51.0,1.0,1.0,222.98221352043404,557.325136387881,-0.01
0.0,5.0e-5,51.0,1.0,1.0,224.24378925987534,523.117387409823,0.0
-1.0,0.0001,51.0,1.0,1.0,195.03900210502997,569.2387505907406,-1.0
-0.99,0.0001,51.0,1.0,1.0,195.04956786984576,569.8589334594172,-0.99
-0.98,0.0001,51.0,1.0,1.0,195.062800954657,570.405943106753,-0.98
-0.97,0.0001,51.0,1.0,1.0,195.131237252673,570.8914544625873,-0.97
-0.96,0.0001,51.0,1.0,1.0,195.22121754264063,571.3266887030035,-0.96
-0.95,0.0001,51.0,1.0,1.0,195.3325431101452,571.4955950141722,-0.95
-0.94,0.0001,51.0,1.0,1.0,195.45826378442518,572.0109887282874,-0.94
-0.93,0.0001,51.0,1.0,1.0,195.58640089432959,570.502351367627,-0.93
-0.92,0.0001,51.0,1.0,1.0,195.72454781292728,566.3756771762856,-0.92
-0.91,0.0001,51.0,1.0,1.0,195.8692505269874,559.6778538060371,-0.91
-0.9,0.0001,51.0,1.0,1.0,195.97967214931575,551.074792879213,-0.9
-0.89,0.0001,51.0,1.0,1.0,196.06707767162462,539.1973504171614,-0.89
-0.88,0.0001,51.0,1.0,1.0,196.17540441552094,535.783767883854,-0.88
-0.87,0.0001,51.0,1.0,1.0,195.4795610617399,544.0389623184079,-0.87
-0.86,0.0001,51.0,1.0,1.0,195.0502263600463,551.9671567611762,-0.86
-0.85,0.0001,51.0,1.0,1.0,194.94222652921812,559.5801744349968,-0.85
-0.84,0.0001,51.0,1.0,1.0,195.12798685049634,567.8782883718194,-0.84
-0.83,0.0001,51.0,1.0,1.0,196.11619422476537,579.8406717799455,-0.83
-0.82,0.0001,51.0,1.0,1.0,196.31044414928587,576.2197950608895,-0.82
-0.81,0.0001,51.0,1.0,1.0,195.37845418414602,562.6998928525993,-0.81
-0.8,0.0001,51.0,1.0,1.0,196.73363351851276,552.8810896975638,-0.8
-0.79,0.0001,51.0,1.0,1.0,196.7792828781935,538.8594768548558,-0.79
-0.78,0.0001,51.0,1.0,1.0,196.8591199706394,539.0551368377626,-0.78
-0.77,0.0001,51.0,1.0,1.0,196.959039550342,555.0038419232006,-0.77
-0.76,0.0001,51.0,1.0,1.0,196.98950105956538,567.3628552140552,-0.76
-0.75,0.0001,51.0,1.0,1.0,197.12111320573536,576.7025314657978,-0.75
-0.74,0.0001,51.0,1.0,1.0,196.01839889126038,571.3398361971621,-0.74
-0.73,0.0001,51.0,1.0,1.0,196.78860046758504,571.6170499690505,-0.73
-0.72,0.0001,51.0,1.0,1.0,197.26621164836237,574.9944677965643,-0.72
-0.71,0.0001,51.0,1.0,1.0,197.16963627116556,576.7296900222707,-0.71
-0.7,0.0001,51.0,1.0,1.0,197.12878946104513,575.2273900089648,-0.7
-0.69,0.0001,51.0,1.0,1.0,197.20839815956563,573.6570394064995,-0.69
-0.68,0.0001,51.0,1.0,1.0,197.37290279395788,572.0630314911704,-0.68
-0.67,0.0001,51.0,1.0,1.0,197.5292905378971,570.5628825511463,-0.67
-0.66,0.0001,51.0,1.0,1.0,197.66903373041865,569.3770069873249,-0.66
-0.65,0.0001,51.0,1.0,1.0,197.7800412718457,568.8081748993479,-0.65
-0.64,0.0001,51.0,1.0,1.0,197.8521165987269,569.125821427544,-0.64
-0.63,0.0001,51.0,1.0,1.0,197.8810995439512,570.4197089102888,-0.63
-0.62,0.0001,51.0,1.0,1.0,197.87057429027658,572.5515506189103,-0.62
-0.61,0.0001,51.0,1.0,1.0,197.94793688605301,571.4061618381337,-0.61
-0.6,0.0001,51.0,1.0,1.0,198.15200816836168,565.9885020411791,-0.6
-0.59,0.0001,51.0,1.0,1.0,197.8932901619855,560.417872998855,-0.59
-0.58,0.0001,51.0,1.0,1.0,198.0800996964661,554.4885102975734,-0.58
-0.57,0.0001,51.0,1.0,1.0,198.35163080948567,548.8278414525507,-0.57
-0.56,0.0001,51.0,1.0,1.0,198.30576173462367,542.452213606498,-0.56
-0.55,0.0001,51.0,1.0,1.0,198.2539733493087,534.4490129771958,-0.55
-0.54,0.0001,51.0,1.0,1.0,198.21110056955155,528.0839942453518,-0.54
-0.53,0.0001,51.0,1.0,1.0,198.37528219568344,533.5288982829333,-0.53
-0.52,0.0001,51.0,1.0,1.0,198.56301895925233,541.8366335425798,-0.52
-0.51,0.0001,51.0,1.0,1.0,198.469771667247,548.633947044871,-0.51
-0.5,0.0001,51.0,1.0,1.0,198.4286155358239,554.891741907016,-0.5
-0.49,0.0001,51.0,1.0,1.0,198.64566529245096,561.1757509113793,-0.49
-0.48,0.0001,51.0,1.0,1.0,198.7482271845948,567.2852561109214,-0.48
-0.47,0.0001,51.0,1.0,1.0,198.76206880317483,577.1366138067248,-0.47
-0.46,0.0001,51.0,1.0,1.0,198.73181681556835,587.4404641687212,-0.46
-0.45,0.0001,51.0,1.0,1.0,198.87053680270745,593.8553929429157,-0.45
-0.44,0.0001,51.0,1.0,1.0,198.8352224309143,589.6761585153505,-0.44
-0.43,0.0001,51.0,1.0,1.0,198.90196560562285,591.1363139139328,-0.43
