IF_sens_s,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
4.0,0.0,51.0,1.0,1.0,333.485669643225,413.3109593912893,-0.284
4.340878170264604,0.0,51.0,1.0,1.0,333.485669643225,411.7420574184928,-0.284
4.710805822269944,0.0,51.0,1.0,1.0,333.485669643225,409.4252676732582,-0.284
5.11225853956175,0.0,51.0,1.0,1.0,333.485669643225,407.13370345978143,-0.284
5.547922873783102,0.0,51.0,1.0,1.0,333.485669643225,405.0042145694403,-0.284
6.020714323279183,0.0,51.0,1.0,1.0,333.485669643225,403.0895671440169,-0.284
6.533796843830508,0.0,51.0,1.0,1.0,333.485669643225,401.4140267731048,-0.284
7.090604022081906,0.0,51.0,1.0,1.0,333.485669643225,399.9865230337971,-0.284
7.694862053361437,0.0,51.0,1.0,1.0,333.485669643225,398.8048927480402,-0.284
8.350614677658532,0.0,51.0,1.0,1.0,333.485669643225,397.85755257741226,-0.284
9.062250240634778,0.0,51.0,1.0,1.0,333.485669643225,397.1245874521891,-0.284
9.834531060761668,0.0,51.0,1.0,1.0,333.485669643225,396.57926389979025,-0.284
10.672625299112381,0.0,51.0,1.0,1.0,333.485669643225,396.1904196634517,-0.284
11.582141545082669,0.0,51.0,1.0,1.0,333.485669643225,395.92551609678895,-0.284
12.569166349491027,0.0,51.0,1.0,1.0,333.485669643225,395.7536611652573,-0.284
13.640304956232512,0.0,51.0,1.0,1.0,333.485669643225,395.64791075353105,-0.284
14.80272550506545,0.0,51.0,1.0,1.0,333.485669643225,395.5865092454102,-0.284
16.064207001339426,0.0,51.0,1.0,1.0,333.485669643225,395.5531157500105,-0.284
17.43319137368153,0.0,51.0,1.0,1.0,333.485669643225,395.5362904737871,-0.284
18.918839968014844,0.0,51.0,1.0,1.0,333.485669643225,395.5285760367417,-0.284
20.531094855971272,0.0,51.0,1.0,1.0,333.485669643225,395.52546351852715,-0.284
22.280745367979403,0.0,51.0,1.0,1.0,333.485669643225,395.52444325812917,-0.284
24.179500296271495,0.0,51.0,1.0,1.0,333.485669643225,395.5242457785626,-0.284
26.240066250997867,0.0,51.0,1.0,1.0,333.485669643225,395.5243008022775,-0.284
28.476232693813404,0.0,51.0,1.0,1.0,333.485669643225,395.52439152121855,-0.284
30.902964217987456,0.0,51.0,1.0,1.0,333.485669643225,395.5244571886104,-0.284
33.53650069258248,0.0,51.0,1.0,1.0,333.485669643225,395.52449374771675,-0.284
36.394465940873765,0.0,51.0,1.0,1.0,333.485669643225,395.5245110469194,-0.284
39.495985680294396,0.0,51.0,1.0,1.0,333.485669643225,395.52451824367984,-0.284
42.86181551316834,0.0,51.0,1.0,1.0,333.485669643225,395.52452091077157,-0.284
46.5144798247553,0.0,51.0,1.0,1.0,333.485669643225,395.52452179483305,-0.284
50.47842251812341,0.0,51.0,1.0,1.0,333.485669643225,395.5245220566751,-0.284
54.780170594578784,0.0,51.0,1.0,1.0,333.485669643225,395.5245221256772,-0.284
59.44851167434448,0.0,51.0,1.0,1.0,333.485669643225,395.5245221417493,-0.284
64.51468664547063,0.0,51.0,1.0,1.0,333.485669643225,395.52452214503035,-0.284
70.01259873019619,0.0,51.0,1.0,1.0,333.485669643225,395.5245221456115,-0.284
75.97904036785103,0.0,51.0,1.0,1.0,333.485669643225,395.52452214569996,-0.284
82.45393943261438,0.0,51.0,1.0,1.0,333.485669643225,395.52452214571133,-0.284
89.48062643383894,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457124,-0.284
97.1061244870633,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
105.38146399622259,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
114.36202415293195,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
124.10790353818399,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
134.68432230655196,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
146.16205864434843,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
158.61792242254668,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
172.13526921418944,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
186.80455811612384,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
202.723957108052,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
220.0,0.0,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
4.0,0.01,51.0,1.0,1.0,333.485669643225,413.60591311413805,-0.284
4.340878170264604,0.01,51.0,1.0,1.0,333.485669643225,411.3884888683765,-0.284
4.710805822269944,0.01,51.0,1.0,1.0,333.485669643225,408.9912253208358,-0.284
5.11225853956175,0.01,51.0,1.0,1.0,333.485669643225,406.69884684807244,-0.284
5.547922873783102,0.01,51.0,1.0,1.0,333.485669643225,404.59641891349463,-0.284
6.020714323279183,0.01,51.0,1.0,1.0,333.485669643225,402.7220433550427,-0.284
6.533796843830508,0.01,51.0,1.0,1.0,333.485669643225,401.0935102080385,-0.284
7.090604022081906,0.01,51.0,1.0,1.0,333.485669643225,399.71583177767116,-0.284
7.694862053361437,0.01,51.0,1.0,1.0,333.485669643225,398.583901611629,-0.284
8.350614677658532,0.01,51.0,1.0,1.0,333.485669643225,397.6836723017883,-0.284
9.062250240634778,0.01,51.0,1.0,1.0,333.485669643225,396.9931803906442,-0.284
9.834531060761668,0.01,51.0,1.0,1.0,333.485669643225,396.4842023307446,-0.284
10.672625299112381,0.01,51.0,1.0,1.0,333.485669643225,396.1248119815326,-0.284
11.582141545082669,0.01,51.0,1.0,1.0,333.485669643225,395.88247500768307,-0.284
12.569166349491027,0.01,51.0,1.0,1.0,333.485669643225,395.72694305229885,-0.284
13.640304956232512,0.01,51.0,1.0,1.0,333.485669643225,395.6323168139924,-0.284
14.80272550506545,0.01,51.0,1.0,1.0,333.485669643225,395.57803346762904,-0.284
16.064207001339426,0.01,51.0,1.0,1.0,333.485669643225,395.54889173336466,-0.284
17.43319137368153,0.01,51.0,1.0,1.0,333.485669643225,395.5344144852049,-0.284
18.918839968014844,0.01,51.0,1.0,1.0,333.485669643225,395.5278794952595,-0.284
20.531094855971272,0.01,51.0,1.0,1.0,333.485669643225,395.52528948727957,-0.284
22.280745367979403,0.01,51.0,1.0,1.0,333.485669643225,395.5244592150157,-0.284
24.179500296271495,0.01,51.0,1.0,1.0,333.485669643225,395.5243051905336,-0.284
26.240066250997867,0.01,51.0,1.0,1.0,333.485669643225,395.52435190032645,-0.284
28.476232693813404,0.01,51.0,1.0,1.0,333.485669643225,395.52442389352365,-0.284
30.902964217987456,0.01,51.0,1.0,1.0,333.485669643225,395.5244744573523,-0.284
33.53650069258248,0.01,51.0,1.0,1.0,333.485669643225,395.5245018390331,-0.284
36.394465940873765,0.01,51.0,1.0,1.0,333.485669643225,395.5245144328419,-0.284
39.495985680294396,0.01,51.0,1.0,1.0,333.485669643225,395.5245195168865,-0.284
42.86181551316834,0.01,51.0,1.0,1.0,333.485669643225,395.5245213412615,-0.284
46.5144798247553,0.01,51.0,1.0,1.0,333.485669643225,395.52452192534463,-0.284
50.47842251812341,0.01,51.0,1.0,1.0,333.485669643225,395.52452209196633,-0.284
54.780170594578784,0.01,51.0,1.0,1.0,333.485669643225,395.5245221341277,-0.284
59.44851167434448,0.01,51.0,1.0,1.0,333.485669643225,395.5245221435255,-0.284
64.51468664547063,0.01,51.0,1.0,1.0,333.485669643225,395.52452214535464,-0.284
70.01259873019619,0.01,51.0,1.0,1.0,333.485669643225,395.52452214566244,-0.284
75.97904036785103,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457067,-0.284
82.45393943261438,0.01,51.0,1.0,1.0,333.485669643225,395.524522145712,-0.284
89.48062643383894,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
97.1061244870633,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
105.38146399622259,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
114.36202415293195,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
124.10790353818399,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
134.68432230655196,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
146.16205864434843,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
158.61792242254668,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
172.13526921418944,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
186.80455811612384,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
202.723957108052,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
220.0,0.01,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
4.0,0.02,51.0,1.0,1.0,333.485669643225,413.40401857240136,-0.284
4.340878170264604,0.02,51.0,1.0,1.0,333.485669643225,410.97602331161403,-0.284
4.710805822269944,0.02,51.0,1.0,1.0,333.485669643225,408.54717874034185,-0.284
5.11225853956175,0.02,51.0,1.0,1.0,333.485669643225,406.2686267841686,-0.284
5.547922873783102,0.02,51.0,1.0,1.0,333.485669643225,404.1992699011401,-0.284
6.020714323279183,0.02,51.0,1.0,1.0,333.485669643225,402.3678498014205,-0.284
6.533796843830508,0.02,51.0,1.0,1.0,333.485669643225,400.7873115180532,-0.284
7.090604022081906,0.02,51.0,1.0,1.0,333.485669643225,399.4593827186521,-0.284
7.694862053361437,0.02,51.0,1.0,1.0,333.485669643225,398.37631536193624,-0.284
8.350614677658532,0.02,51.0,1.0,1.0,333.485669643225,397.52179304544427,-0.284
9.062250240634778,0.02,51.0,1.0,1.0,333.485669643225,396.8719869462519,-0.284
9.834531060761668,0.02,51.0,1.0,1.0,333.485669643225,396.39738485395833,-0.284
10.672625299112381,0.02,51.0,1.0,1.0,333.485669643225,396.06550038708446,-0.284
11.582141545082669,0.02,51.0,1.0,1.0,333.485669643225,395.8439725887021,-0.284
12.569166349491027,0.02,51.0,1.0,1.0,333.485669643225,395.7033035284772,-0.284
13.640304956232512,0.02,51.0,1.0,1.0,333.485669643225,395.61867790970683,-0.284
14.80272550506545,0.02,51.0,1.0,1.0,333.485669643225,395.57071023595535,-0.284
16.064207001339426,0.02,51.0,1.0,1.0,333.485669643225,395.54528924494286,-0.284
17.43319137368153,0.02,51.0,1.0,1.0,333.485669643225,395.53283663758634,-0.284
18.918839968014844,0.02,51.0,1.0,1.0,333.485669643225,395.5273023148664,-0.284
20.531094855971272,0.02,51.0,1.0,1.0,333.485669643225,395.5251475238063,-0.284
22.280745367979403,0.02,51.0,1.0,1.0,333.485669643225,395.524471912692,-0.284
24.179500296271495,0.02,51.0,1.0,1.0,333.485669643225,395.5243518214946,-0.284
26.240066250997867,0.02,51.0,1.0,1.0,333.485669643225,395.5243911999437,-0.284
28.476232693813404,0.02,51.0,1.0,1.0,333.485669643225,395.52444824259817,-0.284
30.902964217987456,0.02,51.0,1.0,1.0,333.485669643225,395.52448713513286,-0.284
33.53650069258248,0.02,51.0,1.0,1.0,333.485669643225,395.5245076249108,-0.284
36.394465940873765,0.02,51.0,1.0,1.0,333.485669643225,395.5245167858148,-0.284
39.495985680294396,0.02,51.0,1.0,1.0,333.485669643225,395.52452037465423,-0.284
42.86181551316834,0.02,51.0,1.0,1.0,333.485669643225,395.52452162168623,-0.284
46.5144798247553,0.02,51.0,1.0,1.0,333.485669643225,395.5245220073118,-0.284
50.47842251812341,0.02,51.0,1.0,1.0,333.485669643225,395.5245221132694,-0.284
54.780170594578784,0.02,51.0,1.0,1.0,333.485669643225,395.52452213901404,-0.284
59.44851167434448,0.02,51.0,1.0,1.0,333.485669643225,395.5245221445057,-0.284
64.51468664547063,0.02,51.0,1.0,1.0,333.485669643225,395.52452214552494,-0.284
70.01259873019619,0.02,51.0,1.0,1.0,333.485669643225,395.52452214568774,-0.284
75.97904036785103,0.02,51.0,1.0,1.0,333.485669643225,395.52452214570985,-0.284
82.45393943261438,0.02,51.0,1.0,1.0,333.485669643225,395.52452214571235,-0.284
89.48062643383894,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
97.1061244870633,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
105.38146399622259,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
114.36202415293195,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
124.10790353818399,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
134.68432230655196,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
146.16205864434843,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
158.61792242254668,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
172.13526921418944,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
186.80455811612384,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
202.723957108052,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
220.0,0.02,51.0,1.0,1.0,333.485669643225,395.5245221457125,-0.284
4.0,0.03,51.0,1.0,1.0,333.485669643225,413.05586312234664,-0.284
4.340878170264604,0.03,51.0,1.0,1.0,333.485669643225,410.5367597806357,-0.284
4.710805822269944,0.03,51.0,1.0,1.0,333.485669643225,408.10164699229375,-0.284
5.11225853956175,0.03,51.0,1.0,1.0,333.485669643225,405.8461291562582,-0.284
5.547922873783102,0.03,51.0,1.0,1.0,333.485669643225,403.81393713434926,-0.284
6.020714323279183,0.03,51.0,1.0,1.0,333.485669643225,402.0272910308359,-0.284
6.533796843830508,0.03,51.0,1.0,1.0,333.485669643225,400.4952747293823,-0.284
7.090604022081906,0.03,51.0,1.0,1.0,333.485669643225,399.21674836959,-0.284
7.694862053361437,0.03,51.0,1.0,1.0,333.485669643225,398.18154289502945,-0.284
8.350614677658532,0.03,51.0,1.0,1.0,333.485669643225,397.37123786132514,-0.284
9.062250240634778,0.03,51.0,1.0,1.0,333.485669643225,396.76031141806936,-0.284
9.834531060761668,0.03,51.0,1.0,1.0,333.485669643225,396.3181557741079,-0.284
