MagCAPShock,Bond_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.07,5.0,51.0,1.0,1.0,209.3026363419201,588.0439461739383,-0.07
-0.06,5.0,51.0,1.0,1.0,208.73807638436594,627.4907066106746,-0.06
-0.05,5.0,51.0,1.0,1.0,211.0683049771588,587.6984800148884,-0.05
-0.04,5.0,51.0,1.0,1.0,212.0137368682334,590.04935435704,-0.04
-0.03,5.0,51.0,1.0,1.0,212.5310406001128,631.2289923067508,-0.03
-0.02,5.0,51.0,1.0,1.0,214.79162817740078,627.9474643179918,-0.02
-0.01,5.0,51.0,1.0,1.0,203.65297979670405,651.0379302204867,-0.01
0.0,5.0,51.0,1.0,1.0,217.9454598031142,566.523047758989,0.0
-1.0,6.0,51.0,1.0,1.0,191.14303379667035,646.4612701027247,-1.0
-0.99,6.0,51.0,1.0,1.0,191.60383943698668,652.8730428719928,-0.99
-0.98,6.0,51.0,1.0,1.0,191.96568515355702,658.7653767197734,-0.98
-0.97,6.0,51.0,1.0,1.0,192.22975495971554,664.543805466609,-0.97
-0.96,6.0,51.0,1.0,1.0,192.50545597238684,670.2051380225173,-0.96
-0.95,6.0,51.0,1.0,1.0,192.82166059292936,675.7719097173573,-0.95
-0.94,6.0,51.0,1.0,1.0,193.25662083229327,662.0149226159048,-0.94
-0.93,6.0,51.0,1.0,1.0,193.6782232907449,640.783972328509,-0.93
-0.92,6.0,51.0,1.0,1.0,194.0655502892433,619.1501556377242,-0.92
-0.91,6.0,51.0,1.0,1.0,194.4164814389518,604.9564171334079,-0.91
-0.9,6.0,51.0,1.0,1.0,194.72429294441557,609.6806243503695,-0.9
-0.89,6.0,51.0,1.0,1.0,195.02721782110956,615.551795524823,-0.89
-0.88,6.0,51.0,1.0,1.0,195.29223763451316,620.3640897419343,-0.88
-0.87,6.0,51.0,1.0,1.0,195.26605685388006,624.9851993594692,-0.87
-0.86,6.0,51.0,1.0,1.0,195.34704102913335,626.8128463112168,-0.86
-0.85,6.0,51.0,1.0,1.0,195.5217967109081,611.3969163060547,-0.85
-0.84,6.0,51.0,1.0,1.0,195.45759300164275,602.9536658011759,-0.84
-0.83,6.0,51.0,1.0,1.0,195.3848915690662,601.7458573067519,-0.83
-0.82,6.0,51.0,1.0,1.0,195.30617193086917,608.8174138725577,-0.82
-0.81,6.0,51.0,1.0,1.0,195.21064962741025,619.3944045479843,-0.81
-0.8,6.0,51.0,1.0,1.0,195.1175406180335,629.9168241139052,-0.8
