ProjYears,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,1.0,1.0,0.3688400396737342,289.7371720132316,155.59029659061844,-0.284
1.0,1.0,1.0,0.36676477093354265,276.4927114945931,156.32398628279967,-0.284
2.0,1.0,1.0,0.3659340140879242,264.7591700978663,156.58622354358272,-0.284
3.0,1.0,1.0,0.36527221653281794,264.3914266231488,156.8030994584808,-0.284
4.0,1.0,1.0,0.36464054851883315,263.56138296790715,157.01186563859028,-0.284
5.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
6.0,1.0,1.0,0.36368836515554986,261.29784995381704,157.32670112180642,-0.284
7.0,1.0,1.0,0.3635927547212979,259.88446363808504,157.35365275313774,-0.284
8.0,1.0,1.0,0.36310644681213017,257.67905421246024,157.51875098252617,-0.284
9.0,1.0,1.0,0.36266287812671855,255.5188635198805,157.67138914283336,-0.284
10.0,1.0,1.0,0.36225839717777836,253.10339170268608,157.8123689602253,-0.284
