MagCAPShock,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
-1.0,0.9829169841245735,0.6936707570033027,0.5263717434046921,316.1423939547935,148.85877687518143,-1.0
-0.99,0.9833778691840135,0.6996021074333888,0.497664700470394,315.2445764869356,148.99031856782685,-0.99
-0.98,0.9838326109443121,0.7055334578634749,0.48258380492733527,314.34166757804917,149.13349343273356,-0.98
-0.97,0.9841866961626116,0.7114648082935608,0.4711810605778642,313.4334028995206,149.2770426172794,-0.97
-0.96,0.9845404779706569,0.7173961587236471,0.4624186859954651,312.5196483658659,149.42096429455387,-0.96
-0.95,0.9848939528624614,0.7233275091537331,0.45507824391910523,311.6004587773121,149.56525746655203,-0.95
-0.94,0.9852471171548781,0.7292588595838191,0.44825845217570776,310.67615100899565,149.697740961454,-0.94
-0.93,0.9855999669965145,0.7351902100139053,0.44182245135643666,309.74739110119174,149.8427445480056,-0.93
-0.92,0.9859524983811747,0.7411215604439914,0.43596171718801396,308.8152897086061,149.98811869393666,-0.92
-0.91,0.9863047071667188,0.7470529108740772,0.4307355670526191,307.88148947838926,150.13386416913872,-0.91
-0.9,0.9866565891003202,0.7529842613041635,0.4260972394713278,306.9482050492925,150.27998215911506,-0.9
-0.89,0.9870081398511825,0.7589156117342494,0.42196424363379936,306.01812988355283,150.42639267107904,-0.89
-0.88,0.9873593550518566,0.7648469621643357,0.4183099115977528,305.0940337036186,150.5604882433106,-0.88
-0.87,0.9877102303493243,0.7707783125944214,0.4149819112793787,304.17771291470893,150.70769582746476,-0.87
-0.86,0.9880607614670222,0.7767096630245077,0.4119694801103259,303.26773061552507,150.85528844134257,-0.86
-0.85,0.9884109442789035,0.7826410134545936,0.40923365210880897,302.3553621083094,151.00327068591167,-0.85
-0.84,0.9887607748964907,0.7885723638846799,0.40674766857653327,301.4198417592189,151.15164810550849,-0.84
-0.83,0.9891102497696086,0.7945037143147659,0.4045365223464204,300.43262720862174,151.28763175164275,-0.83
-0.82,0.9894593658010942,0.800435064744852,0.40249971349942243,299.40144611848405,151.43677505862087,-0.82
-0.81,0.9898081204752082,0.806366415174938,0.4005891737451546,298.46548601821775,151.58633692432448,-0.81
-0.8,0.9901565119987171,0.8122977656050241,0.39814489271862,297.85744686465824,151.73629504279967,-0.8
-0.79,0.9905045394526314,0.8182291160351102,0.39595657173481885,297.60346938166674,151.88670264077115,-0.79
-0.78,0.9908522029513606,0.8241604664651961,0.39435528337637704,297.58648507980325,152.03757119019764,-0.78
-0.77,0.9911995038046088,0.8300918168952823,0.3929034745243785,297.65292956602286,152.1776909434265,-0.77
-0.76,0.9915464446756639,0.8360231673253683,0.39149650153492543,297.7463715892895,152.32941947954203,-0.76
-0.75,0.9918930297279371,0.8419545177554543,0.39017285885052183,297.8506128716177,152.48163280695982,-0.75
-0.74,0.9922392647497627,0.8478858681855405,0.38893845939501454,297.9578274872604,152.63434623632224,-0.74
-0.73,0.9925851576892885,0.8538172186156265,0.38778911625685075,298.0618041454946,152.7875752573897,-0.73
-0.72,0.9929307176707504,0.8597485690457126,0.38673915412705256,298.16165536097077,152.94133711166432,-0.72
-0.71,0.9932759554719692,0.8656799194757987,0.3857807531292508,298.25510059379206,153.09575369934782,-0.71
-0.7,0.9936208837643394,0.8716112699058848,0.384890661222189,298.34070774319184,153.24432035599222,-0.7
-0.69,0.9939655166959893,0.8775426203359707,0.38395560340436646,298.4177631658472,153.39934092304125,-0.69
-0.68,0.9943098696154159,0.8834739707660568,0.3830141016093727,298.4861140048409,153.5548186779808,-0.68
-0.67,0.9946539586908696,0.889405321196143,0.3820914634486306,298.54601166950766,153.7107572238116,-0.67
-0.66,0.9949978842307657,0.8953366716262289,0.38118801967715954,298.5971489508424,153.8670891729118,-0.66
-0.65,0.9953415997118175,0.9012680220563151,0.3803166970786263,298.641017660812,154.0238750001226,-0.65
-0.64,0.9956850919165823,0.9071993724864011,0.37956978004732317,298.6711078337962,154.15320679859414,-0.64
-0.63,0.9960283732930942,0.9131307229164876,0.3787746112323012,298.66816380057475,154.3095529701496,-0.63
-0.62,0.9963714540754622,0.9190620733465733,0.3779198386511558,298.66511439648775,154.4944071944622,-0.62
-0.61,0.9967098421119054,0.9249934237766595,0.3770588562612988,297.8990604875204,154.64072082580878,-0.61
-0.6,0.9970476934336321,0.9309247742067454,0.37622270727002904,296.96684160192564,154.78617935839588,-0.6
-0.59,0.997385122063471,0.9368561246368319,0.37541079140552475,296.0323525163112,154.9318204064742,-0.59
-0.58,0.9977221266526024,0.9427874750669175,0.3746217593950784,295.09435601001536,155.07764330880397,-0.58
-0.57,0.9980587054466374,0.9487188254970039,0.3739800172887126,294.1506405364329,155.18220740099008,-0.57
-0.56,0.9983948561455381,0.9546501759270897,0.373707242269853,293.19760511992456,155.1716742008354,-0.56
-0.55,0.9987305756774939,0.9605815263571759,0.37344772511289714,292.2277415005712,155.1629331556777,-0.55
-0.54,0.9990658598517728,0.9665128767872619,0.37320195017468905,291.22770282167943,155.1556263789485,-0.54
-0.53,0.9993121788713517,0.9724442272173478,0.37297091646257946,290.1737243221418,155.14953669854762,-0.53
-0.52,0.9995379550497359,0.9783755776474339,0.37275637850963594,289.0259389283948,155.14451835076483,-0.52
-0.51,0.9996922927074025,0.9843069280775204,0.372560717161847,287.7252268187774,155.14046710228044,-0.51
-0.5,0.9998085936962275,0.9902382785076063,0.3723848514887705,286.2066764450949,155.13586385809336,-0.5
-0.49,0.9999248946850529,0.9961696289376921,0.37222701837714206,284.44058874863487,155.13150519568288,-0.49
-0.48,1.0,1.0,0.3720807712413365,282.49761090981,155.12799022554742,-0.48
-0.47,1.0,1.0,0.3719362259959846,280.55371721170235,155.12519583774827,-0.47
-0.46,1.0,1.0,0.37178684106742077,278.7804842407029,155.12305871383913,-0.46
-0.45,1.0,1.0,0.3714627622256494,277.22548659085686,155.17763181167635,-0.45
-0.44,1.0,1.0,0.3708854515614868,275.8501770330329,155.3171483915977,-0.44
-0.43,1.0,1.0,0.37031835140551767,274.5854306535434,155.45587640029498,-0.43
-0.42,1.0,1.0,0.36977680592493317,273.4040209520639,155.58750077290054,-0.42
-0.41,1.0,1.0,0.3692453787252776,272.20672868854683,155.71947348031614,-0.41
-0.4,1.0,1.0,0.3687243306902004,270.7793246485384,155.85185074249083,-0.4
-0.39,1.0,1.0,0.36821114682840167,269.13183190182974,155.9859033364865,-0.39
-0.38,1.0,1.0,0.3676948197288205,267.12445076476075,156.12656826223426,-0.38
-0.37,1.0,1.0,0.3673778386931034,265.3261862103662,156.2014760347775,-0.37
-0.36,1.0,1.0,0.36727722332482077,264.1279170624104,156.2029268832644,-0.36
-0.35,1.0,1.0,0.366801014398529,263.54560384356733,156.33350996295263,-0.35
-0.34,1.0,1.0,0.3663227886883034,263.6962752517473,156.467397892181,-0.34
-0.33,1.0,1.0,0.36585142833999457,264.17883798211017,156.60151074066383,-0.33
-0.32,1.0,1.0,0.3654439875279971,264.0424601891549,156.733501821745,-0.32
-0.31,1.0,1.0,0.3650524629892331,263.59291668173773,156.8652306092949,-0.31
-0.3,1.0,1.0,0.3646627983943698,263.1208823094211,156.997627341127,-0.3
-0.29,1.0,1.0,0.36427501542509727,262.69198976253074,157.13066144598457,-0.29
-0.28,1.0,1.0,0.3638890932747731,262.3577184379304,157.2643350919846,-0.28
-0.27,1.0,1.0,0.36368820232233673,262.1483884674908,157.3344620159009,-0.27
-0.26,1.0,1.0,0.36368772805021066,262.0194218424527,157.33483687411635,-0.26
-0.25,1.0,1.0,0.36342496157905435,261.86224059449273,157.4281998595749,-0.25
-0.24,1.0,1.0,0.36305080433165493,260.6381741194114,157.55840021977488,-0.24
-0.23,1.0,1.0,0.3626773419483731,259.8137977349068,157.6909376299315,-0.23
-0.22,1.0,1.0,0.3623055263351828,258.4390078703473,157.82247903523523,-0.22
-0.21,1.0,1.0,0.3619343322345874,256.9043056855598,157.9552259444605,-0.21
-0.2,1.0,1.0,0.36156435664197484,254.8073754069891,158.08778477367187,-0.2
-0.19,1.0,1.0,0.36119486395727346,249.85543785481303,158.2211826984181,-0.19
-0.18,1.0,1.0,0.3608263071025459,247.3947444176833,158.35473688700472,-0.18
-0.17,1.0,1.0,0.36045875386481946,247.67495648483165,158.48836173985245,-0.17
-0.16,1.0,1.0,0.3602939519747945,247.77058334264453,158.54851322937196,-0.16
-0.15,1.0,1.0,0.36029395416543536,247.77059042377076,158.54851364902964,-0.15
-0.14,1.0,1.0,0.3602939565814423,247.77059824983598,158.5485141181231,-0.14
-0.13,1.0,1.0,0.36029395896297123,247.7706059812985,158.54851458702137,-0.13
-0.12,1.0,1.0,0.36029396131070784,247.77061361984423,158.54851505565262,-0.12
-0.11,1.0,1.0,0.3602939636253207,247.77062116711963,158.54851552394783,-0.11
-0.1,1.0,1.0,0.36029396590746104,247.77062862473306,158.54851599184138,-0.1
-0.09,1.0,1.0,0.36029396815776443,247.7706359942553,158.54851645926993,-0.09
-0.08,1.0,1.0,0.36029397037685035,247.77064327722164,158.54851692617362,-0.08
-0.07,1.0,1.0,0.36029397256532275,247.7706504751314,158.54851739249438,-0.07
-0.06,1.0,1.0,0.360293974723771,247.77065758945028,158.54851785817723,-0.06
-0.05,1.0,1.0,0.3602939768527698,247.77066462161122,158.54851832316947,-0.05
-0.04,1.0,1.0,0.36029397895288007,247.7706715730138,158.54851878742065,-0.04
-0.03,1.0,1.0,0.36029398102464905,247.77067844502722,158.5485192508825,-0.03
-0.02,1.0,1.0,0.36029398306861093,247.77068523898956,158.54851971350922,-0.02
-0.01,1.0,1.0,0.3602939850852868,247.77069195620996,158.5485201752566,-0.01
0.0,1.0,1.0,0.36029398707518534,247.77069859796777,158.54852063608288,0.0
