IF_sens_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
4.0,1.0,1.0,0.36456727704789516,259.1160410028775,157.03201439194436,-0.284
4.340878170264604,1.0,1.0,0.3645550468671647,259.2771940712646,157.03629634238118,-0.284
4.710805822269944,1.0,1.0,0.3645418955707946,259.4515371655241,157.040913411712,-0.284
5.11225853956175,1.0,1.0,0.364527763925876,259.63981783692896,157.045888915651,-0.284
5.547922873783102,1.0,1.0,0.3645125904630478,259.8426874440957,157.05124730562378,-0.284
6.020714323279183,1.0,1.0,0.36449631163218427,260.0606509271358,157.05701415005825,-0.284
6.533796843830508,1.0,1.0,0.36447886199798774,260.2940100505712,157.0632161060165,-0.284
7.090604022081906,1.0,1.0,0.36446017447624107,260.54280326322817,157.06988088309487,-0.284
7.694862053361437,1.0,1.0,0.3644400779754065,260.65990368081145,157.07656004900494,-0.284
8.350614677658532,1.0,1.0,0.36441858933484683,260.75057586440073,157.08362449428458,-0.284
9.062250240634778,1.0,1.0,0.36439567075768875,260.8455694943507,157.09119503061262,-0.284
9.834531060761668,1.0,1.0,0.3643712651425559,260.94585764876973,157.0992940907247,-0.284
10.672625299112381,1.0,1.0,0.36434531870527254,261.05261980348575,157.1079431834556,-0.284
11.582141545082669,1.0,1.0,0.36431778204339227,261.16721331865256,157.1171624886232,-0.284
12.569166349491027,1.0,1.0,0.3642886113037114,261.29111436597395,157.12697040173796,-0.284
13.640304956232512,1.0,1.0,0.36425776944796634,261.4258240605818,157.13738302936105,-0.284
14.80272550506545,1.0,1.0,0.3642252276081755,261.57273977835666,157.14841363813437,-0.284
16.064207001339426,1.0,1.0,0.3641909665183413,261.7329978851203,157.1600720631674,-0.284
17.43319137368153,1.0,1.0,0.3641549780033258,261.9073016174215,157.17236408450393,-0.284
18.918839968014844,1.0,1.0,0.3641172664985797,262.095754942467,157.18529078367493,-0.284
20.531094855971272,1.0,1.0,0.36407785056631053,262.29772748222626,157.19884789566947,-0.284
22.280745367979403,1.0,1.0,0.36403676436517673,262.5117746907865,157.2130251747867,-0.284
24.179500296271495,1.0,1.0,0.36399405902263743,262.7356303841044,157.227805795554,-0.284
26.240066250997867,1.0,1.0,0.36394980385283143,262.96627666713346,157.2431658120895,-0.284
28.476232693813404,1.0,1.0,0.3639040873593428,263.20008276452467,157.2590737009628,-0.284
30.902964217987456,1.0,1.0,0.3638570179620256,263.4329936086626,157.2754900140113,-0.284
33.53650069258248,1.0,1.0,0.36380872438998546,263.6607444473437,157.29236716900783,-0.284
36.394465940873765,1.0,1.0,0.3637593556878655,263.87907963640924,157.30964940777008,-0.284
39.495985680294396,1.0,1.0,0.3637090807885734,264.0839598618508,157.32727295298423,-0.284
42.86181551316834,1.0,1.0,0.36368740305876424,264.2790384339883,157.33498927612482,-0.284
46.5144798247553,1.0,1.0,0.36368711694901257,264.4575795725351,157.33530233575448,-0.284
50.47842251812341,1.0,1.0,0.36368678398837,264.61077018661126,157.33564622900903,-0.284
54.780170594578784,1.0,1.0,0.3636864043159169,264.7365297479459,157.33600789853017,-0.284
59.44851167434448,1.0,1.0,0.3636859829430856,264.8338223994565,157.33637157734992,-0.284
64.51468664547063,1.0,1.0,0.3636856176754573,264.80263737870786,157.33620836167253,-0.284
70.01259873019619,1.0,1.0,0.36368530099089885,264.7327855157388,157.33589741056167,-0.284
75.97904036785103,1.0,1.0,0.36368501439214745,264.6573621166079,157.33559180645688,-0.284
82.45393943261438,1.0,1.0,0.3636847600471326,264.57647795389835,157.33528426338228,-0.284
89.48062643383894,1.0,1.0,0.36368453977968224,264.49055491685806,157.33496895341548,-0.284
97.1061244870633,1.0,1.0,0.36368435455959197,264.40035575785276,157.3346422697249,-0.284
105.38146399622259,1.0,1.0,0.36368420408344243,264.3069847126431,157.33430334573947,-0.284
114.36202415293195,1.0,1.0,0.363684086594575,264.2118502785672,157.33395416570318,-0.284
124.10790353818399,1.0,1.0,0.3636839990024289,264.116588921046,157.33359922063545,-0.284
134.68432230655196,1.0,1.0,0.36366945036988096,264.02123865428183,157.33834161639334,-0.284
146.16205864434843,1.0,1.0,0.36363730207971456,263.9312534921169,157.34929688314352,-0.284
158.61792242254668,1.0,1.0,0.3636081756387297,263.84817761919453,157.3592163634642,-0.284
172.13526921418944,1.0,1.0,0.3635821719062869,263.7722909444809,157.36806764371119,-0.284
186.80455811612384,1.0,1.0,0.3635593402280815,263.7041630321017,157.37583538486126,-0.284
202.723957108052,1.0,1.0,0.3635396680535053,263.6441954048379,157.3825248750618,-0.284
220.0,1.0,1.0,0.36352307267028444,263.5925120138731,157.38816496969395,-0.284
22.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
