DSCR,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.5,1.0,1.0,0.36404324237239044,257.12256656543417,157.21078694921812,-0.284
1.51,1.0,1.0,0.36404324237239044,256.79719338405357,157.21078694921812,-0.284
1.52,1.0,1.0,0.36404324237239044,256.47692796175426,157.21078694921812,-0.284
1.53,1.0,1.0,0.36404324237239044,256.1616052042814,157.21078694921812,-0.284
1.54,1.0,1.0,0.36404324237239044,255.85104071375642,157.21078694921812,-0.284
1.55,1.0,1.0,0.36404324237239044,255.5450224373209,157.21078694921812,-0.284
1.56,1.0,1.0,0.36404324237239044,255.24329903134762,157.21078694921812,-0.284
1.57,1.0,1.0,0.36404324237239044,254.94556348357662,157.21078694921812,-0.284
1.58,1.0,1.0,0.36404324237239044,254.65142615719506,157.21078694921812,-0.284
1.59,1.0,1.0,0.36404324237239044,254.36036765131314,157.21078694921812,-0.284
1.6,1.0,1.0,0.36404324237239044,254.0716575095257,157.21078694921812,-0.284
1.61,1.0,1.0,0.36404324237239044,253.7842099017235,157.21078694921812,-0.284
1.62,1.0,1.0,0.36404324237239044,253.49630550918877,157.21078694921812,-0.284
1.63,1.0,1.0,0.36404324237239044,253.20500435409483,157.21078694921812,-0.284
1.64,1.0,1.0,0.36404324237239044,252.90477710790142,157.21078694921812,-0.284
1.65,1.0,1.0,0.36404324237239044,252.58385110054755,157.21078694921812,-0.284
1.66,1.0,1.0,0.36404324237239044,252.21227278381926,157.21078694921812,-0.284
1.67,1.0,1.0,0.36404324237239044,251.68783239260185,157.21078694921812,-0.284
1.68,1.0,1.0,0.36404324237239044,250.35441603589587,157.21078694921812,-0.284
1.69,1.0,1.0,0.36404324237239044,252.06837191382647,157.21078694921812,-0.284
1.7,1.0,1.0,0.36404324237239044,255.98015629644138,157.21078694921812,-0.284
1.71,1.0,1.0,0.36404324237239044,257.49628412368435,157.21078694921812,-0.284
1.72,1.0,1.0,0.36404324237239044,258.46765248226166,157.21078694921812,-0.284
1.73,1.0,1.0,0.36404324237239044,259.17748169540937,157.21078694921812,-0.284
1.74,1.0,1.0,0.36404324237239044,259.72983187110987,157.21078694921812,-0.284
1.75,1.0,1.0,0.36404324237239044,260.1756556233723,157.21078694921812,-0.284
1.76,1.0,1.0,0.36404324237239044,260.5440701301553,157.21078694921812,-0.284
1.77,1.0,1.0,0.36404324237239044,260.85343678386204,157.21078694921812,-0.284
1.78,1.0,1.0,0.36404324237239044,261.1161600153523,157.21078694921812,-0.284
1.79,1.0,1.0,0.36404324237239044,261.3410577645449,157.21078694921812,-0.284
1.8,1.0,1.0,0.36404324237239044,261.53464650833683,157.21078694921812,-0.284
1.81,1.0,1.0,0.36404324237239044,261.7018886794146,157.21078694921812,-0.284
