Bond_Time,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
5.0,1.0,1.0,0.3640432423723905,270.25005582732194,157.2107869492181,-0.284
6.0,1.0,1.0,0.36404324237239044,268.91861911921535,157.21078694921815,-0.284
7.0,1.0,1.0,0.3640432423723905,267.8468798709659,157.2107869492181,-0.284
8.0,1.0,1.0,0.3640432423723905,266.9273484380028,157.2107869492181,-0.284
9.0,1.0,1.0,0.36404324237239055,266.11421113499796,157.2107869492181,-0.284
10.0,1.0,1.0,0.3640432423723905,265.37862567115315,157.2107869492181,-0.284
11.0,1.0,1.0,0.36404324237239044,264.7016945760652,157.21078694921812,-0.284
12.0,1.0,1.0,0.36404324237239044,264.0766771437642,157.21078694921812,-0.284
13.0,1.0,1.0,0.3640432423723905,263.5028997728353,157.2107869492181,-0.284
14.0,1.0,1.0,0.3640432423723905,262.9763162895656,157.2107869492181,-0.284
15.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
16.0,1.0,1.0,0.36404324237239044,261.9350738144984,157.21078694921812,-0.284
17.0,1.0,1.0,0.3640432423723905,260.93178418158175,157.21078694921812,-0.284
18.0,1.0,1.0,0.3640432423723905,253.61167078448187,157.2107869492181,-0.284
19.0,1.0,1.0,0.3640432423723905,269.2469625681293,157.2107869492181,-0.284
20.0,1.0,1.0,0.36159935572297525,263.62708241363595,157.4564043459402,-0.284
21.0,1.0,1.0,0.35822574836954874,259.4316753115739,157.6791975175876,-0.284
22.0,1.0,1.0,0.35689110186241385,271.02001162063675,157.0992099260248,-0.284
23.0,1.0,1.0,0.35549559757370147,282.2611383151781,156.46910539797742,-0.284
24.0,1.0,1.0,0.3551114175983314,287.36180664825446,156.28644601568618,-0.284
25.0,1.0,1.0,0.3551114175983314,290.4842972958616,156.28644601568615,-0.284
26.0,1.0,1.0,0.3551114175983314,293.8659526736607,156.28644601568615,-0.284
27.0,1.0,1.0,0.3551114175983314,297.4784813762238,156.28644601568618,-0.284
28.0,1.0,1.0,0.3551114175983314,301.272694619708,156.28644601568618,-0.284
29.0,1.0,1.0,0.3551114175983314,305.20528171012296,156.28644601568615,-0.284
30.0,1.0,1.0,0.3551114175983314,309.21748113315897,156.28644601568618,-0.284
