FixedPropRates,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.0,1.0,1.0,0.36404324237239044,262.12290722336326,157.21078694921812,-0.284
0.01,1.0,1.0,0.36404324237239044,262.12849226926465,157.21078694921812,-0.284
0.02,1.0,1.0,0.36404324237239044,262.13407814675116,157.21078694921812,-0.284
0.03,1.0,1.0,0.36404324237239044,262.1396648618087,157.21078694921812,-0.284
0.04,1.0,1.0,0.36404324237239044,262.14525242043743,157.21078694921812,-0.284
0.05,1.0,1.0,0.36404324237239044,262.1508408286497,157.21078694921812,-0.284
0.06,1.0,1.0,0.36404324237239044,262.1564300924723,157.21078694921812,-0.284
0.07,1.0,1.0,0.36404324237239044,262.1620202179449,157.21078694921812,-0.284
0.08,1.0,1.0,0.36404324237239044,262.1676112111197,157.21078694921812,-0.284
0.09,1.0,1.0,0.36404324237239044,262.1732030780632,157.21078694921812,-0.284
0.1,1.0,1.0,0.36404324237239044,262.1787958248539,157.21078694921812,-0.284
0.11,1.0,1.0,0.36404324237239044,262.1843894575849,157.21078694921812,-0.284
0.12,1.0,1.0,0.36404324237239044,262.1899839823613,157.21078694921812,-0.284
0.13,1.0,1.0,0.36404324237239044,262.195579405302,157.21078694921812,-0.284
0.14,1.0,1.0,0.36404324237239044,262.2011757325384,157.21078694921812,-0.284
0.15,1.0,1.0,0.36404324237239044,262.2067729702163,157.21078694921812,-0.284
0.16,1.0,1.0,0.36404324237239044,262.21237112449336,157.21078694921812,-0.284
0.17,1.0,1.0,0.36404324237239044,262.2179702015405,157.21078694921812,-0.284
0.18,1.0,1.0,0.36404324237239044,262.2235702075424,157.21078694921812,-0.284
0.19,1.0,1.0,0.36404324237239044,262.22917114869676,157.21078694921812,-0.284
0.2,1.0,1.0,0.36404324237239044,262.23477303121354,157.21078694921812,-0.284
0.21,1.0,1.0,0.36404324237239044,262.2403758613164,157.21078694921812,-0.284
0.22,1.0,1.0,0.36404324237239044,262.2459796452422,157.21078694921812,-0.284
0.23,1.0,1.0,0.36404324237239044,262.25158438924007,157.21078694921812,-0.284
0.24,1.0,1.0,0.36404324237239044,262.2571900995728,157.21078694921812,-0.284
0.25,1.0,1.0,0.36404324237239044,262.2627967825162,157.21078694921812,-0.284
0.26,1.0,1.0,0.36404324237239044,262.26840444435845,157.21078694921812,-0.284
0.27,1.0,1.0,0.36404324237239044,262.27401309140106,157.21078694921812,-0.284
0.28,1.0,1.0,0.36404324237239044,262.2796227299584,157.21078694921812,-0.284
0.29,1.0,1.0,0.36404324237239044,262.2852333663583,157.21078694921812,-0.284
0.3,1.0,1.0,0.36404324237239044,262.2908450069405,157.21078694921812,-0.284
0.31,1.0,1.0,0.36404324237239044,262.29645765805816,157.21078694921812,-0.284
0.32,1.0,1.0,0.36404324237239044,262.30207132607745,157.21078694921812,-0.284
0.33,1.0,1.0,0.36404324237239044,262.30768601737714,157.21078694921812,-0.284
0.34,1.0,1.0,0.36404324237239044,262.31330173834874,157.21078694921812,-0.284
0.35,1.0,1.0,0.36404324237239044,262.318918495397,157.21078694921812,-0.284
0.36,1.0,1.0,0.36404324237239044,262.324536294939,157.21078694921812,-0.284
0.37,1.0,1.0,0.36404324237239044,262.33015514340474,157.21078694921812,-0.284
0.38,1.0,1.0,0.36404324237239044,262.3357750472368,157.21078694921812,-0.284
0.39,1.0,1.0,0.36404324237239044,262.3413960128914,157.21078694921812,-0.284
0.4,1.0,1.0,0.36404324237239044,262.34701804683584,157.21078694921812,-0.284
0.41,1.0,1.0,0.36404324237239044,262.35264115555174,157.21078694921812,-0.284
0.42,1.0,1.0,0.36404324237239044,262.35826534553235,157.21078694921812,-0.284
0.43,1.0,1.0,0.36404324237239044,262.36389062328396,157.21078694921812,-0.284
0.44,1.0,1.0,0.36404324237239044,262.36951699532557,157.21078694921812,-0.284
0.45,1.0,1.0,0.36404324237239044,262.37514446818835,157.21078694921812,-0.284
0.46,1.0,1.0,0.36404324237239044,262.38077304841664,157.21078694921812,-0.284
0.47,1.0,1.0,0.36404324237239044,262.3864027425669,157.21078694921812,-0.284
0.48,1.0,1.0,0.36404324237239044,262.3920335572082,157.21078694921812,-0.284
0.49,1.0,1.0,0.36404324237239044,262.3976654989226,157.21078694921812,-0.284
0.5,1.0,1.0,0.36404324237239044,262.40329857430373,157.21078694921812,-0.284
0.51,1.0,1.0,0.36404324237239044,262.4089327899585,157.21078694921812,-0.284
0.52,1.0,1.0,0.36404324237239044,262.4145681525061,157.21078694921812,-0.284
0.53,1.0,1.0,0.36404324237239044,262.4202046685781,157.21078694921812,-0.284
0.54,1.0,1.0,0.36404324237239044,262.42584234481836,157.21078694921812,-0.284
0.55,1.0,1.0,0.36404324237239044,262.43148118788304,157.21078694921812,-0.284
0.56,1.0,1.0,0.36404324237239044,262.4371212044408,157.21078694921812,-0.284
0.57,1.0,1.0,0.36404324237239044,262.44276240117284,157.21078694921812,-0.284
0.58,1.0,1.0,0.36404324237239044,262.44840478477255,157.21078694921812,-0.284
0.59,1.0,1.0,0.36404324237239044,262.4540483619451,157.21078694921812,-0.284
0.6,1.0,1.0,0.36404324237239044,262.4596931394087,157.21078694921812,-0.284
0.61,1.0,1.0,0.36404324237239044,262.46533912389344,157.21078694921812,-0.284
0.62,1.0,1.0,0.36404324237239044,262.4709863221414,157.21078694921812,-0.284
0.63,1.0,1.0,0.36404324237239044,262.4766347409072,157.21078694921812,-0.284
0.64,1.0,1.0,0.36404324237239044,262.4822843869573,157.21078694921812,-0.284
0.65,1.0,1.0,0.36404324237239044,262.48793526707084,157.21078694921812,-0.284
0.66,1.0,1.0,0.36404324237239044,262.49358738803824,157.21078694921812,-0.284
0.67,1.0,1.0,0.36404324237239044,262.4992407566627,157.21078694921812,-0.284
0.68,1.0,1.0,0.36404324237239044,262.50489537975903,157.21078694921812,-0.284
0.69,1.0,1.0,0.36404324237239044,262.51055126415446,157.21078694921812,-0.284
0.7,1.0,1.0,0.36404324237239044,262.5162084166876,157.21078694921812,-0.284
0.71,1.0,1.0,0.36404324237239044,262.5218668442098,157.21078694921812,-0.284
0.72,1.0,1.0,0.36404324237239044,262.5275265535839,157.21078694921812,-0.284
0.73,1.0,1.0,0.36404324237239044,262.53318755168425,157.21078694921812,-0.284
0.74,1.0,1.0,0.36404324237239044,262.53884984539826,157.21078694921812,-0.284
0.75,1.0,1.0,0.36404324237239044,262.5445134416241,157.21078694921812,-0.284
0.76,1.0,1.0,0.36404324237239044,262.5501783472721,157.21078694921812,-0.284
0.77,1.0,1.0,0.36404324237239044,262.5558445692645,157.21078694921812,-0.284
0.78,1.0,1.0,0.36404324237239044,262.5615121145351,157.21078694921812,-0.284
0.79,1.0,1.0,0.36404324237239044,262.5671809900297,157.21078694921812,-0.284
0.8,1.0,1.0,0.36404324237239044,262.57285120270524,157.21078694921812,-0.284
0.81,1.0,1.0,0.36404324237239044,262.5785227595314,157.21078694921812,-0.284
