Conserv_Sens,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.67,1.0,1.0,0.36404323307225656,262.5066937946675,157.21079075794097,-0.284
0.68,1.0,1.0,0.36404323265146293,262.50799445098266,157.21079093203585,-0.284
0.69,1.0,1.0,0.3640432322415181,262.5092655559374,157.21079110183015,-0.284
0.7,1.0,1.0,0.36404323184203097,262.51050868602863,157.21079126747603,-0.284
0.71,1.0,1.0,0.36404323145262757,262.5117253181696,157.21079142911898,-0.284
0.72,1.0,1.0,0.36404323107295095,262.51291683619974,157.21079158689776,-0.284
0.73,1.0,1.0,0.3640432307026596,262.51408453695393,157.21079174094487,-0.284
0.74,1.0,1.0,0.36404323034142716,262.51522963593004,157.2107918913867,-0.284
0.75,1.0,1.0,0.3640432299889415,262.5163532725716,157.21079203834407,-0.284
0.76,1.0,1.0,0.3640432296449036,262.51745651520395,157.21079218193307,-0.284
0.77,1.0,1.0,0.36404322930902827,262.5185403656335,157.21079232226396,-0.284
0.78,1.0,1.0,0.3640432289810409,262.51960576344555,157.21079245944279,-0.284
0.79,1.0,1.0,0.36404322866068006,262.5206535900131,157.21079259357086,-0.284
0.8,1.0,1.0,0.36404322834769415,262.52168467223777,157.2107927247451,-0.284
0.81,1.0,1.0,0.36404322804184286,262.52269978604716,157.2107928530584,-0.284
0.82,1.0,1.0,0.3640432277428954,262.52369965965346,157.2107929786,-0.284
0.83,1.0,1.0,0.36404322745063,262.5246849766029,157.21079310145532,-0.284
0.84,1.0,1.0,0.3640432271648349,262.52565637861653,157.21079322170615,-0.284
0.85,1.0,1.0,0.36404322688530644,262.526614468253,157.2107933394311,-0.284
0.86,1.0,1.0,0.364043226611849,262.5275598113874,157.21079345470565,-0.284
0.87,1.0,1.0,0.36404322634427483,262.52849293953426,157.21079356760217,-0.284
0.88,1.0,1.0,0.3640432260824036,262.5294143520139,157.21079367819027,-0.284
0.89,1.0,1.0,0.36404322582606213,262.53032451798003,157.21079378653653,-0.284
0.9,1.0,1.0,0.36404322557508423,262.53122387831576,157.2107938927055,-0.284
0.91,1.0,1.0,0.3640432253293093,262.5321128474043,157.2107939967588,-0.284
0.92,1.0,1.0,0.36404322508858367,262.53299181478644,157.21079409875588,-0.284
0.93,1.0,1.0,0.36404322485275936,262.5338611467128,157.21079419875392,-0.284
0.94,1.0,1.0,0.3640432246216936,262.53472118759277,157.21079429680807,-0.284
0.95,1.0,1.0,0.36404322439524955,262.53557226135274,157.2107943929708,-0.284
