IF_sens_s,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
4.0,1.0,1.0,0.3640405064916797,278.9951673290002,157.2118117267081,-0.284
4.340878170264604,1.0,1.0,0.36404064641337097,278.2025661938563,157.2117603886448,-0.284
4.710805822269944,1.0,1.0,0.36404078904609816,277.397906615182,157.2117080342515,-0.284
5.11225853956175,1.0,1.0,0.3640409339376472,276.5837423556928,157.2116548260156,-0.284
5.547922873783102,1.0,1.0,0.36404108058325857,275.7628055931801,157.21160094535838,-0.284
6.020714323279183,1.0,1.0,0.3640412284233118,274.93800003324503,157.21154659342477,-0.284
6.533796843830508,1.0,1.0,0.3640413768408202,274.11239517437315,157.21149199193212,-0.284
7.090604022081906,1.0,1.0,0.364041525158828,273.2892219121078,157.21143738404908,-0.284
7.694862053361437,1.0,1.0,0.3640416726379196,272.4718694047723,157.211383035231,-0.284
8.350614677658532,1.0,1.0,0.3640418184742085,271.66388271065364,157.21132923389297,-0.284
9.062250240634778,1.0,1.0,0.3640419617983896,270.86896008448633,157.2112762917168,-0.284
9.834531060761668,1.0,1.0,0.364042101676763,270.09094793456546,157.21122454329057,-0.284
10.672625299112381,1.0,1.0,0.3640422371155408,269.33383027770753,157.21117434463298,-0.284
11.582141545082669,1.0,1.0,0.3640423670702644,268.6017081674057,157.2111260699857,-0.284
12.569166349491027,1.0,1.0,0.36404249046269505,267.89876323904514,157.21108010606872,-0.284
13.640304956232512,1.0,1.0,0.36404260620798934,267.2291986201499,157.21103684284353,-0.284
14.80272550506545,1.0,1.0,0.3640427132549707,266.5971505401447,157.21099665981748,-0.284
16.064207001339426,1.0,1.0,0.3640428106414733,266.0065656124325,157.21095990719564,-0.284
17.43319137368153,1.0,1.0,0.36404289756437347,265.4610423788216,157.21092688197032,-0.284
18.918839968014844,1.0,1.0,0.36404297345970343,264.96364145809946,157.21089780044434,-0.284
20.531094855971272,1.0,1.0,0.36404303808237054,264.5166763273641,157.21087277065897,-0.284
22.280745367979403,1.0,1.0,0.3640430915691237,264.12150561741277,157.21085177017954,-0.284
24.179500296271495,1.0,1.0,0.3640431344655999,263.77835598990106,157.2108346356542,-0.284
26.240066250997867,1.0,1.0,0.36404316770200057,263.48620896469095,157.21082106936248,-0.284
28.476232693813404,1.0,1.0,0.3640431925134123,263.2427817762129,157.2108106641845,-0.284
30.902964217987456,1.0,1.0,0.36404321031680875,263.04461968557916,157.21080294316957,-0.284
33.53650069258248,1.0,1.0,0.3640432225702579,262.88729747353307,157.21079740550468,-0.284
36.394465940873765,1.0,1.0,0.364043230644125,262.7657070068538,157.21079356936193,-0.284
39.495985680294396,1.0,1.0,0.3640432357274574,262.6743923086057,157.2107910042623,-0.284
42.86181551316834,1.0,1.0,0.3640432387795041,262.6078875165329,157.2107893497395,-0.284
46.5144798247553,1.0,1.0,0.3640432405231664,262.5610168989369,157.21078832103825,-0.284
50.47842251812341,1.0,1.0,0.36404324146880757,262.5291271239302,157.21078770499972,-0.284
54.780170594578784,1.0,1.0,0.3640432419544015,262.50823630133664,157.21078734999372,-0.284
59.44851167434448,1.0,1.0,0.36404324218987694,262.49509837870477,157.2107871533428,-0.284
64.51468664547063,1.0,1.0,0.3640432422974135,262.4871929606996,157.210787048786,-0.284
70.01259873019619,1.0,1.0,0.3640432423435314,262.4826583272624,157.21078699553775,-0.284
75.97904036785103,1.0,1.0,0.36404324236204505,262.4801889074452,157.21078696963826,-0.284
82.45393943261438,1.0,1.0,0.36404324236897284,262.4789179793723,157.210786957655,-0.284
89.48062643383894,1.0,1.0,0.364043242371374,262.47830282726324,157.21078695240698,-0.284
97.1061244870633,1.0,1.0,0.364043242372136,262.47802429822406,157.21078695024482,-0.284
105.38146399622259,1.0,1.0,0.364043242372353,262.4779069957328,157.21078694941266,-0.284
114.36202415293195,1.0,1.0,0.3640432423724063,262.4778613242996,157.21078694911537,-0.284
124.10790353818399,1.0,1.0,0.3640432423724163,262.47784499168915,157.2107869490179,-0.284
134.68432230655196,1.0,1.0,0.3640432423724172,262.47783966424737,157.21078694898847,-0.284
146.16205864434843,1.0,1.0,0.3640432423724169,262.4778380910022,157.21078694898054,-0.284
158.61792242254668,1.0,1.0,0.36404324237241664,262.47783767374125,157.21078694897858,-0.284
172.13526921418944,1.0,1.0,0.36404324237241653,262.4778375752045,157.21078694897815,-0.284
186.80455811612384,1.0,1.0,0.36404324237241664,262.4778375546786,157.21078694897807,-0.284
202.723957108052,1.0,1.0,0.36404324237241664,262.47783755094514,157.21078694897807,-0.284
220.0,1.0,1.0,0.36404324237241653,262.4778375503588,157.21078694897804,-0.284
110.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
