Impl_Time,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.0,1.0,1.0,0.3634984241525439,263.4152232050504,157.39469385584826,-0.284
2.0,1.0,1.0,0.3636891790350285,262.84441468854055,157.3308309872548,-0.284
3.0,1.0,1.0,0.36404324237239044,262.4778775575011,157.21078694921812,-0.284
4.0,1.0,1.0,0.3646516057380664,262.65014466079197,157.0045313098768,-0.284
5.0,1.0,1.0,0.36529393892573775,262.80552569179775,156.78979081523417,-0.284
