Goal_l,IF_sens_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.0,4.0,0.9703648853494046,0.5772345462625026,0.4959621588789778,284.84000778721696,150.51388804555108,-1.0
1.0,4.0,0.9708755721250899,0.583101570623569,0.4698065468413044,284.805784395754,152.9346837941861,-0.99
1.0,4.0,0.9713869727249004,0.5889685949846356,0.45284436276101975,284.8022130247915,153.11926895531246,-0.98
1.0,4.0,0.9719103929341364,0.5948356193457021,0.44024342860707094,284.82305000134374,153.29433936325353,-0.97
1.0,4.0,0.9724227400486334,0.6007026437067687,0.4304435748695556,284.8626121869238,153.48001440922795,-0.96
1.0,4.0,0.972935716795629,0.6065696680678352,0.42259505800397346,284.91591278476864,153.666328422161,-0.95
1.0,4.0,0.9734492944483705,0.6124366924289016,0.41615087571085696,284.97871545522355,153.85328721799993,-0.94
1.0,4.0,0.9739634412426115,0.6183037167899682,0.4107516357867946,285.0475252964646,154.04089756541055,-0.93
1.0,4.0,0.9745041231837326,0.6241707411510347,0.4061646295744903,285.11953706952454,154.22920400435888,-0.92
1.0,4.0,0.9749227257036287,0.6300377655121011,0.40226411372394094,284.7078836697021,154.40208381757395,-0.91
1.0,4.0,0.9752863145366504,0.6359047898731677,0.39882660518306245,283.69553748264553,154.57940760667572,-0.9
1.0,4.0,0.9756505544124767,0.6417718142342341,0.39574599047500797,282.6881197873437,154.75712548939666,-0.89
1.0,4.0,0.9760154646832138,0.6476388385953008,0.3929627810424625,281.6859489230688,154.935229774027,-0.88
1.0,4.0,0.9763810662080926,0.653505862956367,0.3904301767707188,280.6893691138085,155.1137134311458,-0.87
1.0,4.0,0.9767822132812566,0.6593728873174337,0.38814553791275835,279.66681690119975,155.2891429073058,-0.86
1.0,4.0,0.9771517391885683,0.6652399116785,0.38605155777803574,278.5275386338845,155.4712441764173,-0.85
1.0,4.0,0.977521841323378,0.6711069360395667,0.3841142401688871,277.3947544942904,155.6534981725376,-0.84
1.0,4.0,0.9778925592874154,0.6769739604006332,0.38231318440646095,276.26970634669703,155.83591107061724,-0.83
1.0,4.0,0.9782639363897618,0.6828409847616999,0.3806315701937135,275.15397608155746,156.0184921168375,-0.82
1.0,4.0,0.9786751012179381,0.6887080091227661,0.3790597074518029,274.04969806520586,156.20151214750055,-0.81
1.0,4.0,0.9790557823323812,0.6945750334838326,0.3775787938379585,272.96007386960315,156.3845771644092,-0.8
1.0,4.0,0.9794298283293847,0.7004420578448993,0.3761838855146122,271.89044231323805,156.56777969963818,-0.79
1.0,4.0,0.9798047770319716,0.7063090822059658,0.37487219912206954,270.8515564762093,156.7512753486204,-0.78
1.0,4.0,0.9801768805732306,0.7121761065670322,0.37365744392575984,269.8291139227828,156.93474005450173,-0.77
1.0,4.0,0.9805493696252298,0.7180431309280988,0.3725275109360971,268.8555990617787,157.11845603012162,-0.76
1.0,4.0,0.9809602094967337,0.7239101552891652,0.37147869149719775,267.94089052079687,157.29988696721347,-0.75
1.0,4.0,0.9809266519292926,0.7297771796502318,0.3710380253165506,267.05825246892766,157.30542110850578,-0.74
1.0,4.0,0.9809060502347381,0.7356442040112982,0.37063443263142837,266.1639147020782,157.3010085488308,-0.73
1.0,4.0,0.9809600140068335,0.7415112283723648,0.37023487389442344,265.2401294433638,157.29860782487407,-0.72
1.0,4.0,0.9810305433855798,0.7473782527334314,0.369866495159666,264.29821244842947,157.29350738297052,-0.71
1.0,4.0,0.9811032004432445,0.7532452770944978,0.3695177175565861,263.35076969716346,157.28877502729344,-0.7
1.0,4.0,0.9812730931771396,0.7591123014555643,0.36907129995373156,262.4055267426969,157.32172934215274,-0.69
1.0,4.0,0.981496103684965,0.7649793258166306,0.36859162193945094,261.4659545540692,157.37487509483523,-0.68
1.0,4.0,0.9817211073520218,0.7708463501776973,0.3681335203720641,260.5324585029518,157.4288846187974,-0.67
1.0,4.0,0.9819500302110438,0.7767133745387637,0.367693082464243,259.6013784466538,157.48395274532703,-0.66
1.0,4.0,0.9821768611555771,0.7825803988998303,0.36726995851457583,258.6663623990432,157.53811622286813,-0.65
1.0,4.0,0.982409280770867,0.7884474232608967,0.3668604531432081,257.7128198088975,157.59421535202614,-0.64
1.0,4.0,0.9826393385128473,0.7943144476219633,0.3664851893607272,256.71559640072866,157.64898083919235,-0.63
1.0,4.0,0.9828739526553324,0.8001814719830298,0.36611932130642355,255.6458364028713,157.70560303985798,-0.62
1.0,4.0,0.9831085899106577,0.8060484963440964,0.36573409631682297,254.32090834919364,157.76157024275716,-0.61
1.0,4.0,0.9833456571247187,0.8119155207051626,0.3653049229439071,252.24810774533967,157.81843555128248,-0.6
1.0,4.0,0.98361853240352,0.8177825450662295,0.36495978205119023,251.03255075161917,157.87602358539448,-0.59
1.0,4.0,0.9838950412045957,0.8236495694272958,0.36463854512431454,250.00078717820685,157.93347636255027,-0.58
1.0,4.0,0.9841738725356936,0.8295165937883626,0.3643208051685698,248.93389745224619,157.99144647914028,-0.57
1.0,4.0,0.9844556161247116,0.8353836181494289,0.36401150232082696,247.8113654002345,158.05014791304916,-0.56
1.0,4.0,0.9847397715447697,0.8412506425104955,0.363709564302136,246.64488284060516,158.10947451516293,-0.55
1.0,4.0,0.9850254436139426,0.8471176668715619,0.36341899709985864,245.49625513497898,158.16905366263822,-0.54
1.0,4.0,0.9853138796173145,0.8529846912326281,0.36313520394279575,244.54571956443547,158.22975149571363,-0.53
1.0,4.0,0.9856032540263678,0.8588517155936949,0.3628598447861196,244.12253542474406,158.29238651230105,-0.52
1.0,4.0,0.9858903505190766,0.8646221983033917,0.3625917603509392,244.44080317776104,158.35955023570352,-0.51
1.0,4.0,0.9862326138419726,0.8703855473821991,0.3623178593206482,245.22876498717977,158.44056301413514,-0.5
1.0,4.0,0.986323539788198,0.8761462877975221,0.36220582748040825,246.04209394070745,158.43888531779777,-0.49
1.0,4.0,0.9864177406818928,0.8819044649279579,0.3621145449291041,246.70278330344726,158.4373959331907,-0.48
1.0,4.0,0.9865152752080818,0.8876601254236746,0.3620325794955859,247.14172171280126,158.43603005664806,-0.47
1.0,4.0,0.9866166153146457,0.8934133172222856,0.3619294599131629,247.43155441828202,158.43483728590957,-0.46
1.0,4.0,0.9867209402097015,0.8991640895625072,0.3618402017978341,247.66626954551964,158.43381991957943,-0.45
1.0,4.0,0.9868290949977754,0.9049125286638885,0.3617368124382983,247.86123758634062,158.4329749296356,-0.44
1.0,4.0,0.9869759036147382,0.9106586877168783,0.36162159374997865,248.0343399054601,158.43853557229488,-0.43
