MagCAPShock,IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,4.0,50.51438208792977,0.9904780801554857,0.8322193363904891,154.59227263538568,250.84286588895216,-1.0
-0.99,4.0,50.53182400152053,0.9908200784611869,0.8380061695711624,154.67580902561104,250.6281881433989,-0.99
-0.98,4.0,50.549258228019355,0.9911619260395952,0.8437930027518356,154.76494336501793,250.43582785828684,-0.98
-0.97,4.0,50.566685121221056,0.9915036298278639,0.8495798359325089,154.8544654966071,250.25667055098222,-0.97
-0.96,4.0,50.584105113284174,0.9918451982996896,0.8553666691131823,154.9443928068551,250.11839507082945,-0.96
-0.95,4.0,50.60151872109297,0.9921866415900583,0.8611535022938555,155.0347448252361,250.02147333409002,-0.95
-0.94,4.0,50.618926551317,0.992527971594451,0.8669403354745288,155.11970120923834,249.96577715993172,-0.94
-0.93,4.0,50.63632930356448,0.9928692020306761,0.8727271686552021,155.2109623000031,249.95043725784672,-0.93
-0.92,4.0,50.65372777094184,0.99321034844984,0.8785140018358751,155.30272291430347,249.97408363061817,-0.92
-0.91,4.0,50.67112283726794,0.9935514281817243,0.8843008350165485,155.39502114422498,250.03529933646158,-0.91
-0.9,4.0,50.688515470159444,0.9938924601992047,0.8900876681972218,155.4878862998104,250.1305167086228,-0.9
-0.89,4.0,50.70588504406676,0.9942330400797404,0.895874501377895,155.58013022925888,250.1429886198289,-0.89
-0.88,4.0,50.72309176049926,0.994570426676456,0.9016613345585685,155.658319252342,249.41906542370538,-0.88
-0.87,4.0,50.74028611190858,0.9949075708217369,0.9074481677392415,155.74312839315945,248.69031755011903,-0.87
-0.86,4.0,50.75746805546188,0.995244471675723,0.9132350009199148,155.82809069035181,247.95636489064808,-0.86
-0.85,4.0,50.774637551260064,0.9955811284560797,0.919021834100588,155.91320364625363,247.21685973876095,-0.85
-0.84,4.0,50.791794562491546,0.9959175404410107,0.9248086672812615,155.99846488260818,246.4715475111988,-0.84
-0.83,4.0,50.808939055256786,0.9962537069658194,0.9305955004619346,156.07669526222136,245.69002629994412,-0.83
-0.82,4.0,50.826070998104925,0.9965896274138221,0.936382333642608,156.1622344176421,244.92360135136914,-0.82
-0.81,4.0,50.843190361314605,0.9969253012022472,0.9421691668232811,156.2479154937806,244.1483001532076,-0.81
-0.8,4.0,50.860297115946196,0.9972607277636509,0.9479560000039545,156.3337365261827,243.36443110952143,-0.8
-0.79,4.0,50.87739123269401,0.9975959065234119,0.953742833184628,156.41969562605516,242.53853972716155,-0.79
-0.78,4.0,50.89447268057757,0.99793083687407,0.9595296663653011,156.50579096792055,241.58965424307493,-0.78
-0.77,4.0,50.91154142552819,0.9982655181476116,0.9653164995459741,156.58420097295974,240.64910567875827,-0.77
-0.76,4.0,50.92859742895055,0.9985999495872657,0.9711033327266476,156.67054839290057,239.80602132479433,-0.76
-0.75,4.0,50.94564064636193,0.9989341303208221,0.9768901659073207,156.75702699610818,238.95554607431268,-0.75
-0.74,4.0,50.96267102622807,0.9992680593378054,0.9826769990879943,156.84363510281491,237.90809598954698,-0.74
-0.73,4.0,50.97968850911803,0.9996017354729025,0.9884638322686674,156.93037105824936,236.64715488776014,-0.73
-0.72,4.0,50.99425066544934,0.9998872679499872,0.9942506654493406,157.0172332352706,235.27737907593644,-0.72
-0.71,4.0,51.0,1.0,1.0,157.09586182760216,233.79403793533683,-0.71
-0.7,4.0,51.0,1.0,1.0,157.18295159636335,232.71915929957962,-0.7
-0.69,4.0,51.0,1.0,1.0,157.27016331531763,231.1435960885132,-0.69
-0.68,4.0,51.0,1.0,1.0,157.35749561252698,228.4401638996282,-0.68
-0.67,4.0,51.0,1.0,1.0,157.44494721704265,223.78633356229332,-0.67
-0.66,4.0,51.0,1.0,1.0,157.53251697875245,220.5544962408829,-0.66
-0.65,4.0,51.0,1.0,1.0,157.62015651454823,223.95059062656685,-0.65
-0.64,4.0,51.0,1.0,1.0,157.69935071281304,224.36003339268908,-0.64
-0.63,4.0,51.0,1.0,1.0,157.7872440385966,224.62165453169783,-0.63
-0.62,4.0,51.0,1.0,1.0,157.87525365370402,224.78744673571254,-0.62
-0.61,4.0,51.0,1.0,1.0,157.96337938653252,224.90845850379904,-0.61
-0.6,4.0,51.0,1.0,1.0,158.05162132460396,225.01145827898733,-0.6
-0.59,4.0,51.0,1.0,1.0,158.13997984572518,225.10646735122495,-0.59
-0.58,4.0,51.0,1.0,1.0,158.2283907481389,225.1977800303316,-0.58
-0.57,4.0,51.0,1.0,1.0,158.30874101671975,225.27874065041502,-0.57
-0.56,4.0,51.0,1.0,1.0,158.39742524576707,225.36776969092577,-0.56
-0.55,4.0,51.0,1.0,1.0,158.4862321355659,225.45637046098702,-0.55
-0.54,4.0,51.0,1.0,1.0,158.57516340635038,225.54499119783878,-0.54
-0.53,4.0,51.0,1.0,1.0,158.66422108745024,225.63392183466027,-0.53
-0.52,4.0,51.0,1.0,1.0,158.7534075178709,225.7233492102282,-0.52
-0.51,4.0,51.0,1.0,1.0,158.8427253462777,225.81339669200773,-0.51
-0.5,4.0,51.0,1.0,1.0,158.92584912728032,225.89740319725752,-0.5
-0.49,4.0,51.0,1.0,1.0,159.01535258623775,225.9888748576177,-0.49
-0.48,4.0,51.0,1.0,1.0,159.10497739522955,226.08112423880232,-0.48
-0.47,4.0,51.0,1.0,1.0,159.1947215502254,226.17416516113877,-0.47
-0.46,4.0,51.0,1.0,1.0,159.2845826308438,226.26801339963654,-0.46
-0.45,4.0,51.0,1.0,1.0,159.37455797209694,226.36267921706468,-0.45
-0.44,4.0,51.0,1.0,1.0,159.46464501578757,226.4581677563905,-0.44
-0.43,4.0,51.0,1.0,1.0,159.55480738003456,226.55444272218813,-0.43
-0.42,4.0,51.0,1.0,1.0,159.64231811914158,226.64852286361878,-0.42
-0.41,4.0,51.0,1.0,1.0,159.73139096249693,226.74501140984535,-0.41
-0.4,4.0,51.0,1.0,1.0,159.82041255844166,226.84213452528292,-0.4
-0.39,4.0,51.0,1.0,1.0,159.9094022854772,226.9398986671565,-0.39
-0.38,4.0,51.0,1.0,1.0,159.99840987424582,227.0383499058511,-0.38
-0.37,4.0,51.0,1.0,1.0,160.087543115373,227.137601231299,-0.37
-0.36,4.0,51.0,1.0,1.0,160.17704577106227,227.23795465093073,-0.36
-0.35,4.0,51.0,1.0,1.0,160.2677025493187,227.34031524595002,-0.35
-0.34,4.0,51.0,1.0,1.0,160.34652553620447,227.42963073768442,-0.34
-0.33,4.0,51.0,1.0,1.0,160.41813284251847,227.51089665723916,-0.33
-0.32,4.0,51.0,1.0,1.0,160.5033229313299,227.60809562021404,-0.32
-0.31,4.0,51.0,1.0,1.0,160.58938618120928,227.70639607578252,-0.31
-0.3,4.0,51.0,1.0,1.0,160.63380577078317,227.98988744372238,-0.3
-0.29,4.0,51.0,1.0,1.0,160.6338057707831,228.46708135503295,-0.29
-0.28,4.0,51.0,1.0,1.0,160.63380577078317,228.95113423651387,-0.28
-0.27,4.0,51.0,1.0,1.0,160.63380577078314,229.44147687088008,-0.27
-0.26,4.0,51.0,1.0,1.0,160.6338057707832,229.93756594687818,-0.26
-0.25,4.0,51.0,1.0,1.0,160.63380577078317,230.4388925487276,-0.25
-0.24,4.0,51.0,1.0,1.0,160.6338057707832,230.90938198875668,-0.24
-0.23,4.0,51.0,1.0,1.0,160.63380577078314,231.31944500014703,-0.23
-0.22,4.0,51.0,1.0,1.0,160.6338057707832,231.83276193081002,-0.22
-0.21,4.0,51.0,1.0,1.0,160.6338057707832,232.34970757156094,-0.21
-0.2,4.0,51.0,1.0,1.0,160.63380577078317,232.86992745680055,-0.2
-0.19,4.0,51.0,1.0,1.0,160.63380577078323,233.39309727378026,-0.19
-0.18,4.0,51.0,1.0,1.0,160.63380577078317,233.91892132741404,-0.18
-0.17,4.0,51.0,1.0,1.0,160.63380577078317,234.4471308450671,-0.17
-0.16,4.0,51.0,1.0,1.0,160.6338057707832,234.97748219701325,-0.16
-0.15,4.0,51.0,1.0,1.0,160.6338057707832,235.62860881681556,-0.15
-0.14,4.0,51.0,1.0,1.0,160.63380577078308,236.30862213266224,-0.14
-0.13,4.0,51.0,1.0,1.0,160.63380577078314,236.93671161863878,-0.13
-0.12,4.0,51.0,1.0,1.0,160.63380577078325,237.67226040035774,-0.12
-0.11,4.0,51.0,1.0,1.0,160.6338057707832,238.40987644733715,-0.11
-0.1,4.0,51.0,1.0,1.0,160.6338057707831,239.1492706053914,-0.1
-0.09,4.0,51.0,1.0,1.0,160.6338057707831,239.89019469460482,-0.09
-0.08,4.0,51.0,1.0,1.0,160.63380577078317,240.63243613575807,-0.08
-0.07,4.0,51.0,1.0,1.0,160.63380577078323,241.37581312032424,-0.07
-0.06,4.0,51.0,1.0,1.0,160.63380577078317,242.12017034789665,-0.06
-0.05,4.0,51.0,1.0,1.0,160.63380577078314,242.17457132879045,-0.05
-0.04,4.0,51.0,1.0,1.0,160.6338057707831,242.1745713287904,-0.04
-0.03,4.0,51.0,1.0,1.0,160.6338057707832,242.17457132879056,-0.03
-0.02,4.0,51.0,1.0,1.0,160.6338057707832,242.17457132879045,-0.02
-0.01,4.0,51.0,1.0,1.0,160.6338057707832,242.17457132879045,-0.01
0.0,4.0,51.0,1.0,1.0,160.63380577078317,242.17457132879048,0.0
-1.0,4.340878170264604,50.51438061315818,0.9904780512383957,0.8322193363904891,154.5921926694543,255.3973746443765,-1.0
-0.99,4.340878170264604,50.53182250302426,0.9908200490789071,0.8380061695711624,154.67572774242637,255.16234273533945,-0.99
-0.98,4.340878170264604,50.549256702660436,0.9911618961305968,0.8437930027518356,154.76486065871174,254.96901419888368,-0.98
-0.97,4.340878170264604,50.56668356517564,0.9915035993171694,0.8495798359325089,154.85438125003768,254.81876173537137,-0.97
-0.96,4.340878170264604,50.584103521988816,0.9918451670978199,0.8553666691131823,154.9443068901967,254.71228470865336,-0.96
-0.95,4.340878170264604,50.60151708920362,0.9921866095922278,0.8611535022938555,155.03465709399927,254.64957694745084,-0.95
-0.94,4.340878170264604,50.61892487268584,0.9925279386801145,0.8669403354745288,155.1196115261349,254.62991960316023,-0.94
-0.93,4.340878170264604,50.63632757124069,0.992869168063543,0.8727271686552021,155.21087046314472,254.6518424322049,-0.93
-0.92,4.340878170264604,50.65372597720257,0.9932103132784817,0.8785140018358751,155.3026287180931,254.7132451227334,-0.92
-0.91,4.340878170264604,50.67112097368523,0.9935513916408868,0.8843008350165485,155.39492434981506,254.81193028993738,-0.91
-0.9,4.340878170264604,50.68851352770855,0.9938924221119324,0.8900876681972218,155.48778661539828,254.9436257931571,-0.9
-0.89,4.340878170264604,50.70588504406676,0.9942330400797404,0.895874501377895,155.58013022925888,254.99053808923634,-0.89
-0.88,4.340878170264604,50.72309176049926,0.994570426676456,0.9016613345585685,155.658319252342,254.22224070238508,-0.88
-0.87,4.340878170264604,50.74028611190858,0.9949075708217369,0.9074481677392415,155.74312839315945,253.44856200195932,-0.87
-0.86,4.340878170264604,50.75746805546188,0.995244471675723,0.9132350009199148,155.82809069035181,252.66916602917777,-0.86
-0.85,4.340878170264604,50.774637551260064,0.9955811284560797,0.919021834100588,155.91320364625363,251.88376296355307,-0.85
-0.84,4.340878170264604,50.791794562491546,0.9959175404410107,0.9248086672812615,155.99846488260818,251.0921452537797,-0.84
-0.83,4.340878170264604,50.808939055256786,0.9962537069658194,0.9305955004619346,156.07669526222136,250.29428689775267,-0.83
-0.82,4.340878170264604,50.826070998104925,0.9965896274138221,0.936382333642608,156.1622344176421,249.490067521715,-0.82
-0.81,4.340878170264604,50.843190361314605,0.9969253012022472,0.9421691668232811,156.2479154937806,248.67974225657588,-0.81
-0.8,4.340878170264604,50.860297115946196,0.9972607277636509,0.9479560000039545,156.3337365261827,247.86206333185635,-0.8
-0.79,4.340878170264604,50.87739123269401,0.9975959065234119,0.953742833184628,156.41969562605516,247.03899925607823,-0.79
-0.78,4.340878170264604,50.89447268057757,0.99793083687407,0.9595296663653011,156.50579096792055,246.19220556131657,-0.78
-0.77,4.340878170264604,50.91154142552819,0.9982655181476116,0.9653164995459741,156.58420097295974,245.30404358407682,-0.77
-0.76,4.340878170264604,50.92859742895055,0.9985999495872657,0.9711033327266476,156.67054839290057,244.4546092825668,-0.76
