MagCAPShock,ProjYears,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,0.0,50.52480254064662,0.9906824027577769,0.8322193363904891,146.58632928540496,336.07851472172075,-1.0
-0.99,0.0,50.542124433314825,0.9910220477120554,0.8380061695711624,146.80368145909972,333.8767420592632,-0.99
-0.98,0.0,50.55942896439231,0.9913613522429865,0.8437930027518356,147.0211772290509,331.91088028071886,-0.98
-0.97,0.0,50.57671615329485,0.9917003167312717,0.8495798359325089,147.2388210348651,330.0707501182663,-0.97
-0.96,0.0,50.593986016595494,0.9920389415018724,0.8553666691131823,147.45661786599456,328.2877222906911,-0.96
-0.95,0.0,50.611238567739285,0.9923772268184173,0.8611535022938555,147.6745733149115,326.5238113994408,-0.95
-0.94,0.0,50.62847381673247,0.9927151728771073,0.8669403354745288,147.89269363306494,324.75384595198705,-0.94
-0.93,0.0,50.645691769804685,0.9930527798000919,0.8727271686552021,148.11098578956685,322.9510361706446,-0.93
-0.92,0.0,50.66289242904293,0.9933900476282926,0.8785140018358751,148.329457532489,321.0733993556972,-0.92
-0.91,0.0,50.68007579199656,0.993726976313658,0.8843008350165485,148.5481174525517,319.0502565807396,-0.91
-0.9,0.0,50.697241851252485,0.9940635657108331,0.8900876681972218,148.7669750488783,316.7818181673596,-0.9
-0.89,0.0,50.71439059398038,0.9943998155682428,0.895874501377895,148.98604079634302,314.1918237122536,-0.89
-0.88,0.0,50.731522001448525,0.9947357255185986,0.9016613345585685,149.20532621387522,311.3521936569384,-0.88
-0.87,0.0,50.748636048511145,0.995071295068846,0.9074481677392415,149.4248439328752,308.52732340006816,-0.87
-0.86,0.0,50.76573270306983,0.9954065235896045,0.9132350009199148,149.64460776465148,305.9711893389635,-0.86
-0.85,0.0,50.78281192551196,0.9957414103041561,0.919021834100588,149.86463276549708,303.7383835252078,-0.85
-0.84,0.0,50.799873668131525,0.9960759542770887,0.9248086672812615,150.08493529767242,301.7441893487593,-0.84
-0.83,0.0,50.81691787453914,0.9964101544027283,0.9305955004619346,150.305533084152,299.8881361266062,-0.83
-0.82,0.0,50.83394447907058,0.9967440093935408,0.936382333642608,150.52644525451134,298.1014558632335,-0.82
-0.81,0.0,50.85095340620612,0.9970775177687475,0.9421691668232811,150.74769237876453,296.34473221090263,-0.81
-0.8,0.0,50.867944570016846,0.9974106778434676,0.9479560000039545,150.96929648531528,294.5952713130247,-0.8
-0.79,0.0,50.88491787365788,0.9977434877187821,0.953742833184628,151.191281058432,292.8367993916324,-0.79
-0.78,0.0,50.90187320893443,0.9980759452732242,0.9595296663653011,151.4136710097997,291.05185122487774,-0.78
-0.77,0.0,50.918810455972235,0.9984080481563183,0.9653164995459741,151.6364926177361,289.2147553363577,-0.77
-0.76,0.0,50.93572948303205,0.9987397937849422,0.9711033327266476,151.85977342657011,287.28361919913846,-0.76
-0.75,0.0,50.952630146516015,0.9990711793434512,0.9768901659073207,152.0835420974749,285.19214514102373,-0.75
-0.74,0.0,50.9695122912249,0.9994022017887235,0.9826769990879943,152.30782820073702,282.8489296999925,-0.74
-0.73,0.0,50.98394048727445,0.9996851075936167,0.9884638322686674,152.53266193802256,280.16471454363233,-0.73
-0.72,0.0,50.99425066544934,0.9998872679499872,0.9942506654493406,152.75807378171203,277.13220021086516,-0.72
-0.71,0.0,51.0,1.0,1.0,152.9840940168463,273.93754272240955,-0.71
-0.7,0.0,51.0,1.0,1.0,153.21075216970522,270.94984505241007,-0.7
-0.69,0.0,51.0,1.0,1.0,153.43807630561614,268.30533773759294,-0.69
-0.68,0.0,51.0,1.0,1.0,153.66609217734066,265.78846534208935,-0.68
-0.67,0.0,51.0,1.0,1.0,153.8948222044551,263.4325255399747,-0.67
-0.66,0.0,51.0,1.0,1.0,154.12428426367123,261.18464403383473,-0.66
-0.65,0.0,51.0,1.0,1.0,154.3544902702171,258.9684657823926,-0.65
-0.64,0.0,51.0,1.0,1.0,154.58544453143978,256.7536319147895,-0.64
-0.63,0.0,51.0,1.0,1.0,154.81714185591758,254.51917701189848,-0.63
-0.62,0.0,51.0,1.0,1.0,155.04956540483275,252.31230511006348,-0.62
-0.61,0.0,51.0,1.0,1.0,155.28268427737456,250.39291199698698,-0.61
-0.6,0.0,51.0,1.0,1.0,155.51645082872727,249.25245360208,-0.6
-0.59,0.0,51.0,1.0,1.0,155.7507977278507,249.12950817915996,-0.59
-0.58,0.0,51.0,1.0,1.0,155.9856347728302,249.59617514816267,-0.58
-0.57,0.0,51.0,1.0,1.0,156.22084549391337,250.1388140147412,-0.57
-0.56,0.0,51.0,1.0,1.0,156.45628358820346,250.54861740120043,-0.56
-0.55,0.0,51.0,1.0,1.0,156.69176924487104,250.81481108147096,-0.55
-0.54,0.0,51.0,1.0,1.0,156.9270854350947,250.97831930669372,-0.54
-0.53,0.0,51.0,1.0,1.0,157.16197425608135,251.0773526796215,-0.53
-0.52,0.0,51.0,1.0,1.0,157.39613343283284,251.13778854026702,-0.52
-0.51,0.0,51.0,1.0,1.0,157.6292130944364,251.17539937194422,-0.51
-0.5,0.0,51.0,1.0,1.0,157.86081295357894,251.199412468869,-0.5
-0.49,0.0,51.0,1.0,1.0,158.0904800292837,251.21516364935331,-0.49
-0.48,0.0,51.0,1.0,1.0,158.3177070647632,251.22575853545425,-0.48
-0.47,0.0,51.0,1.0,1.0,158.5419318065108,251.23303991725865,-0.47
-0.46,0.0,51.0,1.0,1.0,158.762537329427,251.23813185307324,-0.46
-0.45,0.0,51.0,1.0,1.0,158.978853618085,251.24174173556534,-0.45
-0.44,0.0,51.0,1.0,1.0,159.190160648646,251.24432779269844,-0.44
-0.43,0.0,51.0,1.0,1.0,159.39569326361084,251.24619233045053,-0.43
-0.42,0.0,51.0,1.0,1.0,159.58174989737518,251.24752273545275,-0.42
-0.41,0.0,51.0,1.0,1.0,159.72505352261842,251.24786851645632,-0.41
-0.4,0.0,51.0,1.0,1.0,159.82481189224308,251.24786666156058,-0.4
-0.39,0.0,51.0,1.0,1.0,159.91334824995383,251.24786492211348,-0.39
-0.38,0.0,51.0,1.0,1.0,160.0006987848529,251.24786331165362,-0.38
-0.37,0.0,51.0,1.0,1.0,160.09176099475945,251.24786184147857,-0.37
-0.36,0.0,51.0,1.0,1.0,160.18559226842964,251.2478610776293,-0.36
-0.35,0.0,51.0,1.0,1.0,160.27285110439877,251.24786106472447,-0.35
-0.34,0.0,51.0,1.0,1.0,160.34435096134544,251.2478610394273,-0.34
-0.33,0.0,51.0,1.0,1.0,160.41409764611615,251.24786103531838,-0.33
-0.32,0.0,51.0,1.0,1.0,160.50005890207885,251.24786103021296,-0.32
-0.31,0.0,51.0,1.0,1.0,160.58328051214778,251.24786102476637,-0.31
-0.3,0.0,51.0,1.0,1.0,160.63380577078317,251.24786101895552,-0.3
-0.29,0.0,51.0,1.0,1.0,160.6338057707831,251.2478610127552,-0.29
-0.28,0.0,51.0,1.0,1.0,160.63380577078317,251.24786086428196,-0.28
-0.27,0.0,51.0,1.0,1.0,160.63380577078314,251.24785951600674,-0.27
-0.26,0.0,51.0,1.0,1.0,160.6338057707832,251.24785749768878,-0.26
-0.25,0.0,51.0,1.0,1.0,160.63380577078317,251.2478544890411,-0.25
-0.24,0.0,51.0,1.0,1.0,160.6338057707832,251.24785039603887,-0.24
-0.23,0.0,51.0,1.0,1.0,160.63380577078314,251.24784977547665,-0.23
-0.22,0.0,51.0,1.0,1.0,160.6338057707832,251.24784896008907,-0.22
-0.21,0.0,51.0,1.0,1.0,160.6338057707832,251.24784809256073,-0.21
-0.2,0.0,51.0,1.0,1.0,160.63380577078317,251.2478361618479,-0.2
