MagCAPShock,Choice_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.12,0.01,13.598931288826568,0.266645711545619,0.024225688115383073,275.3241132645785,364.6676110869295,-0.12
-0.11,0.01,13.598686247593651,0.2666409068155618,0.024217501493767887,275.33068019564155,364.66774902839796,-0.11
-0.1,0.01,13.598671168935548,0.26664061115559895,0.024217501493767796,275.3314916661041,364.66775293101773,-0.1
-0.09,0.01,13.598671168935548,0.26664061115559895,0.02421750149376767,275.3314916661043,364.6677529310175,-0.09
-0.08,0.01,13.598671168935546,0.26664061115559895,0.024217501493767817,275.33149166610445,364.66775293101773,-0.08
-0.07,0.01,13.598671168935548,0.26664061115559895,0.024217501493767748,275.3314916661042,364.6677529310175,-0.07
-0.06,0.01,13.598671168935551,0.26664061115559906,0.02421750149376782,275.3314916661041,364.6677529310179,-0.06
-0.05,0.01,13.598671168935548,0.26664061115559895,0.024217501493767703,275.33149166610417,364.6677529310179,-0.05
-0.04,0.01,13.598671168935548,0.26664061115559895,0.024217501493767776,275.33149166610417,364.6677529310175,-0.04
-0.03,0.01,13.598671168935546,0.26664061115559895,0.024217501493767696,275.33149166610417,364.6677529310175,-0.03
-0.02,0.01,13.598671168935546,0.26664061115559895,0.024217501493767585,275.33149166610445,364.6677529310179,-0.02
-0.01,0.01,13.598671168935546,0.26664061115559895,0.024217501493767692,275.3314916661042,364.6677529310175,-0.01
0.0,0.01,13.598671168935548,0.26664061115559895,0.024217501493767706,275.33149166610434,364.6677529310179,0.0
-1.0,0.02,32.00508081970091,0.6275506043078609,0.27663560507898066,172.02298491224386,477.30219525326237,-1.0
-0.99,0.02,32.00677182418044,0.62758376125844,0.2766871443340807,171.11806000419068,477.37363062852063,-0.99
-0.98,0.02,32.01048155792837,0.6276565011358505,0.2767387045827217,170.7895043139712,477.46731590314585,-0.98
-0.97,0.02,32.01718732665838,0.6277879867972231,0.27679028624999397,172.42729951554082,477.58584189980286,-0.97
-0.96,0.02,32.02821649947744,0.6280042450877928,0.27684188976858803,171.97140019642274,477.74518101863407,-0.96
-0.95,0.02,32.04447209321555,0.6283229822199128,0.2768935155788831,172.0713145373771,477.9433025999068,-0.95
-0.94,0.02,32.020420028430806,0.6278513731064864,0.27694516412901715,166.50317994795813,478.1823461375851,-0.94
-0.93,0.02,32.09006632312011,0.6292169867278453,0.2769968358749781,166.5529792932734,478.4647779206154,-0.93
-0.92,0.02,32.113275701279605,0.62967207257411,0.27704853128066975,167.0232640718765,478.7971545019692,-0.92
-0.91,0.02,32.13119124667366,0.6300233577779148,0.2771002508179917,168.43799211321968,479.17817933529045,-0.91
-0.9,0.02,32.14149577479125,0.6302254073488481,0.27715199496691156,167.79279870118563,479.60994444820085,-0.9
-0.89,0.02,32.14434351485294,0.6302812453892733,0.27720376421553033,168.40189578170813,480.09077145034996,-0.89
-0.88,0.02,32.1413263919879,0.6302220861174098,0.2772555590601619,170.06143434867636,480.6138251448298,-0.88
-0.87,0.02,32.13424950052199,0.6300833235396468,0.27730738000538807,168.9323531351729,481.16070946536547,-0.87
-0.86,0.02,32.12452283916673,0.6298926046895437,0.2773592275641271,170.39486569316418,481.68506427975484,-0.86
-0.85,0.02,32.113092781724774,0.6296684859161721,0.2774111022576905,170.74490584525623,482.06992108852126,-0.85
-0.84,0.02,32.100631676264726,0.6294241505149947,0.2774630046158429,170.589531368864,482.02235408376157,-0.84
-0.83,0.02,32.08786047149248,0.6291737347351467,0.27751493517685544,171.30155146137022,480.886842889613,-0.83
-0.82,0.02,32.0757957042707,0.6289371706719745,0.2775668944875578,170.04861448238452,478.12636023215964,-0.82
-0.81,0.02,32.03726505660097,0.6281816677764896,0.2776188831033851,169.21497394255937,477.9832014122055,-0.81
-0.8,0.02,31.953585749804645,0.626540897054993,0.27767090158842334,168.05643203613437,484.37841741318863,-0.8
-0.79,0.02,31.842482498670424,0.6243624019347142,0.2777229505154471,176.26263079999708,477.28884795346426,-0.79
-0.78,0.02,31.985639679156137,0.6271694054736497,0.2777750304659575,165.5427208412127,482.1695203436466,-0.78
-0.77,0.02,32.02435914510442,0.627928610688322,0.27782714203021924,168.50357969953757,486.66311144663285,-0.77
-0.76,0.02,32.04655893555203,0.6283639006970986,0.2778792858072857,171.24745385371705,478.1927121770429,-0.76
-0.75,0.02,32.03776832130906,0.6281915357119423,0.2779314624050194,172.26066851598904,477.3515702739472,-0.75
-0.74,0.02,32.01984995183161,0.6278401951339532,0.2779836724401265,172.75496222748347,477.2854470109586,-0.74
-0.73,0.02,31.999430745041558,0.6274398185302266,0.2780359165381574,173.12561230794026,477.32908852161125,-0.73
-0.72,0.02,31.978440589200325,0.6270282468470652,0.2780881953335292,173.4812243599316,477.4229597399741,-0.72
-0.71,0.02,31.957486312874885,0.6266173786838213,0.2781405094695249,173.84846417131294,477.55756263940884,-0.71
-0.7,0.02,31.93681914008148,0.6262121400015976,0.2781928595983052,174.23132829495242,477.72359282424196,-0.7
-0.69,0.02,31.916594716565754,0.6258155826777599,0.27824524638089826,174.6272279695492,477.90859139551065,-0.69
-0.68,0.02,31.896939152042854,0.6254301794518207,0.2782976704871997,175.03124827227444,478.0991203121383,-0.68
-0.67,0.02,31.87796390702749,0.6250581158240684,0.27835013259595415,175.4373193868026,478.28315444862875,-0.67
-0.66,0.02,31.85976773228193,0.6247013280839594,0.27840263339474325,175.8386273707045,478.4516544209,-0.66
-0.65,0.02,31.84243570473798,0.6243614844066271,0.2784551735799663,176.22786578264393,478.59911918933227,-0.65
-0.64,0.02,31.822904472285682,0.6239785190644251,0.27850775385681303,176.59747582095454,478.72329030541533,-0.64
-0.63,0.02,31.804612230210807,0.6236198476511923,0.27856037493922825,176.88123119691178,478.82436059956154,-0.63
-0.62,0.02,31.788006237014418,0.6232942399414592,0.2786130375498832,177.03640125408032,478.9040361328303,-0.62
-0.61,0.02,31.772558122974633,0.6229913357446006,0.27866574242013686,177.16782929496702,478.9639717950683,-0.61
