MagCAPShock,FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.72,0.0,50.99425066544934,0.9998872679499872,0.9942506654493406,157.01719977608641,263.5229591644263,-0.72
-0.71,0.0,51.0,1.0,1.0,157.09577981539158,260.1651748927209,-0.71
-0.7,0.0,51.0,1.0,1.0,157.18281793118064,256.6521386094285,-0.7
-0.69,0.0,51.0,1.0,1.0,157.27000575570796,253.70239104428606,-0.69
-0.68,0.0,51.0,1.0,1.0,157.35734351249053,251.82622475014122,-0.68
-0.67,0.0,51.0,1.0,1.0,157.44480910200622,250.9144357685127,-0.67
-0.66,0.0,51.0,1.0,1.0,157.5323876394251,250.55289913702293,-0.66
-0.65,0.0,51.0,1.0,1.0,157.62003426694844,250.44297789928322,-0.65
-0.64,0.0,51.0,1.0,1.0,157.69933667534684,250.45294479905422,-0.64
-0.63,0.0,51.0,1.0,1.0,157.78723477528627,250.5202239764736,-0.63
-0.62,0.0,51.0,1.0,1.0,157.87524899059247,250.61461506291792,-0.62
-0.61,0.0,51.0,1.0,1.0,157.9633788155369,250.7194476677223,-0.61
-0.6,0.0,51.0,1.0,1.0,158.0516242021337,250.82458465973377,-0.6
-0.59,0.0,51.0,1.0,1.0,158.13998551230296,250.92376418801942,-0.59
-0.58,0.0,51.0,1.0,1.0,158.2283998073247,251.0133822919022,-0.58
-0.57,0.0,51.0,1.0,1.0,158.3088384219583,251.09173823819557,-0.57
-0.56,0.0,51.0,1.0,1.0,158.3975115571826,251.1584591887811,-0.56
-0.55,0.0,51.0,1.0,1.0,158.48630819538147,251.21403988959773,-0.55
-0.54,0.0,51.0,1.0,1.0,158.5752300704683,251.25948566644118,-0.54
-0.53,0.0,51.0,1.0,1.0,158.66427920246088,251.2960505652061,-0.53
-0.52,0.0,51.0,1.0,1.0,158.7534579056446,251.32505720477045,-0.52
-0.51,0.0,51.0,1.0,1.0,158.84276879318438,251.34778175778345,-0.51
-0.5,0.0,51.0,1.0,1.0,158.92592191866405,251.36538759517757,-0.5
-0.49,0.0,51.0,1.0,1.0,159.0154121056732,251.37889327202984,-0.49
