MagCAPShock,FixedPropRates,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.56,0.0,51.0,1.0,1.0,197.53829049674775,578.0622622083574,-0.56
-0.55,0.0,51.0,1.0,1.0,197.56766167410774,573.659373420994,-0.55
-0.54,0.0,51.0,1.0,1.0,197.6101220107854,569.1708527684235,-0.54
-0.53,0.0,51.0,1.0,1.0,197.66310677648403,564.7596005508311,-0.53
-0.52,0.0,51.0,1.0,1.0,197.70784413042438,560.5556352562618,-0.52
-0.51,0.0,51.0,1.0,1.0,197.76295120984622,556.6586461053748,-0.51
-0.5,0.0,51.0,1.0,1.0,197.81754804930776,553.1420110821364,-0.5
-0.49,0.0,51.0,1.0,1.0,197.8632867201518,550.5256290855582,-0.49
-0.48,0.0,51.0,1.0,1.0,197.90641218895027,549.5104609472621,-0.48
-0.47,0.0,51.0,1.0,1.0,197.95041083089663,548.7067272637502,-0.47
-0.46,0.0,51.0,1.0,1.0,197.99493435130645,548.1112165012769,-0.46
-0.45,0.0,51.0,1.0,1.0,198.04546851164005,547.2753102219925,-0.45
-0.44,0.0,51.0,1.0,1.0,198.07534765506284,547.1008780096552,-0.44
-0.43,0.0,51.0,1.0,1.0,198.0957719069831,548.1351086989387,-0.43
-0.42,0.0,51.0,1.0,1.0,198.11898935728118,549.1665044382196,-0.42
-0.41,0.0,51.0,1.0,1.0,198.1488341945324,550.194006207057,-0.41
-0.4,0.0,51.0,1.0,1.0,198.17964134076757,551.2165597574734,-0.4
-0.39,0.0,51.0,1.0,1.0,198.20947705799153,552.2331050271348,-0.39
-0.38,0.0,51.0,1.0,1.0,198.23582447539772,553.376007033117,-0.38
-0.37,0.0,51.0,1.0,1.0,198.25563216997864,555.388400592212,-0.37
-0.36,0.0,51.0,1.0,1.0,198.28524360724882,557.374139845043,-0.36
-0.35,0.0,51.0,1.0,1.0,198.31687588393044,559.3325172460981,-0.35
-0.34,0.0,51.0,1.0,1.0,198.34878026035284,561.2628017492209,-0.34
-0.33,0.0,51.0,1.0,1.0,198.37549222708134,563.1641521390976,-0.33
-0.32,0.0,51.0,1.0,1.0,198.39915627003683,565.0355672550584,-0.32
-0.31,0.0,51.0,1.0,1.0,198.43136072627993,566.8758622602955,-0.31
-0.3,0.0,51.0,1.0,1.0,198.4652146412839,568.6836629857489,-0.3
-0.29,0.0,51.0,1.0,1.0,198.50122708922444,570.457412619793,-0.29
-0.28,0.0,51.0,1.0,1.0,198.53011125665796,572.1953867008591,-0.28
-0.27,0.0,51.0,1.0,1.0,198.56333149102957,573.8957135999852,-0.27
-0.26,0.0,51.0,1.0,1.0,198.6017273502534,575.5563985539073,-0.26
-0.25,0.0,51.0,1.0,1.0,198.6414789783289,577.1753499170387,-0.25
-0.24,0.0,51.0,1.0,1.0,198.68353073094704,578.7504067111927,-0.24
-0.23,0.0,51.0,1.0,1.0,198.7213300896515,580.2793668197572,-0.23
-0.22,0.0,51.0,1.0,1.0,198.76487761290971,581.7600153410814,-0.22
-0.21,0.0,51.0,1.0,1.0,198.81157114803105,583.1901527154469,-0.21
-0.2,0.0,51.0,1.0,1.0,198.85805748320837,584.5676222892657,-0.2
-0.19,0.0,51.0,1.0,1.0,198.90384368831377,585.8903370020367,-0.19
-0.18,0.0,51.0,1.0,1.0,198.95100468895203,587.1563048795847,-0.18
-0.17,0.0,51.0,1.0,1.0,198.9958336117642,588.3636530026245,-0.17
-0.16,0.0,51.0,1.0,1.0,199.04505051781214,589.5106495924585,-0.16
-0.15,0.0,51.0,1.0,1.0,200.8644419103867,588.1517926753642,-0.15
-0.14,0.0,51.0,1.0,1.0,203.3713818686465,515.5619476787464,-0.14
-0.13,0.0,51.0,1.0,1.0,204.91685027702218,518.0108456532255,-0.13
-0.12,0.0,51.0,1.0,1.0,205.89604594743784,530.8962076817617,-0.12
