MagCAPShock,Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.0,49.58810390248658,0.9723157627938545,0.5770257776008105,148.01196559365613,500.63936410871213,-1.0
-0.99,1.0,49.62875193632328,0.9731127830651625,0.5878013239232502,158.0303286632619,490.7267128309061,-0.99
-0.98,1.0,49.67250494518841,0.9739706851997727,0.5985768702456901,164.729863489306,478.9779502538729,-0.98
-0.97,1.0,49.716552935786126,0.974834371289924,0.6093524165681298,164.81225945791977,465.4174441771245,-0.97
-0.96,1.0,49.76027392061886,0.9756916455023306,0.6201279628905696,171.63124483264792,458.5219215794706,-0.96
-0.95,1.0,49.80425623862844,0.9765540438946753,0.6309035092130094,181.48618185296294,457.1320567814718,-0.95
-0.94,1.0,49.84819493054008,0.977415586873335,0.6416790555354492,185.10498228732072,460.0384770782827,-0.94
-0.93,1.0,49.89263169834215,0.9782868960459246,0.6524546018578891,194.50627576896937,454.63074649676685,-0.93
-0.92,1.0,49.937743882579504,0.9791714486780295,0.6632301481803288,201.6228868043787,454.5521882398325,-0.92
-0.91,1.0,49.98334457495077,0.9800655799009955,0.6740056945027683,206.60926263138913,453.1231054376107,-0.91
-0.9,1.0,50.02980551447935,0.9809765787152813,0.6847812408252083,208.5575107213189,452.8130087175831,-0.9
-0.89,1.0,50.07724691334247,0.9819068022224013,0.6955567871476477,217.37634354718023,452.2043125113448,-0.89
-0.88,1.0,50.12551891631367,0.9828533120845818,0.7063323334700877,219.29555903523584,451.91063048978936,-0.88
-0.87,1.0,50.17517643487486,0.9838269889191148,0.7171078797925272,226.47340975777044,453.14783725636124,-0.87
-0.86,1.0,50.21279010675914,0.9845645118972379,0.7278834261149674,233.8713090578055,451.43507651109076,-0.86
-0.85,1.0,50.24437060837512,0.98518373741912,0.7386589724374069,238.71297965755565,450.9953025298181,-0.85
-0.84,1.0,50.275901011235234,0.9858019806124556,0.7494345187598469,246.4369737914357,449.2305016859547,-0.84
-0.83,1.0,50.307380656633796,0.986419228561447,0.7602100650822865,249.77526148938438,446.9283212262718,-0.83
-0.82,1.0,50.337972383240036,0.9870190663380399,0.7709856114047264,260.0604434253011,444.4611406731968,-0.82
-0.81,1.0,50.36904490916962,0.9876283315523454,0.781761157727166,261.847593860952,441.9110067170526,-0.81
-0.8,1.0,50.39874602111251,0.9882107062963237,0.7925367040496057,273.6494410117043,439.4774747127101,-0.8
-0.79,1.0,50.42710048745018,0.9887666762245134,0.8033122503720457,274.9706494500305,437.6408021564284,-0.79
-0.78,1.0,50.45535585399107,0.9893207030194328,0.8140877966944855,278.88145601387015,436.69897953569586,-0.78
-0.77,1.0,50.48353288387473,0.9898731938014653,0.8248633430169251,278.19264977135225,435.2559982493847,-0.77
-0.76,1.0,50.51332023029252,0.9904572594175004,0.835638889339365,283.5105516011433,433.1769735030759,-0.76
-0.75,1.0,50.54302016619463,0.9910396111018555,0.8464144356618047,284.1523190455335,430.9332402115707,-0.75
-0.74,1.0,50.57258661620892,0.9916193454158613,0.8571899819842447,286.1269887066103,428.6342075248368,-0.74
-0.73,1.0,50.602010811625085,0.9921962904240212,0.867965528306684,290.9485142084683,426.3035414478289,-0.73
