MagCAPShock,IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.63,4.340878170264604,51.0,1.0,1.0,198.51035626350824,514.1894820208162,-0.63
-0.62,4.340878170264604,51.0,1.0,1.0,198.55924454020897,513.0994608710513,-0.62
-0.61,4.340878170264604,51.0,1.0,1.0,198.60957863585637,511.95124588560304,-0.61
-0.6,4.340878170264604,51.0,1.0,1.0,198.66158916861536,510.74944771548036,-0.6
-0.59,4.340878170264604,51.0,1.0,1.0,198.71614062909202,509.49915130010527,-0.59
-0.58,4.340878170264604,51.0,1.0,1.0,198.76316636212695,509.3574887962459,-0.58
-0.57,4.340878170264604,51.0,1.0,1.0,198.81160151979063,509.4529629783483,-0.57
-0.56,4.340878170264604,51.0,1.0,1.0,198.85970770871972,509.698234154458,-0.56
-0.55,4.340878170264604,51.0,1.0,1.0,198.90834305776875,510.0712221227243,-0.55
-0.54,4.340878170264604,51.0,1.0,1.0,198.9573736156183,510.54873844862004,-0.54
-0.53,4.340878170264604,51.0,1.0,1.0,199.00673475935002,511.10678754424464,-0.53
-0.52,4.340878170264604,51.0,1.0,1.0,199.05642305599534,511.72176333751764,-0.52
-0.51,4.340878170264604,51.0,1.0,1.0,199.10563865681306,512.0852664096756,-0.51
-0.5,4.340878170264604,51.0,1.0,1.0,199.1551303216676,511.7212746197576,-0.5
-0.49,4.340878170264604,51.0,1.0,1.0,199.20518043717473,511.3757576072072,-0.49
-0.48,4.340878170264604,51.0,1.0,1.0,199.25583440547638,511.0442711257639,-0.48
-0.47,4.340878170264604,51.0,1.0,1.0,199.30713737151592,510.72246068581086,-0.47
-0.46,4.340878170264604,51.0,1.0,1.0,199.35912390868364,510.4061119222506,-0.46
-0.45,4.340878170264604,51.0,1.0,1.0,199.41542753341173,509.8160983503941,-0.45
-0.44,4.340878170264604,51.0,1.0,1.0,199.48206429945745,507.9097109650066,-0.44
-0.43,4.340878170264604,51.0,1.0,1.0,199.5504300627435,506.0405407423679,-0.43
-0.42,4.340878170264604,51.0,1.0,1.0,199.62024955616005,504.49230201828874,-0.42
-0.41,4.340878170264604,51.0,1.0,1.0,199.6913012766895,503.3035135081373,-0.41
-0.4,4.340878170264604,51.0,1.0,1.0,199.76345843385263,502.49736405576516,-0.4
-0.39,4.340878170264604,51.0,1.0,1.0,199.836730463381,502.0841756682178,-0.39
-0.38,4.340878170264604,51.0,1.0,1.0,199.9112848839513,502.0635309296846,-0.38
-0.37,4.340878170264604,51.0,1.0,1.0,199.9874346147242,502.42555567293624,-0.37
-0.36,4.340878170264604,51.0,1.0,1.0,200.06559795168803,503.1512095675408,-0.36
-0.35,4.340878170264604,51.0,1.0,1.0,200.14625355666377,504.21177408153295,-0.35
-0.34,4.340878170264604,51.0,1.0,1.0,200.2299073727596,504.5514511239594,-0.34
-0.33,4.340878170264604,51.0,1.0,1.0,200.31707187570302,504.8956120750765,-0.33
-0.32,4.340878170264604,51.0,1.0,1.0,200.40284038443653,502.72422557392247,-0.32
-0.31,4.340878170264604,51.0,1.0,1.0,200.48865968416052,494.80214444950906,-0.31
-0.3,4.340878170264604,51.0,1.0,1.0,200.55822482813568,493.4356889606117,-0.3
-0.29,4.340878170264604,51.0,1.0,1.0,200.62679185678934,488.27022657480967,-0.29
-0.28,4.340878170264604,51.0,1.0,1.0,200.69603054251382,484.5253151427061,-0.28
-0.27,4.340878170264604,51.0,1.0,1.0,200.76505862729582,482.3223269099224,-0.27
-0.26,4.340878170264604,51.0,1.0,1.0,200.8181816513356,478.2170271434279,-0.26
-0.25,4.340878170264604,51.0,1.0,1.0,200.87274278666328,474.23230728031854,-0.25
-0.24,4.340878170264604,51.0,1.0,1.0,200.92372508948185,471.88738012939524,-0.24
-0.23,4.340878170264604,51.0,1.0,1.0,200.96323118719033,470.56570032033494,-0.23
-0.22,4.340878170264604,51.0,1.0,1.0,201.00420649178255,469.7715411027824,-0.22
-0.21,4.340878170264604,51.0,1.0,1.0,201.0460072553664,469.06080610381116,-0.21
-0.2,4.340878170264604,51.0,1.0,1.0,201.0798348671935,467.46971878833546,-0.2
-0.19,4.340878170264604,51.0,1.0,1.0,201.11345632262794,465.63113258388836,-0.19
-0.18,4.340878170264604,51.0,1.0,1.0,201.14727646086584,464.7008111580466,-0.18
