MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.74,0.025,50.59937394254986,0.9921445871088208,0.8571899819842447,289.93551814397154,503.77159733507216,-0.74
-0.73,0.025,50.63142123099646,0.9927729653136561,0.867965528306684,289.5047645171964,500.23912220555945,-0.73
-0.72,0.025,50.663437866064555,0.9934007424718541,0.878741074629124,292.8090958735303,496.68008366116504,-0.72
-0.71,0.025,50.69542296752103,0.9940279013239418,0.8895166209515638,296.5689561440961,493.0916780187909,-0.71
-0.7,0.025,50.72737575041711,0.9946544264787669,0.9002921672740035,295.6136778698864,489.4703113484399,-0.7
-0.69,0.025,50.759295637884286,0.9952803066251821,0.9110677135964433,297.4056033768059,485.8109067554764,-0.69
-0.68,0.025,50.79118244712173,0.9959055381788574,0.9218432599188828,306.3847966711046,482.1052500547214,-0.68
-0.67,0.025,50.823036749498726,0.9965301323431123,0.9326188062413228,325.64603941591116,478.33727809292236,-0.67
-0.66,0.025,50.85486073530889,0.9971541320648802,0.9433943525637623,325.94270142311507,474.4689283676482,-0.66
-0.65,0.025,50.88666069397009,0.9977776606660802,0.9541698988862024,326.2429216358501,470.3955564757779,-0.65
-0.64,0.025,50.91845473333508,0.9984010732026487,0.9649454452086419,326.5480752954202,465.74534557802497,-0.64
-0.63,0.025,50.95029598889713,0.9990254115470026,0.9757209915310822,326.862413410098,459.9532164227242,-0.63
-0.62,0.025,50.98232797309232,0.9996534896684768,0.9864965378535215,327.197264608467,454.3916434079841,-0.62
-0.61,0.025,50.99727208417596,0.9999465114544306,0.9972720841759617,327.5712952410616,454.92268629631207,-0.61
-0.6,0.025,51.0,1.0,1.0,327.99342777993803,455.3101336535247,-0.6
-0.59,0.025,51.0,1.0,1.0,328.27830881438905,447.57563436007814,-0.59
-0.58,0.025,51.0,1.0,1.0,328.5633050961855,441.996018257523,-0.58
-0.57,0.025,51.0,1.0,1.0,328.84871671429806,437.52477431317584,-0.57
-0.56,0.025,51.0,1.0,1.0,329.1352507904732,433.4302362297146,-0.56
-0.55,0.025,51.0,1.0,1.0,329.4233229771235,429.4366799558251,-0.55
-0.54,0.025,51.0,1.0,1.0,329.7127169925605,425.4533795278678,-0.54
-0.53,0.025,51.0,1.0,1.0,330.00336458208346,421.45045057965956,-0.53
-0.52,0.025,51.0,1.0,1.0,330.2952626073508,417.4147090138382,-0.52
-0.51,0.025,51.0,1.0,1.0,330.5884500676349,413.3335364127005,-0.51
-0.5,0.025,51.0,1.0,1.0,330.88299815506053,409.1924212588506,-0.5
-0.49,0.025,51.0,1.0,1.0,331.1790064659347,405.0042060747008,-0.49
-0.48,0.025,51.0,1.0,1.0,331.4766041979512,400.8478802792816,-0.48
-0.47,0.025,51.0,1.0,1.0,331.77595890436544,397.3585207394309,-0.47
-0.46,0.025,51.0,1.0,1.0,332.07729991419137,395.36143671425015,-0.46
-0.45,0.025,51.0,1.0,1.0,332.38097253013177,394.90865733432986,-0.45
-0.44,0.025,51.0,1.0,1.0,332.6875656839916,395.16405048959416,-0.44
-0.43,0.025,51.0,1.0,1.0,332.99827048317553,395.4965255481721,-0.43
-0.42,0.025,51.0,1.0,1.0,333.316386292182,395.72343172482994,-0.42
-0.41,0.025,51.0,1.0,1.0,333.4856696432248,395.7619193925087,-0.41
-0.4,0.025,51.0,1.0,1.0,333.4856696432248,395.7478979853736,-0.4
-0.39,0.025,51.0,1.0,1.0,333.4856696432249,395.733595638033,-0.39
-0.38,0.025,51.0,1.0,1.0,333.4856696432248,395.719014470057,-0.38
-0.37,0.025,51.0,1.0,1.0,333.48566964322487,395.70415721133776,-0.37
-0.36,0.025,51.0,1.0,1.0,333.48566964322487,395.68902723993045,-0.36
-0.35,0.025,51.0,1.0,1.0,333.48566964322487,395.6736286210953,-0.35
-0.34,0.025,51.0,1.0,1.0,333.4856696432248,395.6557977670095,-0.34
-0.33,0.025,51.0,1.0,1.0,333.485669643225,395.63743966469264,-0.33
-0.32,0.025,51.0,1.0,1.0,333.4856696432248,395.61853891340957,-0.32
-0.31,0.025,51.0,1.0,1.0,333.485669643225,395.59907827915924,-0.31
-0.3,0.025,51.0,1.0,1.0,333.48566964322487,395.579039959687,-0.3
-0.29,0.025,51.0,1.0,1.0,333.48566964322487,395.55840560850163,-0.29
-0.28,0.025,51.0,1.0,1.0,333.48566964322464,395.53703860764256,-0.28
-0.27,0.025,51.0,1.0,1.0,333.48566964322475,395.5148916981527,-0.27
-0.26,0.025,51.0,1.0,1.0,333.4856696432248,395.4920238387617,-0.26
-0.25,0.025,51.0,1.0,1.0,333.48566964322487,395.4684021006562,-0.25
-0.24,0.025,51.0,1.0,1.0,333.48566964322487,395.4439751878416,-0.24
-0.23,0.025,51.0,1.0,1.0,333.4856696432248,395.41857759936397,-0.23
-0.22,0.025,51.0,1.0,1.0,333.4856696432249,395.3912518359149,-0.22
-0.21,0.025,51.0,1.0,1.0,333.4856696432249,395.3594727394551,-0.21
-0.2,0.025,51.0,1.0,1.0,333.4856696432248,395.30104819144316,-0.2
-0.19,0.025,51.0,1.0,1.0,333.48566964322475,395.16923531560235,-0.19
-0.18,0.025,51.0,1.0,1.0,333.48566964322464,394.7580706244836,-0.18
-0.17,0.025,51.0,1.0,1.0,333.4856696432249,392.9727329640091,-0.17
-0.16,0.025,51.0,1.0,1.0,333.48566964322487,390.35350425592253,-0.16
