MagCAPShock,Decay_dbar,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.55,0.0,51.0,1.0,1.0,160.66409005218753,250.05879038974794,-0.55
-0.54,0.0,51.0,1.0,1.0,160.75370307401187,250.15564315248935,-0.54
-0.53,0.0,51.0,1.0,1.0,160.8434450575097,250.24190932293394,-0.53
-0.52,0.0,51.0,1.0,1.0,160.933318077329,250.31625782586613,-0.52
-0.51,0.0,51.0,1.0,1.0,161.02322230961957,250.37868454162603,-0.51
-0.5,0.0,51.0,1.0,1.0,161.10530725336417,250.42999868272648,-0.5
-0.49,0.0,51.0,1.0,1.0,161.19550196469226,250.47144061964528,-0.49
-0.48,0.0,51.0,1.0,1.0,161.28582363952887,250.50441713822025,-0.48
-0.47,0.0,51.0,1.0,1.0,161.37627015125034,250.530331092221,-0.47
-0.46,0.0,51.0,1.0,1.0,161.46683887849315,250.55048153453896,-0.46
-0.45,0.0,51.0,1.0,1.0,161.55752679103676,250.56601339010749,-0.45
-0.44,0.0,51.0,1.0,1.0,161.64833066166022,250.57789998450926,-0.44
-0.43,0.0,51.0,1.0,1.0,161.73923603531344,250.58694595691233,-0.43
-0.42,0.0,51.0,1.0,1.0,161.82630125127264,250.59380167613332,-0.42
-0.41,0.0,51.0,1.0,1.0,161.91619611952655,250.59898307347527,-0.41
-0.4,0.0,51.0,1.0,1.0,162.006035126217,250.60289307499113,-0.4
-0.39,0.0,51.0,1.0,1.0,162.09582355482462,250.60584219324494,-0.39
-0.38,0.0,51.0,1.0,1.0,162.18558673360542,250.6073651956196,-0.38
-0.37,0.0,51.0,1.0,1.0,162.27538547931596,250.60736066609655,-0.37
-0.36,0.0,51.0,1.0,1.0,162.3653515659111,250.60735638727027,-0.36
-0.35,0.0,51.0,1.0,1.0,162.45556509925953,250.60735238249333,-0.35
-0.34,0.0,51.0,1.0,1.0,162.525755226871,250.60734903532844,-0.34
-0.33,0.0,51.0,1.0,1.0,162.60998073320548,250.60734907859688,-0.33
-0.32,0.0,51.0,1.0,1.0,162.6941768349433,250.60734914655342,-0.32
-0.31,0.0,51.0,1.0,1.0,162.7794058298292,250.6073491254508,-0.31
-0.3,0.0,51.0,1.0,1.0,162.86497662582454,250.60734910188793,-0.3
-0.29,0.0,51.0,1.0,1.0,162.95105993485979,250.60734881458652,-0.29
-0.28,0.0,51.0,1.0,1.0,163.03829830109345,250.60734504771222,-0.28
-0.27,0.0,51.0,1.0,1.0,163.06184181899116,250.60733947505142,-0.27
-0.26,0.0,51.0,1.0,1.0,163.06184181899116,250.60733126301903,-0.26
-0.25,0.0,51.0,1.0,1.0,163.06184181899113,250.6073192084064,-0.25
-0.24,0.0,51.0,1.0,1.0,163.06184181899113,250.60731051616858,-0.24
-0.23,0.0,51.0,1.0,1.0,163.06184181899113,250.6073078198122,-0.23
-0.22,0.0,51.0,1.0,1.0,163.06184181899116,250.60730494860923,-0.22
-0.21,0.0,51.0,1.0,1.0,163.06184181899116,250.60728187951875,-0.21
-0.2,0.0,51.0,1.0,1.0,163.06184181899116,250.60712017390046,-0.2
-0.19,0.0,51.0,1.0,1.0,163.06184181899113,250.60689252288142,-0.19
-0.18,0.0,51.0,1.0,1.0,163.06184181899113,250.60657288532212,-0.18
-0.17,0.0,51.0,1.0,1.0,163.06184181899113,250.6061251997972,-0.17
-0.16,0.0,51.0,1.0,1.0,163.06184181899116,250.60549964036122,-0.16
-0.15,0.0,51.0,1.0,1.0,163.06184181899113,250.60439059984463,-0.15
-0.14,0.0,51.0,1.0,1.0,163.06184181899113,250.6032201957814,-0.14
-0.13,0.0,51.0,1.0,1.0,163.0618418189911,250.5989402069152,-0.13
-0.12,0.0,51.0,1.0,1.0,163.06184181899116,250.58944973527426,-0.12
-0.11,0.0,51.0,1.0,1.0,163.06184181899113,250.5749961990268,-0.11
-0.1,0.0,51.0,1.0,1.0,163.06184181899116,250.5529987373223,-0.1
-0.09,0.0,51.0,1.0,1.0,163.06184181899113,250.51943251591075,-0.09
-0.08,0.0,51.0,1.0,1.0,163.06184181899113,250.4679056672937,-0.08
-0.07,0.0,51.0,1.0,1.0,163.06184181899113,250.38793221230466,-0.07
-0.06,0.0,51.0,1.0,1.0,163.06184181899116,250.2906933611196,-0.06
-0.05,0.0,51.0,1.0,1.0,163.06184181899113,250.2906933611196,-0.05
-0.04,0.0,51.0,1.0,1.0,163.06184181899113,250.2906933611196,-0.04
-0.03,0.0,51.0,1.0,1.0,163.06184181899116,250.2906933611196,-0.03
-0.02,0.0,51.0,1.0,1.0,163.06184181899116,250.2906933611196,-0.02
-0.01,0.0,51.0,1.0,1.0,163.06184181899113,250.2906933611196,-0.01
0.0,0.0,51.0,1.0,1.0,163.06184181899116,250.2906933611196,0.0
-1.0,5.0e-5,50.51217337738415,0.9904347721055716,0.8310583983697887,156.47573548019508,284.52498779470307,-1.0
-0.99,5.0e-5,50.529448065904596,0.9907734914883254,0.8368250095045934,156.55224997942162,283.72639756723777,-0.99
-0.98,5.0e-5,50.54671061111115,0.9911119727668853,0.8425916206393983,156.63559648085607,282.9277975927327,-0.98
-0.97,5.0e-5,50.56396102037566,0.9914502160857972,0.848358231774203,156.71913366329002,282.1291483992246,-0.97
-0.96,5.0e-5,50.58119930056128,0.991788221579633,0.8541248429090079,156.80285720560926,281.330405064769,-0.96
-0.95,5.0e-5,50.59842545789808,0.9921259893705506,0.8598914540438124,156.8867630577903,280.5315155417371,-0.95
-0.94,5.0e-5,50.61563949784728,0.9924635195656331,0.8656580651786173,156.96356153674753,279.7324205248284,-0.94
-0.93,5.0e-5,50.632841424953,0.9928008122539804,0.8714246763134222,157.04780995168463,278.9330528727843,-0.93
-0.92,5.0e-5,50.65003124268071,0.9931378675035434,0.8771912874482268,157.13222647439784,278.1333185567588,-0.92
-0.91,5.0e-5,50.66720895324133,0.9934746853576731,0.8829578985830314,157.21680608681274,277.3330987737287,-0.91
-0.9,5.0e-5,50.68437455740001,0.9938112658313728,0.8887245097178362,157.30154730697865,276.5299284947412,-0.9
-0.89,5.0e-5,50.70152805426896,0.9941476089072345,0.894491120852641,157.37851026184416,275.7223130867863,-0.89
