Conserv_Sens,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
0.46,51.0,1.0,1.0,198.5771323146935,571.3250345235201,-0.284
0.47,51.0,1.0,1.0,198.6365325087858,570.501815302916,-0.284
0.48,51.0,1.0,1.0,198.69300727075003,569.6957408050055,-0.284
0.49,51.0,1.0,1.0,198.75869477401764,568.9055970709819,-0.284
0.5,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
0.51,51.0,1.0,1.0,198.86665102646577,567.3665898214628,-0.284
0.52,51.0,1.0,1.0,198.91392209848757,566.6136920860731,-0.284
0.53,51.0,1.0,1.0,198.96691183792947,565.8686791324074,-0.284
0.54,51.0,1.0,1.0,199.02579069576882,565.1288022397742,-0.284
0.55,51.0,1.0,1.0,199.07074627471292,564.3910351347688,-0.284
0.56,51.0,1.0,1.0,199.1147550077976,563.6520838803651,-0.284
0.57,51.0,1.0,1.0,199.1580584472301,562.9083994684007,-0.284
0.58,51.0,1.0,1.0,199.2061474982912,562.1561940160938,-0.284
0.59,51.0,1.0,1.0,199.26271055476775,561.391461245073,-0.284
0.6,51.0,1.0,1.0,199.30179562136587,561.7126044299843,-0.284
0.61,51.0,1.0,1.0,199.33523312693268,562.1094401743244,-0.284
0.62,51.0,1.0,1.0,199.3745864015204,562.449129455559,-0.284
0.63,51.0,1.0,1.0,199.42173511851814,562.7254579872811,-0.284
0.64,51.0,1.0,1.0,199.46787144859584,562.9322008832138,-0.284
0.65,51.0,1.0,1.0,199.51639974317735,563.0632042731131,-0.284
0.66,51.0,1.0,1.0,199.55599351051075,563.1124695883778,-0.284
0.67,51.0,1.0,1.0,199.5835465324274,563.0742377823599,-0.284
0.68,51.0,1.0,1.0,199.61425742998645,562.943069592467,-0.284
0.69,51.0,1.0,1.0,199.6532259172547,562.7139175405708,-0.284
0.7,51.0,1.0,1.0,199.70351997778212,562.3821818055627,-0.284
0.71,51.0,1.0,1.0,199.75046946895125,561.9437377524508,-0.284
0.72,51.0,1.0,1.0,199.7980920894119,561.3949051700154,-0.284
0.73,51.0,1.0,1.0,199.830009766325,560.7323211719834,-0.284
0.74,51.0,1.0,1.0,199.84372310355306,559.9523607006213,-0.284
0.75,51.0,1.0,1.0,199.86997237784433,559.0478823803193,-0.284
0.76,51.0,1.0,1.0,199.91988733565378,556.9103223474939,-0.284
0.77,51.0,1.0,1.0,199.97964017248756,554.3197720053168,-0.284
0.78,51.0,1.0,1.0,200.0301917413436,551.7341516027317,-0.284
0.79,51.0,1.0,1.0,200.07122684013441,549.1595491671857,-0.284
0.8,51.0,1.0,1.0,200.05979391694976,546.5886764655412,-0.284
0.81,51.0,1.0,1.0,200.07583226314503,544.0237007540705,-0.284
0.82,51.0,1.0,1.0,200.10627625439935,541.4425025429429,-0.284
0.83,51.0,1.0,1.0,200.09782233685988,538.7689117594714,-0.284
0.84,51.0,1.0,1.0,200.10544837967686,536.2292850551459,-0.284
0.85,51.0,1.0,1.0,200.1303338972111,533.5226615948512,-0.284
0.86,51.0,1.0,1.0,200.13618467122026,530.8381572277998,-0.284
0.87,51.0,1.0,1.0,200.08216723164466,528.1755825745968,-0.284
0.88,51.0,1.0,1.0,200.11960742039253,525.5407002104641,-0.284
0.89,51.0,1.0,1.0,200.11192350772512,523.024056171678,-0.284
0.9,51.0,1.0,1.0,200.0934225028659,520.8271624215241,-0.284
0.91,51.0,1.0,1.0,200.09247421248705,519.3291857199476,-0.284
0.92,51.0,1.0,1.0,200.08329310565787,518.8833789954963,-0.284
0.93,51.0,1.0,1.0,200.09466002669726,519.5602252752348,-0.284
0.94,51.0,1.0,1.0,200.07497776300255,521.2380581600497,-0.284
0.95,51.0,1.0,1.0,200.04221445452825,523.8333373067322,-0.284
