IF_sens_r,IF_thresh_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
4.0,0.0,51.0,1.0,1.0,160.63380577078317,228.75672711686528,-0.284
4.340878170264604,0.0,51.0,1.0,1.0,160.63380577078317,228.75659266459,-0.284
4.710805822269944,0.0,51.0,1.0,1.0,160.63380577078317,228.7563304306519,-0.284
5.11225853956175,0.0,51.0,1.0,1.0,160.63380577078317,228.7557661990473,-0.284
5.547922873783102,0.0,51.0,1.0,1.0,160.63380577078317,228.75434431814696,-0.284
6.020714323279183,0.0,51.0,1.0,1.0,160.63380577078317,228.7495691341816,-0.284
6.533796843830508,0.0,51.0,1.0,1.0,160.63380577078317,228.71759464549635,-0.284
7.090604022081906,0.0,51.0,1.0,1.0,160.63380577078317,228.58724412599508,-0.284
7.694862053361437,0.0,51.0,1.0,1.0,160.63380577078317,236.30565659938352,-0.284
8.350614677658532,0.0,51.0,1.0,1.0,160.63380577078317,239.02477276586734,-0.284
9.062250240634778,0.0,51.0,1.0,1.0,160.63380577078317,240.67124155680915,-0.284
9.834531060761668,0.0,51.0,1.0,1.0,160.63380577078317,241.78356015436188,-0.284
10.672625299112381,0.0,51.0,1.0,1.0,160.63380577078317,242.56644517562722,-0.284
11.582141545082669,0.0,51.0,1.0,1.0,160.63380577078317,243.12202822867886,-0.284
12.569166349491027,0.0,51.0,1.0,1.0,160.63380577078317,243.50799610112557,-0.284
13.640304956232512,0.0,51.0,1.0,1.0,160.63380577078317,243.76016189736006,-0.284
14.80272550506545,0.0,51.0,1.0,1.0,160.63380577078317,243.91022364494853,-0.284
16.064207001339426,0.0,51.0,1.0,1.0,160.63380577078317,244.03154815178408,-0.284
17.43319137368153,0.0,51.0,1.0,1.0,160.63380577078317,244.4304200277804,-0.284
18.918839968014844,0.0,51.0,1.0,1.0,160.63380577078317,246.0461179473356,-0.284
20.531094855971272,0.0,51.0,1.0,1.0,160.63380577078317,249.0495616821059,-0.284
22.280745367979403,0.0,51.0,1.0,1.0,160.63380577078317,251.5717144457804,-0.284
24.179500296271495,0.0,51.0,1.0,1.0,160.63380577078317,253.24517870735798,-0.284
26.240066250997867,0.0,51.0,1.0,1.0,160.63380577078317,254.40349820454938,-0.284
28.476232693813404,0.0,51.0,1.0,1.0,160.63380577078317,255.25581362177985,-0.284
30.902964217987456,0.0,51.0,1.0,1.0,160.63380577078317,255.90954260483235,-0.284
33.53650069258248,0.0,51.0,1.0,1.0,160.63380577078317,256.42457945624557,-0.284
36.394465940873765,0.0,51.0,1.0,1.0,160.63380577078317,256.83770172264315,-0.284
39.495985680294396,0.0,51.0,1.0,1.0,160.63380577078317,257.1732351771414,-0.284
42.86181551316834,0.0,51.0,1.0,1.0,160.63380577078317,257.44816612824167,-0.284
46.5144798247553,0.0,51.0,1.0,1.0,160.63380577078317,257.67484744635703,-0.284
50.47842251812341,0.0,51.0,1.0,1.0,160.63380577078317,257.86255092086446,-0.284
54.780170594578784,0.0,51.0,1.0,1.0,160.63380577078317,258.0184132604098,-0.284
59.44851167434448,0.0,51.0,1.0,1.0,160.63380577078317,258.1480396247953,-0.284
64.51468664547063,0.0,51.0,1.0,1.0,160.63380577078317,258.25590332709567,-0.284
70.01259873019619,0.0,51.0,1.0,1.0,160.63380577078317,258.34561997616504,-0.284
75.97904036785103,0.0,51.0,1.0,1.0,160.63380577078317,258.42014214163754,-0.284
82.45393943261438,0.0,51.0,1.0,1.0,160.63380577078317,258.4819012973947,-0.284
89.48062643383894,0.0,51.0,1.0,1.0,160.63380577078317,258.53291251673704,-0.284
97.1061244870633,0.0,51.0,1.0,1.0,160.63380577078317,258.57485248425974,-0.284
105.38146399622259,0.0,51.0,1.0,1.0,160.63380577078317,258.6091199337454,-0.284
114.36202415293195,0.0,51.0,1.0,1.0,160.63380577078317,258.63688614213737,-0.284
124.10790353818399,0.0,51.0,1.0,1.0,160.63380577078317,258.65914005549126,-0.284
134.68432230655196,0.0,51.0,1.0,1.0,160.63380577078317,258.67672887928694,-0.284
146.16205864434843,0.0,51.0,1.0,1.0,160.63380577078317,258.6903923076954,-0.284
158.61792242254668,0.0,51.0,1.0,1.0,160.63380577078317,258.7007879993379,-0.284
172.13526921418944,0.0,51.0,1.0,1.0,160.63380577078317,258.7085071544949,-0.284
186.80455811612384,0.0,51.0,1.0,1.0,160.63380577078317,258.7140810573612,-0.284
202.723957108052,0.0,51.0,1.0,1.0,160.63380577078317,258.71798115356046,-0.284
220.0,0.0,51.0,1.0,1.0,160.63380577078317,258.7206160365913,-0.284
4.0,0.02,51.0,1.0,1.0,160.63380577078317,228.7578570127091,-0.284
4.340878170264604,0.02,51.0,1.0,1.0,160.63380577078317,228.75823427426963,-0.284
4.710805822269944,0.02,51.0,1.0,1.0,160.63380577078317,228.75875051200305,-0.284
5.11225853956175,0.02,51.0,1.0,1.0,160.63380577078317,228.75936588732353,-0.284
5.547922873783102,0.02,51.0,1.0,1.0,160.63380577078317,228.75933991902863,-0.284
6.020714323279183,0.02,51.0,1.0,1.0,160.63380577078317,228.74822905981483,-0.284
6.533796843830508,0.02,51.0,1.0,1.0,160.63380577078317,225.58068855897588,-0.284
7.090604022081906,0.02,51.0,1.0,1.0,160.63380577078317,235.40457371188546,-0.284
7.694862053361437,0.02,51.0,1.0,1.0,160.63380577078317,238.58207725647418,-0.284
8.350614677658532,0.02,51.0,1.0,1.0,160.63380577078317,240.41716573433925,-0.284
9.062250240634778,0.02,51.0,1.0,1.0,160.63380577078317,241.62834728564027,-0.284
9.834531060761668,0.02,51.0,1.0,1.0,160.63380577078317,242.46545132115276,-0.284
10.672625299112381,0.02,51.0,1.0,1.0,160.63380577078317,243.05252815610748,-0.284
11.582141545082669,0.02,51.0,1.0,1.0,160.63380577078317,243.47129313019556,-0.284
12.569166349491027,0.02,51.0,1.0,1.0,160.63380577078317,243.8129354519205,-0.284
13.640304956232512,0.02,51.0,1.0,1.0,160.63380577078317,244.27519994896625,-0.284
14.80272550506545,0.02,51.0,1.0,1.0,160.63380577078317,245.3474999511424,-0.284
16.064207001339426,0.02,51.0,1.0,1.0,160.63380577078317,247.607144182564,-0.284
17.43319137368153,0.02,51.0,1.0,1.0,160.63380577078317,250.35292157619514,-0.284
18.918839968014844,0.02,51.0,1.0,1.0,160.63380577078317,252.50487072008727,-0.284
20.531094855971272,0.02,51.0,1.0,1.0,160.63380577078317,254.01036164066088,-0.284
22.280745367979403,0.02,51.0,1.0,1.0,160.63380577078317,255.08712364263116,-0.284
24.179500296271495,0.02,51.0,1.0,1.0,160.63380577078317,255.88589853140593,-0.284
26.240066250997867,0.02,51.0,1.0,1.0,160.63380577078317,256.4946057911211,-0.284
28.476232693813404,0.02,51.0,1.0,1.0,160.63380577078317,256.9668779471695,-0.284
30.902964217987456,0.02,51.0,1.0,1.0,160.63380577078317,257.3377472896473,-0.284
33.53650069258248,0.02,51.0,1.0,1.0,160.63380577078317,257.63137743412904,-0.284
36.394465940873765,0.02,51.0,1.0,1.0,160.63380577078317,257.865092763124,-0.284
39.495985680294396,0.02,51.0,1.0,1.0,160.63380577078317,258.05166807016843,-0.284
42.86181551316834,0.02,51.0,1.0,1.0,160.63380577078317,258.20073484791715,-0.284
46.5144798247553,0.02,51.0,1.0,1.0,160.63380577078317,258.31969571712057,-0.284
50.47842251812341,0.02,51.0,1.0,1.0,160.63380577078317,258.414340887982,-0.284
54.780170594578784,0.02,51.0,1.0,1.0,160.63380577078317,258.48927232478144,-0.284
59.44851167434448,0.02,51.0,1.0,1.0,160.63380577078317,258.5481990743735,-0.284
64.51468664547063,0.02,51.0,1.0,1.0,160.63380577078317,258.5941449535002,-0.284
70.01259873019619,0.02,51.0,1.0,1.0,160.63380577078317,258.62959654646164,-0.284
75.97904036785103,0.02,51.0,1.0,1.0,160.63380577078317,258.6566106643186,-0.284
82.45393943261438,0.02,51.0,1.0,1.0,160.63380577078317,258.6768941416919,-0.284
89.48062643383894,0.02,51.0,1.0,1.0,160.63380577078317,258.69186434189214,-0.284
97.1061244870633,0.02,51.0,1.0,1.0,160.63380577078317,258.7026957264834,-0.284
105.38146399622259,0.02,51.0,1.0,1.0,160.63380577078317,258.7103560966027,-0.284
114.36202415293195,0.02,51.0,1.0,1.0,160.63380577078317,258.7156352648105,-0.284
124.10790353818399,0.02,51.0,1.0,1.0,160.63380577078317,258.7191685101132,-0.284
134.68432230655196,0.02,51.0,1.0,1.0,160.63380577078317,258.7214568210132,-0.284
146.16205864434843,0.02,51.0,1.0,1.0,160.63380577078317,258.72288545055824,-0.284
158.61792242254668,0.02,51.0,1.0,1.0,160.63380577078317,258.7237416959673,-0.284
172.13526921418944,0.02,51.0,1.0,1.0,160.63380577078317,258.7242321884078,-0.284
186.80455811612384,0.02,51.0,1.0,1.0,160.63380577078317,258.72449946821575,-0.284
202.723957108052,0.02,51.0,1.0,1.0,160.63380577078317,258.72463731645837,-0.284
220.0,0.02,51.0,1.0,1.0,160.63380577078317,258.72470424193193,-0.284
4.0,0.04,51.0,1.0,1.0,160.63380577078317,228.75982949966144,-0.284
4.340878170264604,0.04,51.0,1.0,1.0,160.63380577078317,228.7613196512763,-0.284
4.710805822269944,0.04,51.0,1.0,1.0,160.63380577078317,228.76377192229455,-0.284
5.11225853956175,0.04,51.0,1.0,1.0,160.63380577078317,228.76788696757325,-0.284
5.547922873783102,0.04,51.0,1.0,1.0,160.63380577078317,228.77211347880825,-0.284
6.020714323279183,0.04,51.0,1.0,1.0,160.63380577078317,228.50073818760688,-0.284
6.533796843830508,0.04,51.0,1.0,1.0,160.63380577078317,234.03174332756512,-0.284
7.090604022081906,0.04,51.0,1.0,1.0,160.63380577078317,237.9879167440051,-0.284
7.694862053361437,0.04,51.0,1.0,1.0,160.63380577078317,240.11522947919403,-0.284
8.350614677658532,0.04,51.0,1.0,1.0,160.63380577078317,241.49444428269476,-0.284
9.062250240634778,0.04,51.0,1.0,1.0,160.63380577078317,242.45304690014288,-0.284
9.834531060761668,0.04,51.0,1.0,1.0,160.63380577078317,243.15605925966926,-0.284
10.672625299112381,0.04,51.0,1.0,1.0,160.63380577078317,243.73325142402936,-0.284
11.582141545082669,0.04,51.0,1.0,1.0,160.63380577078317,244.36399407142562,-0.284
12.569166349491027,0.04,51.0,1.0,1.0,160.63380577078317,245.36374705699865,-0.284
13.640304956232512,0.04,51.0,1.0,1.0,160.63380577078317,247.17361771075423,-0.284
14.80272550506545,0.04,51.0,1.0,1.0,160.63380577078317,249.64142755459304,-0.284
16.064207001339426,0.04,51.0,1.0,1.0,160.63380577078317,251.92554300630616,-0.284
17.43319137368153,0.04,51.0,1.0,1.0,160.63380577078317,253.64900872957003,-0.284
18.918839968014844,0.04,51.0,1.0,1.0,160.63380577078317,254.89977747137237,-0.284
20.531094855971272,0.04,51.0,1.0,1.0,160.63380577078317,255.82128696079693,-0.284
22.280745367979403,0.04,51.0,1.0,1.0,160.63380577078317,256.51311465151304,-0.284
24.179500296271495,0.04,51.0,1.0,1.0,160.63380577078317,257.0391069565088,-0.284
26.240066250997867,0.04,51.0,1.0,1.0,160.63380577078317,257.44189412719527,-0.284
28.476232693813404,0.04,51.0,1.0,1.0,160.63380577078317,257.751450404966,-0.284
30.902964217987456,0.04,51.0,1.0,1.0,160.63380577078317,257.9896673947876,-0.284
33.53650069258248,0.04,51.0,1.0,1.0,160.63380577078317,258.1729175640125,-0.284
36.394465940873765,0.04,51.0,1.0,1.0,160.63380577078317,258.3136202400314,-0.284
39.495985680294396,0.04,51.0,1.0,1.0,160.63380577078317,258.4212813736811,-0.284
42.86181551316834,0.04,51.0,1.0,1.0,160.63380577078317,258.5032283353695,-0.284
46.5144798247553,0.04,51.0,1.0,1.0,160.63380577078317,258.5651484368634,-0.284
50.47842251812341,0.04,51.0,1.0,1.0,160.63380577078317,258.6114889736933,-0.284
54.780170594578784,0.04,51.0,1.0,1.0,160.63380577078317,258.645753691725,-0.284
59.44851167434448,0.04,51.0,1.0,1.0,160.63380577078317,258.67072031193527,-0.284
64.51468664547063,0.04,51.0,1.0,1.0,160.63380577078317,258.6885987007161,-0.284
70.01259873019619,0.04,51.0,1.0,1.0,160.63380577078317,258.701145923055,-0.284
75.97904036785103,0.04,51.0,1.0,1.0,160.63380577078317,258.70975133808963,-0.284
82.45393943261438,0.04,51.0,1.0,1.0,160.63380577078317,258.7155017935034,-0.284
89.48062643383894,0.04,51.0,1.0,1.0,160.63380577078317,258.7192340277998,-0.284
97.1061244870633,0.04,51.0,1.0,1.0,160.63380577078317,258.7215788537695,-0.284
105.38146399622259,0.04,51.0,1.0,1.0,160.63380577078317,258.7229997243491,-0.284
114.36202415293195,0.04,51.0,1.0,1.0,160.63380577078317,258.7238268975617,-0.284
124.10790353818399,0.04,51.0,1.0,1.0,160.63380577078317,258.72428756033014,-0.284
134.68432230655196,0.04,51.0,1.0,1.0,160.63380577078317,258.72453184520947,-0.284
146.16205864434843,0.04,51.0,1.0,1.0,160.63380577078317,258.7246545727419,-0.284
158.61792242254668,0.04,51.0,1.0,1.0,160.63380577078317,258.72471266766337,-0.284
172.13526921418944,0.04,51.0,1.0,1.0,160.63380577078317,258.7247384255866,-0.284
186.80455811612384,0.04,51.0,1.0,1.0,160.63380577078317,258.72474905446586,-0.284
202.723957108052,0.04,51.0,1.0,1.0,160.63380577078317,258.7247531085416,-0.284
220.0,0.04,51.0,1.0,1.0,160.63380577078317,258.72475452739354,-0.284
4.0,0.06,51.0,1.0,1.0,160.63380577078317,228.76328232886746,-0.284
4.340878170264604,0.06,51.0,1.0,1.0,160.63380577078317,228.76718690568737,-0.284
4.710805822269944,0.06,51.0,1.0,1.0,160.63380577078317,228.77441709082794,-0.284
5.11225853956175,0.06,51.0,1.0,1.0,160.63380577078317,228.78831456266815,-0.284
5.547922873783102,0.06,51.0,1.0,1.0,160.63380577078317,228.7652380328815,-0.284
6.020714323279183,0.06,51.0,1.0,1.0,160.63380577078317,231.72567120909477,-0.284
6.533796843830508,0.06,51.0,1.0,1.0,160.63380577078317,237.17940038206814,-0.284
7.090604022081906,0.06,51.0,1.0,1.0,160.63380577078317,239.73900375510155,-0.284
7.694862053361437,0.06,51.0,1.0,1.0,160.63380577078317,241.36232049686632,-0.284
8.350614677658532,0.06,51.0,1.0,1.0,160.63380577078317,242.5033126249323,-0.284
9.062250240634778,0.06,51.0,1.0,1.0,160.63380577078317,243.3792620869673,-0.284
9.834531060761668,0.06,51.0,1.0,1.0,160.63380577078317,244.15863931090976,-0.284
10.672625299112381,0.06,51.0,1.0,1.0,160.63380577078317,245.02822346320875,-0.284
11.582141545082669,0.06,51.0,1.0,1.0,160.63380577078317,246.28544556384995,-0.284
12.569166349491027,0.06,51.0,1.0,1.0,160.63380577078317,248.14560499722594,-0.284
13.640304956232512,0.06,51.0,1.0,1.0,160.63380577078317,250.3565197383006,-0.284
14.80272550506545,0.06,51.0,1.0,1.0,160.63380577078317,252.3744831698972,-0.284
