MagCAPShock,Goal_l,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.41,1.0,50.941639473872605,0.9988556759582864,0.9832728339563578,199.17992641025776,513.8265624228535,-0.41
-0.4,1.0,50.942255480649195,0.9988677545225332,0.9834489718949432,199.21364156933055,513.6752849847196,-0.4
-0.39,1.0,50.9428721142129,0.9988798453767236,0.9836251114826341,199.24976954140672,513.7096239451741,-0.39
-0.38,1.0,50.94348937769238,0.9988919485822035,0.9838012527379171,199.28828090021122,513.9284133387256,-0.38
-0.37,1.0,50.94410727433424,0.9989040642026322,0.9839773956791,199.32615144819758,514.3277001305452,-0.37
-0.36,1.0,50.94472580746288,0.9989161923031937,0.9841535403243218,199.36473882079454,514.8992802757599,-0.36
-0.35,1.0,50.94534498042951,0.9989283329495983,0.984329686691562,199.40439069080105,515.6295164247174,-0.35
-0.34,1.0,50.945964796551536,0.9989404862068929,0.9845058347986475,199.43843901754107,515.4329448332545,-0.34
-0.33,1.0,50.946585259044355,0.9989526521381246,0.9846819846632558,199.4708673846877,515.1935313510946,-0.33
-0.32,1.0,50.94720637094831,0.998964830802908,0.9848581363029201,199.50364722209443,514.9341269429126,-0.32
-0.31,1.0,50.94782813505421,0.9989770222559649,0.9850342897350282,199.5285633367058,514.6581612521053,-0.31
-0.3,1.0,50.948450553831194,0.9989892265457097,0.9852104449768231,199.54098712783025,514.371093176427,-0.3
-0.29,1.0,50.94907362936121,0.9990014437129648,0.985386602045396,199.57892376420594,514.1831950016674,-0.29
-0.28,1.0,50.94969736328403,0.9990136737898829,0.9855627609576806,199.62368158913762,514.0365314142053,-0.28
-0.27,1.0,50.95032175675632,0.9990259167991434,0.9857389217304412,199.66992252559808,513.8906352304743,-0.27
-0.26,1.0,50.950946810427354,0.9990381727534775,0.9859150843802619,199.7188102860987,513.7464812828315,-0.26
-0.25,1.0,50.95157252443295,0.999050441655548,0.9860912489235257,199.76674253493871,513.6049237966043,-0.25
-0.24,1.0,50.952198898407545,0.9990627234981871,0.9862674153763981,199.80920742613912,513.4666965744015,-0.24
-0.23,1.0,50.952825931513225,0.9990750182649651,0.9864435837547996,199.84404408727397,513.3323654183778,-0.23
-0.22,1.0,50.953453622483266,0.9990873259310444,0.986619754074383,199.8842150022217,513.2023032053797,-0.22
-0.21,1.0,50.95408196967675,0.99909964646425,0.9867959263505007,199.92738792349465,513.0760259847661,-0.21
-0.2,1.0,50.95471097114054,0.9991119798262852,0.9869721005981709,199.972447751398,512.9523040794281,-0.2
