MagCAPShock,IF_sens_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.6,4.0,51.0,1.0,1.0,158.05159637160028,262.96199111188326,-0.6
-0.59,4.0,51.0,1.0,1.0,158.1399496513051,261.9898593729711,-0.59
-0.58,4.0,51.0,1.0,1.0,158.22835286069906,261.0074763192144,-0.58
-0.57,4.0,51.0,1.0,1.0,158.30852233857436,260.019563490236,-0.57
-0.56,4.0,51.0,1.0,1.0,158.39721091536535,259.03276401039466,-0.56
-0.55,4.0,51.0,1.0,1.0,158.48602282368992,258.0563187490184,-0.55
-0.54,4.0,51.0,1.0,1.0,158.5749597775979,257.10315632694966,-0.54
-0.53,4.0,51.0,1.0,1.0,158.6640237922553,256.1901278490382,-0.53
-0.52,4.0,51.0,1.0,1.0,158.75321718523693,255.33754903458728,-0.52
-0.51,4.0,51.0,1.0,1.0,158.84254257756865,254.56774191746396,-0.51
-0.5,4.0,51.0,1.0,1.0,158.9255163600054,253.90241368068317,-0.5
-0.49,4.0,51.0,1.0,1.0,159.0150477014228,253.35918543886987,-0.49
-0.48,4.0,51.0,1.0,1.0,159.10470031150174,252.94795270877717,-0.48
-0.47,4.0,51.0,1.0,1.0,159.19447196356435,252.66803358572088,-0.47
-0.46,4.0,51.0,1.0,1.0,159.28436001325178,252.5076544190129,-0.46
-0.45,4.0,51.0,1.0,1.0,159.37436157402848,252.44621464517815,-0.45
-0.44,4.0,51.0,1.0,1.0,159.46447387257692,252.45863315736312,-0.44
-0.43,4.0,51.0,1.0,1.0,159.55465918891886,252.52001893896792,-0.43
-0.42,4.0,51.0,1.0,1.0,159.64228975784548,252.6089649339345,-0.42
-0.41,4.0,51.0,1.0,1.0,159.73136435098945,252.7095013441264,-0.41
-0.4,4.0,51.0,1.0,1.0,159.82038804901762,252.81070822371964,-0.4
-0.39,4.0,51.0,1.0,1.0,159.90938020735965,252.90582313656674,-0.39
-0.38,4.0,51.0,1.0,1.0,159.9983905433109,252.991230648417,-0.38
-0.37,4.0,51.0,1.0,1.0,160.08752686990397,253.06542126632698,-0.37
-0.36,4.0,51.0,1.0,1.0,160.17703308804863,253.12813832534619,-0.36
-0.35,4.0,51.0,1.0,1.0,160.2676945611514,253.17953295243433,-0.35
-0.34,4.0,51.0,1.0,1.0,160.34651754537163,253.18527982827737,-0.34
