MagCAPShock,DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-1.0,1.5,49.774189067793856,0.9759644915253697,0.5770257776008105,142.16017031615502,479.8935153909207,-1.0
-0.99,1.5,49.806823827363644,0.9766043887718362,0.5878013239232502,152.10401126570756,479.24892515822467,-0.99
-0.98,1.5,49.8394172220938,0.9772434749430157,0.5985768702456901,162.2423797131935,470.0125735639865,-0.98
-0.97,1.5,49.871969368280546,0.9778817523192264,0.6093524165681298,178.71108539265043,460.9858748029597,-0.97
-0.96,1.5,49.904480381522205,0.978519223167102,0.6201279628905696,164.61222658446601,473.6242750310889,-0.96
-0.95,1.5,49.93695037665682,0.979155889738369,0.6309035092130094,177.96633407235743,445.890548336335,-0.95
-0.94,1.5,49.96937946768359,0.9797917542683057,0.6416790555354492,189.47598163610354,436.0994251804634,-0.94
-0.93,1.5,50.00176776766469,0.9804268189738174,0.6524546018578891,172.416406716451,442.9068104200812,-0.93
-0.92,1.5,50.0341153886024,0.9810610860510275,0.6632301481803288,208.18231394839935,428.4199917697753,-0.92
-0.91,1.5,50.06642244128591,0.9816945576722728,0.6740056945027683,188.3459867095307,432.38561165215543,-0.91
-0.9,1.5,50.098689035100634,0.9823272359823654,0.6847812408252083,214.20569337572766,428.6672056076138,-0.9
-0.89,1.5,50.130915277791246,0.982959123093946,0.6955567871476477,208.01933850873152,427.31546136430194,-0.89
-0.88,1.5,50.1631012751678,0.9835902210817216,0.7063323334700877,225.32641522197153,426.3679584555161,-0.88
-0.87,1.5,50.19524713074195,0.9842205319753323,0.7171078797925272,237.78662308785096,422.39149095201867,-0.87
-0.86,1.5,50.227352945277325,0.9848500577505358,0.7278834261149674,223.9586616997401,420.66020315767616,-0.86
-0.85,1.5,50.25941881623515,0.9854788003183362,0.7386589724374069,250.9639634367458,424.6533013666053,-0.85
-0.84,1.5,50.291444837091625,0.9861067615116005,0.7494345187598469,234.81879168675093,421.7585672489599,-0.84
-0.83,1.5,50.32343109649962,0.98673394306862,0.7602100650822865,242.8053056791475,420.68110129982944,-0.83
-0.82,1.5,50.355377677261096,0.9873603466129627,0.7709856114047264,260.00946313216093,419.983660938871,-0.82
-0.81,1.5,50.387284655070715,0.9879859736288376,0.781761157727166,253.8546158809372,419.2318314675941,-0.81
-0.8,1.5,50.4191520969836,0.988610825431051,0.7925367040496057,263.38892999862867,417.9147214247342,-0.8
-0.79,1.5,50.45098005955202,0.9892349031284711,0.8033122503720457,280.2084405126057,414.5883815937277,-0.79
-0.78,1.5,50.482768586566586,0.989858207579737,0.8140877966944855,282.6733094620071,408.7715120882591,-0.78
-0.77,1.5,50.514517706327595,0.9904807393397568,0.8248633430169251,283.8882695209172,411.06845468214163,-0.77
-0.76,1.5,50.54622742836195,0.9911024985953324,0.835638889339365,287.5317193384364,411.2750966450705,-0.76
-0.75,1.5,50.577897739490766,0.9917234850880542,0.8464144356618047,289.0453635391329,409.83831611626437,-0.75
-0.74,1.5,50.60952859914383,0.9923436980224281,0.8571899819842447,291.278702776922,408.01682411969637,-0.74
