MagCAPShock,Impl_Time,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.83,2.0,51.0,1.0,1.0,195.84735721860602,554.2734823279311,-0.83
-0.82,2.0,51.0,1.0,1.0,195.87128606047338,552.9726441799386,-0.82
-0.81,2.0,51.0,1.0,1.0,195.8836734297903,551.7746865470308,-0.81
-0.8,2.0,51.0,1.0,1.0,195.89282663451934,550.6168795437919,-0.8
-0.79,2.0,51.0,1.0,1.0,196.08949891302464,549.507760358093,-0.79
-0.78,2.0,51.0,1.0,1.0,196.14464355032734,548.4070959151625,-0.78
-0.77,2.0,51.0,1.0,1.0,196.17811538750607,547.2813609876893,-0.77
-0.76,2.0,51.0,1.0,1.0,196.21107142813904,546.092080722695,-0.76
-0.75,2.0,51.0,1.0,1.0,196.3835046126593,544.770426624566,-0.75
-0.74,2.0,51.0,1.0,1.0,196.4362733933555,543.203708940907,-0.74
-0.73,2.0,51.0,1.0,1.0,196.47526274348755,542.3089513881469,-0.73
-0.72,2.0,51.0,1.0,1.0,196.61004217257178,541.5079571079801,-0.72
-0.71,2.0,51.0,1.0,1.0,196.66056433648535,540.5580603344191,-0.71
-0.7,2.0,51.0,1.0,1.0,196.78501210039542,539.3827627215996,-0.7
-0.69,2.0,51.0,1.0,1.0,196.8460930861057,537.9969454910201,-0.69
-0.68,2.0,51.0,1.0,1.0,196.9671106094647,536.5499759555203,-0.68
-0.67,2.0,51.0,1.0,1.0,197.06153212786114,535.3524767707701,-0.67
-0.66,2.0,51.0,1.0,1.0,197.33279382748427,533.9012694109352,-0.66
-0.65,2.0,51.0,1.0,1.0,197.32408342010905,532.1397142144264,-0.65
-0.64,2.0,51.0,1.0,1.0,197.34232287713644,530.5392791789105,-0.64
-0.63,2.0,51.0,1.0,1.0,197.41323936200808,530.0855322182491,-0.63
-0.62,2.0,51.0,1.0,1.0,197.49662284315173,530.5952113843822,-0.62
-0.61,2.0,51.0,1.0,1.0,197.56098572141022,531.6474353985096,-0.61
-0.6,2.0,51.0,1.0,1.0,197.61098988440372,533.2882905441569,-0.6
-0.59,2.0,51.0,1.0,1.0,197.6550146753444,535.2976680135015,-0.59
-0.58,2.0,51.0,1.0,1.0,197.70238641751214,537.3920133133142,-0.58
-0.57,2.0,51.0,1.0,1.0,197.75157691259778,539.3431573287053,-0.57
-0.56,2.0,51.0,1.0,1.0,197.80318228606146,541.0413830393331,-0.56
-0.55,2.0,51.0,1.0,1.0,197.8554666528231,542.4771287505623,-0.55
-0.54,2.0,51.0,1.0,1.0,197.90263145502422,543.6456150567094,-0.54
-0.53,2.0,51.0,1.0,1.0,197.94804044705697,544.5543697531245,-0.53
-0.52,2.0,51.0,1.0,1.0,197.98753311894177,545.3107168385061,-0.52
-0.51,2.0,51.0,1.0,1.0,198.01184583706234,546.1362703507631,-0.51
-0.5,2.0,51.0,1.0,1.0,198.04399984956467,544.9366900842651,-0.5
-0.49,2.0,51.0,1.0,1.0,198.07585933355494,543.7364906757236,-0.49
-0.48,2.0,51.0,1.0,1.0,198.104731218365,542.5369321886144,-0.48
-0.47,2.0,51.0,1.0,1.0,198.13028052678249,541.339483247097,-0.47
-0.46,2.0,51.0,1.0,1.0,198.15623486901643,540.145600371131,-0.46
-0.45,2.0,51.0,1.0,1.0,198.18312118981234,538.9561137887753,-0.45
-0.44,2.0,51.0,1.0,1.0,198.2109469002823,537.7696879875725,-0.44
-0.43,2.0,51.0,1.0,1.0,198.24029238320938,536.5800187004139,-0.43
-0.42,2.0,51.0,1.0,1.0,198.2700091472119,535.4002298151389,-0.42
-0.41,2.0,51.0,1.0,1.0,198.3042823280336,534.2465356959046,-0.41
-0.4,2.0,51.0,1.0,1.0,198.34081814336062,533.1259043053452,-0.4
-0.39,2.0,51.0,1.0,1.0,198.37811893015436,532.0483507786668,-0.39
-0.38,2.0,51.0,1.0,1.0,198.41520254978732,531.0204648432707,-0.38
-0.37,2.0,51.0,1.0,1.0,198.45199901681642,530.0458479535956,-0.37
-0.36,2.0,51.0,1.0,1.0,198.488255970251,529.1258635169838,-0.36
-0.35,2.0,51.0,1.0,1.0,198.523584309509,528.2594007681146,-0.35
-0.34,2.0,51.0,1.0,1.0,198.55770010195351,527.441355791284,-0.34
-0.33,2.0,51.0,1.0,1.0,198.5904461776434,526.6602797411615,-0.33
-0.32,2.0,51.0,1.0,1.0,198.62175955525427,525.8963324338431,-0.32
-0.31,2.0,51.0,1.0,1.0,198.65164720744403,525.1217900068882,-0.31
-0.3,2.0,51.0,1.0,1.0,198.6801865732246,524.3084031546358,-0.3
-0.29,2.0,51.0,1.0,1.0,198.70757351912798,523.4476161364923,-0.29
-0.28,2.0,51.0,1.0,1.0,198.73699972422745,522.9018534982225,-0.28
-0.27,2.0,51.0,1.0,1.0,198.7718733778363,522.5322569615186,-0.27
-0.26,2.0,51.0,1.0,1.0,198.81053056550724,522.3144073037537,-0.26
-0.25,2.0,51.0,1.0,1.0,198.85253373745542,522.2308937122515,-0.25
-0.24,2.0,51.0,1.0,1.0,198.89745953818235,522.2586184985532,-0.24
-0.23,2.0,51.0,1.0,1.0,198.94484224100268,522.3692988264306,-0.23
-0.22,2.0,51.0,1.0,1.0,198.9942153696331,522.5317296510055,-0.22
-0.21,2.0,51.0,1.0,1.0,199.04516540244805,522.7155636119367,-0.21
-0.2,2.0,51.0,1.0,1.0,199.09736587042153,522.8954495392823,-0.2
-0.19,2.0,51.0,1.0,1.0,199.15058572174544,523.051678104832,-0.19
-0.18,2.0,51.0,1.0,1.0,199.2046791452298,523.1683955116241,-0.18
-0.17,2.0,51.0,1.0,1.0,199.2595664219356,523.2323761739193,-0.17
-0.16,2.0,51.0,1.0,1.0,199.3152121765574,523.2322967341781,-0.16
-0.15,2.0,51.0,1.0,1.0,200.5970241830936,523.7661157075377,-0.15
-0.14,2.0,51.0,1.0,1.0,202.9935697320264,520.552698296663,-0.14
-0.13,2.0,51.0,1.0,1.0,205.22186815875588,518.169449754489,-0.13
-0.12,2.0,51.0,1.0,1.0,205.0161966742663,535.3742807224875,-0.12
-0.11,2.0,51.0,1.0,1.0,206.72724814910717,524.8469779212902,-0.11
-0.1,2.0,51.0,1.0,1.0,209.08603035568652,514.0433889257893,-0.1
-0.09,2.0,51.0,1.0,1.0,210.29721985512418,526.5943632701135,-0.09
-0.08,2.0,51.0,1.0,1.0,211.45344472479889,543.2433526189149,-0.08
-0.07,2.0,51.0,1.0,1.0,213.0463827084598,525.2632875879351,-0.07
-0.06,2.0,51.0,1.0,1.0,214.18718378105186,523.7178230488691,-0.06
-0.05,2.0,51.0,1.0,1.0,214.85418099622814,579.3122362013213,-0.05
-0.04,2.0,51.0,1.0,1.0,217.0817998975322,503.29196516035677,-0.04
-0.03,2.0,51.0,1.0,1.0,217.99067674352676,534.7792259621527,-0.03
-0.02,2.0,51.0,1.0,1.0,219.57417356346141,560.1752707417376,-0.02
-0.01,2.0,51.0,1.0,1.0,220.71168334040573,539.6048345001333,-0.01
0.0,2.0,51.0,1.0,1.0,221.72450316958128,524.3999235758151,0.0
-1.0,3.0,51.0,1.0,1.0,194.6724010330816,555.9333089397851,-1.0
-0.99,3.0,51.0,1.0,1.0,194.56743357743346,568.7284096308489,-0.99
-0.98,3.0,51.0,1.0,1.0,194.84911166536438,571.9107976092854,-0.98
