DSCR,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
1.82,51.0,1.0,1.0,198.93389128523347,580.9437155384328,-0.284
1.83,51.0,1.0,1.0,198.84989933507103,583.8060865914467,-0.284
1.84,51.0,1.0,1.0,198.76395955387497,586.6693619004155,-0.284
1.85,51.0,1.0,1.0,198.69991182921729,589.5350791609567,-0.284
1.86,51.0,1.0,1.0,198.64856271387313,592.4044652408007,-0.284
1.87,51.0,1.0,1.0,198.5997658157404,593.1010362103609,-0.284
1.88,51.0,1.0,1.0,198.57688441853557,592.3740193835766,-0.284
1.89,51.0,1.0,1.0,198.5698932227408,591.1335990769632,-0.284
1.9,51.0,1.0,1.0,198.5549953550483,589.4157595825783,-0.284
1.91,51.0,1.0,1.0,198.54341997721374,587.2625225145796,-0.284
1.92,51.0,1.0,1.0,198.54231413507654,584.7211050333327,-0.284
1.93,51.0,1.0,1.0,198.55084680115561,581.8412237310054,-0.284
1.94,51.0,1.0,1.0,198.5680616406646,578.6723080738784,-0.284
1.95,51.0,1.0,1.0,198.60031400165144,576.1807176149898,-0.284
1.96,51.0,1.0,1.0,198.64668406205936,574.708254929132,-0.284
1.97,51.0,1.0,1.0,198.67808891147433,573.1452660792086,-0.284
1.98,51.0,1.0,1.0,198.72962025759668,571.5151135297245,-0.284
1.99,51.0,1.0,1.0,198.76378126118615,569.8377487071219,-0.284
2.0,51.0,1.0,1.0,198.81602824727747,568.1298351919258,-0.284
2.01,51.0,1.0,1.0,198.8500719972952,566.4049646984778,-0.284
2.02,51.0,1.0,1.0,198.90208675085483,564.6738806609081,-0.284
2.03,51.0,1.0,1.0,198.93671548908574,562.9471554942398,-0.284
2.04,51.0,1.0,1.0,198.9742607406825,561.2277335939691,-0.284
2.05,51.0,1.0,1.0,199.01829638212658,559.5177610047199,-0.284
2.06,51.0,1.0,1.0,199.04840687220954,557.8162644697289,-0.284
2.07,51.0,1.0,1.0,199.0787920496287,556.1181494778715,-0.284
